id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value
2552050397,1,34,16,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0,0,2023-05-20T23:39:57.746Z,2023-05-21T00:33:10Z,4295308071,30,"4yb9avzbrzt8m4c4h1yy98jbp, n4egj8ymfled94mco0lwa95, 6p2318moul9op4hmigk1xbaw9, 1c2boqmoi50esuelgdd96o06h, 7pynp0g6h56oqimzdffivfpat, 6x0oj293r0sv99i071v8owpgp, 7pdog0usw4fwr3j3neexfz1ed, dwrkb21t0oi6s0d6a1b7b1qay, l28lqh3f3ojx6kk2wvvq6nyt, 4k83z2cdvn2kwb72kh8e8qfsa, 1i4e7ehhib7vt3tx5xmd9efv9, b9zyytzb31lz9644187z6a13o, 4y5mqjlbzmgx10w98sg4peqdw, 1p7mhkqn7vxnady8q0vboi02d, emihtyw994ca7bwm3y8ou4odm, 8q0rkr3gz7hz1ssdx3fkro0a2, bzk89svsd2os7tv4wsbfaiivo, 5kaxtpwnuplnrodirmblx3cb8, 9jqsvecho1nlcemf0328zvz10, 4x0c0fhtuohubcm7u16qzr2wa",4295308083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4295308073,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4295308081,194,l28lqh3f3ojx6kk2wvvq6nyt,4295308075,59,"1, 20, 14, 24, 18, 4, 3, 8, 13, 11, 10, 7, 12, 15, 16, 22, 23, 25, 26, 30",4295308077,130,8,4295308079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4295510891,197,14916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552054461,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-05-20T23:44:58.650Z,2023-05-21T00:38:10Z,4295330231,194,cgfk0e62cesbgieslfge2p61h,4295330227,130,4,4295330229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4295330235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4295330221,30,"53uflfknc5uus7iqw3obp5fx1, 6fs7fjwxqpkgzosbb8364d4np, dtrm0ji0olk3n01v71m8a5exh, cgfk0e62cesbgieslfge2p61h, 8co65x7tuvynuqvket8okb7xl, 6zm75ruas324c7yrt18ttei8l, ajm2otiy72xcni5pbtu1259n8, azcxror0t5ede7nqobmhx9u6s, 9jitxfwaeix5fn1n3dhartbhm, edwr7f7jwnxm1plk91fx8hfro, 1he80t4tdvj86rbvng0956prd, 1tvu4rv4o96wqjzk836y9bp3p, 2x4vbu3htfozzwd8g7bdxeacp, 70bj6elm2g05zf0tfvbbta2mt, bj3unxp9xho1kr7sztpweagyy, 5ni7a4s85lp22rysy5inywf3e, 95tl8tonvm6czhwzd6i5ep756, 270qzf9ig52z04iu3ujnmstg4, blgb1n71xsz7bbzpd2le9v33e, dyy9qh1b8rzc2ganhv1gk1las",4295330223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4295512687,197,4515,4295330225,59,"1, 3, 2, 13, 4, 25, 29, 30, 9, 22, 7, 99, 5, 6, 11, 14, 15, 21, 31, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552090347,2,32,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0,0,2023-05-21T00:37:38.872Z,2023-05-21T00:37:41Z,4295526263,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552090341,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-05-21T00:37:38.872Z,2023-05-21T00:37:39Z,4295526211,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552090361,3,1,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,50.3,49.5,2023-05-21T00:37:38.972Z,2023-05-21T02:57:52Z,4295526331,56,Back,4295526335,141,38.0,4295526341,279,S,4295526333,140,41.3,4295526339,213,3.8,4295526337,212,12.3,,,,,,,7pdog0usw4fwr3j3neexfz1ed,R. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552090383,4,1,1,0,3,esvbnzqbyvxp2k570ez7h1a1g,0,37,39.5,2023-05-21T00:37:42.313Z,2023-05-21T01:30:15Z,4295526509,1,,4295526507,213,0.4,4295526505,212,46.7,4295526503,141,64.8,4295526499,56,Center,4295526497,155,,4295526501,140,78.3,,,,7pynp0g6h56oqimzdffivfpat,K. Riehl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552090411,3,1,1,0,5,c3v2ohfuzoqmc8ljm65hi80sj,0,38.6,28.9,2023-05-21T00:37:44.556Z,2023-05-21T00:37:56Z,4295526651,140,35.8,4295526657,213,4.4,4295526647,3,,4295526653,141,13.2,4295526649,56,Back,4295526655,212,11.1,,,,,,,edwr7f7jwnxm1plk91fx8hfro,M. Alozie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552090439,5,50,1,0,8,esvbnzqbyvxp2k570ez7h1a1g,1,73,88.3,2023-05-21T00:37:47.514Z,2023-05-21T00:37:49Z,4295526913,233,4,4295526813,286,,4295526811,56,Left,,,,,,,,,,,,,,,,1i4e7ehhib7vt3tx5xmd9efv9,S. Jakobsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552090455,4,7,1,0,8,c3v2ohfuzoqmc8ljm65hi80sj,1,27,11.7,2023-05-21T00:37:47.515Z,2023-05-21T00:37:49Z,4295526875,167,,4295526877,56,Back,4295526897,233,5,4295526879,285,,,,,,,,,,,,,,6fs7fjwxqpkgzosbb8364d4np,C. Dydasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552090469,5,5,1,0,10,c3v2ohfuzoqmc8ljm65hi80sj,0,26.5,-1.8,2023-05-21T00:37:49.098Z,2023-05-21T00:56:17Z,4295526953,56,Back,4295526955,347,,4295527205,233,6,,,,,,,,,,,,,,,,6fs7fjwxqpkgzosbb8364d4np,C. Dydasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
