id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value
2541342827,9,1,1,0,18,966pdxhsoxaib9qt5083h8uus,0,33,97.3,2023-04-30T02:11:06.673Z,2023-04-30T02:11:08Z,4238288269,140,42.6,4238288275,213,5.2,4238288267,56,Back,4238288271,141,68.3,4238288273,212,22.1,,,,,,,,,,1uf4321zvio3hrwfu4z4jxp7t,K. Strom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541342833,3,49,1,0,19,esvbnzqbyvxp2k570ez7h1a1g,1,57.8,32.4,2023-04-30T02:11:07.662Z,2023-05-04T14:27:52Z,,,,,,,,,,,,,,,,,,,,,,,,,1c2boqmoi50esuelgdd96o06h,D. Colaprico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541342913,4,1,1,0,20,esvbnzqbyvxp2k570ez7h1a1g,1,53.3,32.6,2023-04-30T02:11:09.061Z,2023-05-04T14:27:57Z,4238288669,212,13.4,4238288665,140,64.8,4238288671,213,0.5,4238288663,56,Center,4238288667,141,41.2,,,,,,,,,,1c2boqmoi50esuelgdd96o06h,D. Colaprico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541342967,5,1,1,0,24,esvbnzqbyvxp2k570ez7h1a1g,1,67.3,40.4,2023-04-30T02:11:13.526Z,2023-04-30T02:11:16Z,4238288927,56,Right,4238288939,212,26.9,4238288943,213,5.6,4238288935,141,17.0,4238288931,140,87.9,,,,,,,,,,4k83z2cdvn2kwb72kh8e8qfsa,J. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541342981,6,3,1,0,27,esvbnzqbyvxp2k570ez7h1a1g,0,91.5,17.6,2023-04-30T02:11:15.713Z,2023-05-04T14:28:13Z,4238289007,286,,4238289003,56,Right,4249842913,464,,4238289135,233,10,,,,,,,,,,,,,7pdog0usw4fwr3j3neexfz1ed,R. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343003,10,7,1,0,27,966pdxhsoxaib9qt5083h8uus,1,8.5,82.4,2023-04-30T02:11:15.714Z,2023-05-04T14:28:17Z,4249843065,383,,4238289115,233,6,4238289099,56,Back,4238289101,285,,,,,,,,,,,,,,1uf4321zvio3hrwfu4z4jxp7t,K. Strom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343005,11,49,1,0,29,966pdxhsoxaib9qt5083h8uus,1,8.3,91.8,2023-04-30T02:11:18.514Z,2023-04-30T02:11:18Z,,,,,,,,,,,,,,,,,,,,,,,,,1uf4321zvio3hrwfu4z4jxp7t,K. Strom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343033,7,45,1,0,32,esvbnzqbyvxp2k570ez7h1a1g,0,84.9,4.2,2023-04-30T02:11:20.705Z,2023-04-30T02:11:22Z,4238289223,56,Right,4238289227,286,,4238289311,233,12,,,,,,,,,,,,,,,,7pdog0usw4fwr3j3neexfz1ed,R. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343047,12,3,1,0,32,966pdxhsoxaib9qt5083h8uus,1,15.1,95.8,2023-04-30T02:11:20.705Z,2023-05-04T14:28:37Z,4238289291,285,,4238289295,233,7,4249843625,465,,4238289289,56,Back,,,,,,,,,,,,,1uf4321zvio3hrwfu4z4jxp7t,K. Strom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343059,13,1,1,0,33,966pdxhsoxaib9qt5083h8uus,0,18.2,96.7,2023-04-30T02:11:22.162Z,2023-04-30T02:11:23Z,4238289369,56,Back,4238289375,212,15.5,4238289371,140,30.8,4238289373,141,84.8,4238289377,213,5.7,,,,,,,,,,1uf4321zvio3hrwfu4z4jxp7t,K. Strom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
