id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/8/value,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2537672597,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0,0,2023-04-23T01:37:59.208Z,2023-04-23T02:55:27Z,4211759877,30,"2e8med2swmjdv0uck4hmz4s4q, 7hrw0exutge376ai2uf6frw4q, 6zvfcc67po0ofvl1twrv13tg5, 1zjvb0kej2m1kp1sl0hw8tmuh, 2mawkst2xlxrp2zbvgk6rundh, 5rtm5d6v7nfqjh9ahayyc1bkl, 9tbrhbbmfxq8l363kybl4g7ah, asfd5wkedz1u29xt37r6or4rt, 4f0zm6i0gg260zvicbviqsdn8, v0q4f70xrc8ylwip5lfva5ed, 2qqged8hw4lzh6u8r81kc22fp, egntdpd5mpnv6i8n8uv4yolhx, 3v2uqzotxtogavxgqpe7plene, brs2knmydegipvthtwu6xwqac, esz6xzkinz76pk8edmsjwldzo, 3svqubb2pdx77fopvm9tfc7x0, amls5kykb1h1c9b1mpiue3i6t, 741s72n2a9z9o8lbcz3jx8gyd, 7gslai7b2mkllvzelqo0rknvt, cg742b2p33p8uuomo365c5h5g",4211759889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4211759881,59,"1, 2, 16, 6, 4, 20, 8, 7, 22, 77, 14, 3, 5, 9, 15, 21, 25, 27, 44, 99",4211759879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4211759885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4211946991,197,10600,4211759883,130,4,4211759887,194,1zjvb0kej2m1kp1sl0hw8tmuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537681153,1,34,16,0,0,446mp88j1vpk9iwui9fiifrp8,1,0,0,2023-04-23T01:53:32.904Z,2023-04-23T02:42:59Z,4211807489,30,"1yva0f096q2oqk5gz59utr42y, 615vz7uoe3eiozddbe206io6h, bnnc9csv7qrc2xgx7yzgxlcr9, cmolam8ri93kos2rasjhnuxyi, 4j9un8594hl9gezwkdeafnbsa, dpi1jk3r0cyn9f9ote89781jp, 7in4ykzbs8p44qy4jrb10p0wl, 4b13osk9pzrosvzqt55y7o34l, f05vaz2h7sxozmvi641cf7qi1, cfx9wllh2x6ozkvqxusa3sl3p, 7w3qwzs0je6lqm4j7v3c02qga, 5zwpytehpeosi3sfckvkuy3md, 6k82rq8synvac950ext5t0jpx, 7izc8t071mkrrgvptdjru467e, 8e4jqpg6oty7im4qy4a6j1wk4, 321yjdo3gio1l33hc1pdps4wl, f3wzzxviv45cq74tftqj6m4iy, 2sylxhwmisg8f763p2t1q934k, 33u8nb0n2o6jsipw0b5r4j8mi, 16xdgkd63d47o5ieudqo4ksq2",4211807501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4211807491,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4211807499,194,cfx9wllh2x6ozkvqxusa3sl3p,4211807495,130,8,4211807493,59,"1, 2, 25, 17, 20, 4, 8, 19, 9, 12, 22, 5, 11, 13, 18, 21, 24, 33, 39, 46",4211905101,197,14893,4211807497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537701429,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0,0,2023-04-23T02:37:41.600Z,2023-04-23T02:37:41Z,4211905581,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537701435,2,32,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,0,0,2023-04-23T02:37:41.600Z,2023-04-23T02:37:43Z,4211905621,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537701453,3,1,1,0,0,dtucewmt49th1p4selfutmnmc,1,50,50,2023-04-23T02:37:41.998Z,2023-04-23T03:28:05Z,4211905721,141,51.8,4211905719,140,38.3,4211905723,212,12.3,4211905727,279,S,4211905717,56,Back,4211905725,213,3.0,,,,,,,4f0zm6i0gg260zvicbviqsdn8,K. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537701463,4,1,1,0,3,dtucewmt49th1p4selfutmnmc,0,38.3,51.8,2023-04-23T02:37:44.773Z,2023-04-23T03:27:34Z,4211905795,213,0.5,4211905787,56,Left,4211905789,140,76.1,4211905797,1,,4211905791,141,87.3,4211905785,155,,4211905793,212,46.5,,,,1zjvb0kej2m1kp1sl0hw8tmuh,J. Howell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537701481,3,1,1,0,5,446mp88j1vpk9iwui9fiifrp8,1,20.3,14.3,2023-04-23T02:37:47.590Z,2023-04-23T02:37:50Z,4211905967,141,12.5,4211905963,56,Back,4211905965,140,33.9,4211905961,3,,4211905969,212,14.3,4211905971,213,6.2,,,,,,,615vz7uoe3eiozddbe206io6h,R. Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537701483,4,61,1,0,8,446mp88j1vpk9iwui9fiifrp8,0,34.8,10,2023-04-23T02:37:50.197Z,2023-04-23T02:37:50Z,4211905979,56,Back,,,,,,,,,,,,,,,,,,,,,,7in4ykzbs8p44qy4jrb10p0wl,H. Sugita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537701521,5,1,1,0,9,dtucewmt49th1p4selfutmnmc,1,61,93.4,2023-04-23T02:37:51.382Z,2023-04-23T02:37:55Z,4211906189,141,92.1,4211906187,140,69.2,4211906185,56,Left,4211906193,213,6.2,4211906191,212,8.7,,,,,,,,,,6zvfcc67po0ofvl1twrv13tg5,C. Pickett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537701523,6,3,1,0,13,dtucewmt49th1p4selfutmnmc,0,78,96.4,2023-04-23T02:37:55.109Z,2023-04-23T02:38:00Z,4211906409,233,5,4211906203,286,,4211906201,56,Left,,,,,,,,,,,,,,,,asfd5wkedz1u29xt37r6or4rt,S. DeMelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
