id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,keyPass,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2541321725,1,34,16,0,0,446mp88j1vpk9iwui9fiifrp8,1,0,0,2023-04-30T01:35:32.687Z,2023-04-30T03:02:49Z,4238172059,130,8,4238172063,194,cfx9wllh2x6ozkvqxusa3sl3p,4238172057,59,"1, 14, 25, 11, 20, 5, 8, 17, 12, 19, 22, 2, 9, 13, 18, 21, 24, 33, 39, 46",4238172065,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4238172061,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4238362437,197,14893,4238172053,30,"1yva0f096q2oqk5gz59utr42y, v0k2w41tlj0elpj7nrw68onp, bnnc9csv7qrc2xgx7yzgxlcr9, 6k82rq8synvac950ext5t0jpx, 4j9un8594hl9gezwkdeafnbsa, 5zwpytehpeosi3sfckvkuy3md, 7in4ykzbs8p44qy4jrb10p0wl, cmolam8ri93kos2rasjhnuxyi, cfx9wllh2x6ozkvqxusa3sl3p, 4b13osk9pzrosvzqt55y7o34l, 7w3qwzs0je6lqm4j7v3c02qga, 615vz7uoe3eiozddbe206io6h, f05vaz2h7sxozmvi641cf7qi1, 7izc8t071mkrrgvptdjru467e, 8e4jqpg6oty7im4qy4a6j1wk4, 321yjdo3gio1l33hc1pdps4wl, f3wzzxviv45cq74tftqj6m4iy, 2sylxhwmisg8f763p2t1q934k, 33u8nb0n2o6jsipw0b5r4j8mi, 16xdgkd63d47o5ieudqo4ksq2",4238172055,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541325687,1,34,16,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0,0,2023-04-30T01:41:54.297Z,2023-04-30T03:02:31Z,4238372917,197,19019,4238194895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4238194893,130,4,4238194899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4238194891,59,"13, 3, 5, 17, 11, 14, 8, 18, 9, 10, 21, 1, 6, 15, 19, 28, 29, 33, 99",4238194887,30,"bxf73uaptcz0uj7uy1g0euod1, f1lymlxr3tdvvvhlv5rixarx1, 5shor8es56o12syt7wdllu385, 9aj5gfycwgc6r0b550zagl4a1, etdam0sfwiphiwykieovlsyy1, 8ruvr2jnsfdub02rdh8q88s89, dve5pao9dmobh167wb8g45g45, avhmou9ayqv9te0nocy80aga1, 6h8t7apz5vzk0pjxo8hbbkfhm, 18kiz7s5jlyotkb4p0sbbxyol, dfeohozpw604y5jbu01u1dkkq, 4ydhmjolo7sirgluzy5802kus, 6opd7nuh51c7p6pn6w04yuntg, 8kpc8oizpun31b1a8jxm8f7ys, lg9muzm3sbiijicsik53m3je, 5ctvnqq716lbj0l9prrp8vb4k, ajdrn06n41ykofo4ihp5558t1, 6l2wua4jg3a4v85su8nmc52p5, 3bx0w0ftkij1lqrt727gjd94a",4238194889,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4238194897,194,5shor8es56o12syt7wdllu385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359305,2,32,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0,0,2023-04-30T02:38:00.292Z,2023-04-30T02:38:02Z,4238375119,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359295,2,32,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,0,0,2023-04-30T02:38:00.292Z,2023-05-04T09:48:11Z,4238375079,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359331,3,1,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,50,50,2023-04-30T02:38:00.478Z,2023-04-30T02:38:04Z,4238375281,212,14.6,4238375277,140,36.2,4238375279,141,47.6,4238375275,56,Back,4238375283,213,3.3,4238375285,279,S,,,,,,,cfx9wllh2x6ozkvqxusa3sl3p,C. Sinclair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359343,4,1,1,0,4,446mp88j1vpk9iwui9fiifrp8,1,32.9,44.5,2023-04-30T02:38:04.593Z,2023-04-30T02:38:06Z,4238375359,141,13.4,4238375361,212,21.8,4238375357,140,27.7,4238375363,213,4.5,4238375355,56,Back,,,,,,,,,,cmolam8ri93kos2rasjhnuxyi,S. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359349,5,1,1,0,5,446mp88j1vpk9iwui9fiifrp8,1,27.7,13.4,2023-04-30T02:38:06.273Z,2023-05-04T10:14:49Z,4238375415,212,18.3,4238375413,141,7.6,4238375409,56,Back,4238375417,213,6.1,4238375411,140,44.7,,,,,,,,,,v0k2w41tlj0elpj7nrw68onp,N. Kuikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359377,6,1,1,0,8,446mp88j1vpk9iwui9fiifrp8,1,42.5,10.1,2023-04-30T02:38:09.088Z,2023-05-04T10:15:07Z,4238375597,213,0.0,4238375593,141,10.7,4238375589,56,Right,4238375595,212,19.2,4238375591,140,60.8,,,,,,,,,,7in4ykzbs8p44qy4jrb10p0wl,H. Sugita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359379,7,61,1,0,12,446mp88j1vpk9iwui9fiifrp8,0,59.8,9.1,2023-04-30T02:38:12.784Z,2023-05-04T10:01:27Z,4238375601,56,Right,,,,,,,,,,,,,,,,,,,,,,4b13osk9pzrosvzqt55y7o34l,C. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359389,3,1,1,0,12,6hbfgdczbi3yg4sdpqgtu6s,0,38,96.6,2023-04-30T02:38:12.846Z,2023-05-04T10:01:28Z,4238485847,233,8,4238375645,140,34.7,4238375643,56,Back,4238375649,212,3.5,4238485851,286,,4238485843,236,,4238375653,213,3.2,4238375647,141,96.3,5shor8es56o12syt7wdllu385,A. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359391,8,74,1,0,12,446mp88j1vpk9iwui9fiifrp8,1,59.8,9.1,2023-04-30T02:38:12.847Z,2023-04-30T03:40:02Z,4238485811,285,,4238375661,56,Right,4238485853,233,3,,,,,,,,,,,,,,,,4b13osk9pzrosvzqt55y7o34l,C. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359435,9,1,1,0,15,446mp88j1vpk9iwui9fiifrp8,1,57.4,8.9,2023-04-30T02:38:15.426Z,2023-05-04T10:15:20Z,4238375883,212,9.8,4238375885,213,6.2,4238375879,140,66.7,4238375877,56,Right,4238375881,141,7.4,,,,,,,,,,7in4ykzbs8p44qy4jrb10p0wl,H. Sugita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543395323,881,3,1,0,16,446mp88j1vpk9iwui9fiifrp8,0,61.4,4.3,2023-04-30T02:38:16.743Z,2023-05-04T10:00:01Z,4249214035,465,,4249214037,467,9aj5gfycwgc6r0b550zagl4a1,4249214033,286,,4249214031,56,Right,,,,,,,,,,,,,4b13osk9pzrosvzqt55y7o34l,C. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359439,10,4,1,0,17,446mp88j1vpk9iwui9fiifrp8,1,69,6.6,2023-04-30T02:38:18.080Z,2023-04-30T02:38:21Z,4238375891,13,,4238375899,286,,4238375897,265,,4238376019,233,4,4238375895,152,,4238375893,56,Right,,,,,,,4b13osk9pzrosvzqt55y7o34l,C. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359451,4,4,1,0,17,6hbfgdczbi3yg4sdpqgtu6s,0,31,93.4,2023-04-30T02:38:18.081Z,2023-04-30T02:38:21Z,4238375995,265,,4238375993,152,,4238376027,233,10,4238375989,13,,4238375997,285,,4238375991,56,Back,,,,,,,9aj5gfycwgc6r0b550zagl4a1,D. Weatherholt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359713,11,1,1,0,50,446mp88j1vpk9iwui9fiifrp8,1,59.6,8.9,2023-04-30T02:38:51.177Z,2023-05-04T10:05:13Z,4238377511,212,20.4,4238377503,152,,4238377505,56,Center,4238377501,5,,4238377509,141,38.6,4238377513,213,1.4,4238377507,140,62.5,,,,bnnc9csv7qrc2xgx7yzgxlcr9,M. Klingenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359755,12,1,1,0,51,446mp88j1vpk9iwui9fiifrp8,1,63.8,35.1,2023-04-30T02:38:51.672Z,2023-05-04T10:05:24Z,4238377749,141,16.3,4238377747,140,85.5,4238377753,213,5.8,4238377751,212,26.1,4238377745,56,Right,4238377743,155,,,,,,,,cmolam8ri93kos2rasjhnuxyi,S. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541359757,13,50,1,0,54,446mp88j1vpk9iwui9fiifrp8,1,85.8,16.7,2023-04-30T02:38:54.366Z,2023-05-04T15:06:06Z,4238377769,56,Right,4238377771,286,,4249891423,233,9,,,,,,,,,,,,,,,,v0k2w41tlj0elpj7nrw68onp,N. Kuikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541360009,9,7,1,0,54,6hbfgdczbi3yg4sdpqgtu6s,0,14.2,83.3,2023-04-30T02:38:54.367Z,2023-05-04T10:06:45Z,4238449633,233,13,4249228275,385,,4238379037,56,Back,4238379039,285,,,,,,,,,,,,,,5shor8es56o12syt7wdllu385,A. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
