id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2526784215,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-04-01T17:26:25.832Z,2023-04-01T18:09:19Z,4154024685,197,3403,4153860385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153860377,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4153860375,30,"53uflfknc5uus7iqw3obp5fx1, 6fs7fjwxqpkgzosbb8364d4np, dtrm0ji0olk3n01v71m8a5exh, cgfk0e62cesbgieslfge2p61h, 8co65x7tuvynuqvket8okb7xl, e4lfaia255nw9ndnol0mvxc2y, 9jitxfwaeix5fn1n3dhartbhm, 5ni7a4s85lp22rysy5inywf3e, bj3unxp9xho1kr7sztpweagyy, ajm2otiy72xcni5pbtu1259n8, 1he80t4tdvj86rbvng0956prd, i6agm9wbvn7j7iljfnmnqq6s, 38p95hbwy1ivwo4orwdrwal90, blgb1n71xsz7bbzpd2le9v33e, 4tm3f1xmjfy7hffe7io731yxg, 70bj6elm2g05zf0tfvbbta2mt, 5z4eljhtvsvscd9kvsi0cfh7t, 270qzf9ig52z04iu3ujnmstg4, edwr7f7jwnxm1plk91fx8hfro",4154053167,194,cgfk0e62cesbgieslfge2p61h,4153860381,130,8,4153860379,59,"1, 3, 2, 13, 4, 23, 9, 14, 11, 29, 7, 35, 39, 31, 37, 6, 17, 21, 22",4153860383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526797391,1,34,16,0,0,dzxypx8djih58p668surbi4qm,1,0,0,2023-04-01T17:41:48.111Z,2023-04-01T18:12:10Z,4153931997,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4153932003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4154022947,197,3612,4153932001,130,17,4153932005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153931999,59,"1, 24, 3, 23, 12, 6, 4, 7, 8, 55, 9, 5, 14, 15, 19, 20, 22, 25, 31, 34",4154022945,194,cbhcuvuqi3gxgln6n463vz9at,4153931995,30,"cbhcuvuqi3gxgln6n463vz9at, 8v62hppzsz2yonw60h9910iga, cieyupgmnxecb4emqljudrw89, 3esajnuok17w043qxim4s6n10, 6bbodw3m9bstocysxvzfuo3my, 4ullol3wa4qdi9ydgrxgxbcgl, 6zzk0lgja87zs45h8btgheled, csx5jhf4hyzld6gg790usp0wl, 4e2l88qfahs0ey4urydb96e7e, cnxanwub8nm1jokerrs83mk4q, dkk9sopglpjgnopxcxkn65gid, 7thgvx3dppvykp3fxc9zbb845, c11wgnz0v95lj8ldtecp7wges, 19q08g2zozqldqapwyv1osxsk, 6wtid9p5sncnatdjk1unpebdg, 5tv4la0or9dxgp7x5vbxs94vd, ejnchs99plocbhm7txy6r3s9h, 8ace4czv4na5qww43srp67fv8, 6310xsm8wes34gu6654cgvmz8, 6e7scc2z7henelebs853mc844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819135,2,32,1,0,0,dzxypx8djih58p668surbi4qm,1,0,0,2023-04-01T18:08:43.307Z,2023-04-07T13:22:55Z,4154049263,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819131,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-04-01T18:08:43.307Z,2023-04-01T18:08:43Z,4154049245,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819161,3,1,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,50.1,49.9,2023-04-01T18:08:43.407Z,2023-04-01T18:08:46Z,4154049447,141,54.8,4154049443,56,Back,4154049449,212,15.3,4154049451,213,2.9,4154049453,279,S,4154049445,140,35.9,,,,,,,bj3unxp9xho1kr7sztpweagyy,D. Ordoñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819205,4,1,1,0,2,c3v2ohfuzoqmc8ljm65hi80sj,1,43.8,53.9,2023-04-01T18:08:46.001Z,2023-04-01T18:08:48Z,4154049707,141,78.0,4154049711,213,1.0,4154049709,212,20.0,4154049705,140,54.7,4154049703,56,Center,,,,,,,,,,cgfk0e62cesbgieslfge2p61h,S. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819237,5,1,1,0,5,c3v2ohfuzoqmc8ljm65hi80sj,1,53.1,78.5,2023-04-01T18:08:48.592Z,2023-04-01T18:08:51Z,4154049927,212,20.3,4154049921,56,Back,4154049923,140,37.4,4154049929,213,2.5,4154049925,141,96.0,,,,,,,,,,5ni7a4s85lp22rysy5inywf3e,M. Viggiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819265,6,1,1,0,8,c3v2ohfuzoqmc8ljm65hi80sj,1,41.8,96.5,2023-04-01T18:08:51.457Z,2023-04-01T18:08:53Z,4154050077,141,90.8,4154050073,56,Left,4154050083,213,6.1,4154050081,212,21.7,4154050075,140,62.1,,,,,,,,,,dtrm0ji0olk3n01v71m8a5exh,A. Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819271,7,61,1,0,9,c3v2ohfuzoqmc8ljm65hi80sj,0,62.1,90.8,2023-04-01T18:08:53.184Z,2023-04-01T18:08:53Z,4154050105,56,Left,,,,,,,,,,,,,,,,,,,,,,1he80t4tdvj86rbvng0956prd,M. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819307,3,61,1,0,11,dzxypx8djih58p668surbi4qm,1,44.1,8,2023-04-01T18:08:54.841Z,2023-04-01T18:08:54Z,4154050359,56,Back,,,,,,,,,,,,,,,,,,,,,,4ullol3wa4qdi9ydgrxgxbcgl,C. Krueger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819345,4,49,1,0,12,dzxypx8djih58p668surbi4qm,1,48.8,11,2023-04-01T18:08:55.368Z,2023-04-07T16:30:39Z,,,,,,,,,,,,,,,,,,,,,,,,,8v62hppzsz2yonw60h9910iga,J. Bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819395,5,4,1,0,13,dzxypx8djih58p668surbi4qm,1,47.6,8.6,2023-04-01T18:08:56.368Z,2023-04-01T18:09:04Z,4154050835,152,,4154050839,286,,4154050833,56,Back,4154050831,13,,4154050837,265,,4154051431,233,8,,,,,,,8v62hppzsz2yonw60h9910iga,J. Bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526819357,8,4,1,0,13,c3v2ohfuzoqmc8ljm65hi80sj,0,52.4,91.4,2023-04-01T18:08:56.369Z,2023-04-07T16:31:07Z,4154050617,56,Left,4154051457,233,5,4154051345,265,,4154050619,285,,4154051343,152,,4154051339,13,,,,,,,,1he80t4tdvj86rbvng0956prd,M. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
