id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/18/value
2527870075,1,34,16,0,0,966pdxhsoxaib9qt5083h8uus,1,0,0,2023-04-02T21:00:39.007Z,2023-04-02T21:40:47Z,4159648957,30,"7e8f4kfwcucaj4239xz0rai1h, 3cyj9a2fjtx4xd0bqdh6g3azu, 1uf4321zvio3hrwfu4z4jxp7t, 91pl4sfwk9t4ybwanj8dlwahg, 9yvkpwm78jaqr321imfc3rrbo, 4ptow542cf8xp3kct4sbydh5g, 3sgg664ay83kxhe17ogbke978, dyfsbff9jueyw5jhjou424bo4, 9hnfv1rr3nnsu8puxgd05teqd, eigt6t2rj0k98zt1isqrvtvqh, 9dhcf93mr1nfzxjv769gvnzyt, 9hs0hutntgdjklszqisxozend, 3wv8fvkh6lf02lkinpj30ecfe, 3tphlgyvws6ml5qiicqbsvrh1, 3806ue4qpxyit2ps1ubj3hrkl, 191uogxjdg4uo178qv1544jys, 68njvqucip0ehuz4eecppvq0a, 1581xqhaxb753qd86v03j6ycq, 6x5f13ghtvbdhcf7f9sct54dm, 3ujv4avesd20fo6wrlzeknasq",4159648965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159648971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159648961,59,"21, 2, 3, 8, 6, 26, 20, 25, 9, 11, 15, 5, 7, 13, 19, 23, 28, 31, 32, 22",4159648967,194,3cyj9a2fjtx4xd0bqdh6g3azu,4159648963,130,2,4159648959,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159648969,197,18735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527870549,1,34,16,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0,0,2023-04-02T21:02:06.330Z,2023-04-02T21:42:32Z,4159732591,194,5shor8es56o12syt7wdllu385,4159651307,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4159651311,130,4,4159651305,30,"bxf73uaptcz0uj7uy1g0euod1, 5shor8es56o12syt7wdllu385, 8ruvr2jnsfdub02rdh8q88s89, 6h8t7apz5vzk0pjxo8hbbkfhm, etdam0sfwiphiwykieovlsyy1, 6opd7nuh51c7p6pn6w04yuntg, 3bx0w0ftkij1lqrt727gjd94a, 9aj5gfycwgc6r0b550zagl4a1, dfeohozpw604y5jbu01u1dkkq, 18kiz7s5jlyotkb4p0sbbxyol, avhmou9ayqv9te0nocy80aga1, 4ydhmjolo7sirgluzy5802kus, f1lymlxr3tdvvvhlv5rixarx1, 7gvdzul3qvjac851i2gfsf8tm, 1enu619pvakj78wtsfuilbj3e, 5ctvnqq716lbj0l9prrp8vb4k, ajdrn06n41ykofo4ihp5558t1, 6l2wua4jg3a4v85su8nmc52p5, 8kpc8oizpun31b1a8jxm8f7ys",4159651315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159651313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4159732593,197,15072,4159651309,59,"13, 5, 14, 9, 11, 6, 99, 17, 21, 10, 18, 1, 3, 7, 16, 28, 29, 33, 15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527887489,2,32,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0,0,2023-04-02T21:38:08.031Z,2023-04-02T21:38:11Z,4159737757,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527887485,2,32,1,0,0,966pdxhsoxaib9qt5083h8uus,1,0,0,2023-04-02T21:38:08.031Z,2023-04-04T19:16:50Z,4159737747,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527887495,3,1,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,49.7,50.1,2023-04-02T21:38:08.397Z,2023-04-02T21:59:29Z,4159737789,141,55.5,4159737795,279,S,4159737791,212,18.3,4159737787,140,32.6,4159737785,56,Back,4159737793,213,2.9,,,,,,,9aj5gfycwgc6r0b550zagl4a1,D. Weatherholt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527887511,4,1,1,0,2,6hbfgdczbi3yg4sdpqgtu6s,0,37.4,59.6,2023-04-02T21:38:10.219Z,2023-04-02T21:59:34Z,4159737899,213,6.0,4159737891,56,Center,4159737897,212,60.4,4159737901,1,,4159737895,141,31.8,4159737893,140,92.0,4159737889,155,,,,,avhmou9ayqv9te0nocy80aga1,J. Endo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527887531,3,1,1,0,4,966pdxhsoxaib9qt5083h8uus,1,28.6,83.3,2023-04-02T21:38:12.108Z,2023-04-04T19:23:23Z,4159737977,3,,4159737983,141,76.5,4159737985,212,24.0,4159737981,140,6.2,4159737987,213,3.3,4159737979,56,Back,,,,,,,9dhcf93mr1nfzxjv769gvnzyt,E. Tymrak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527887537,4,49,1,0,5,966pdxhsoxaib9qt5083h8uus,1,6.2,76.5,2023-04-02T21:38:13.941Z,2023-04-02T23:46:19Z,,,,,,,,,,,,,,,,,,,,,,,,,4ptow542cf8xp3kct4sbydh5g,C. Cosme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527887577,5,1,1,0,6,966pdxhsoxaib9qt5083h8uus,1,6.2,76.5,2023-04-02T21:38:14.389Z,2023-04-02T23:46:21Z,4159738233,155,,4159738247,213,0.6,4159738239,140,26.4,4159738245,212,25.7,4159738243,141,97.9,4159738235,56,Back,,,,,,,4ptow542cf8xp3kct4sbydh5g,C. Cosme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527887579,6,1,1,0,7,966pdxhsoxaib9qt5083h8uus,0,26.4,97.9,2023-04-02T21:38:15.357Z,2023-04-02T23:46:30Z,4159738255,3,,4159738257,56,Back,4159738259,140,40.9,4159738263,212,15.4,4159738265,213,0.2,4159738261,141,100.0,,,,,,,9dhcf93mr1nfzxjv769gvnzyt,E. Tymrak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
