id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,assist,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId
2552035019,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0,0,2023-05-20T23:14:34.056Z,2023-05-21T00:18:38Z,4295407481,197,10599,4295224693,194,1zjvb0kej2m1kp1sl0hw8tmuh,4295224683,30,"2e8med2swmjdv0uck4hmz4s4q, 7hrw0exutge376ai2uf6frw4q, 6zvfcc67po0ofvl1twrv13tg5, 1zjvb0kej2m1kp1sl0hw8tmuh, esz6xzkinz76pk8edmsjwldzo, 5rtm5d6v7nfqjh9ahayyc1bkl, 9tbrhbbmfxq8l363kybl4g7ah, asfd5wkedz1u29xt37r6or4rt, 4f0zm6i0gg260zvicbviqsdn8, v0q4f70xrc8ylwip5lfva5ed, 3v2uqzotxtogavxgqpe7plene, egntdpd5mpnv6i8n8uv4yolhx, 2mawkst2xlxrp2zbvgk6rundh, brs2knmydegipvthtwu6xwqac, 1x7uympcm3bao133r6wr3nw15, 347h4639fjw27rx29j0we0q5m, amls5kykb1h1c9b1mpiue3i6t, 741s72n2a9z9o8lbcz3jx8gyd, 26d7uj41yx6no1oc3izr0rys5, cg742b2p33p8uuomo365c5h5g",4295224689,130,4,4295224687,59,"1, 2, 16, 6, 15, 20, 8, 7, 22, 77, 5, 3, 4, 9, 11, 19, 25, 27, 29, 99",4295224685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4295224691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4295224695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552036419,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-05-20T23:16:36.559Z,2023-05-21T01:38:30Z,4295406731,197,10933,4295231955,59,"38, 8, 4, 16, 23, 24, 17, 10, 9, 99, 5, 6, 14, 18, 19, 21, 25, 26, 29, 77",4295231951,30,"57nmefeij6bg2ltvoqmqb7nbp, 15u9zrm4e4gosthf1vmkp5ht6, 9wvoeo39cgbelv8ddqin3aaga, dv8265k3za578hkzxxuttqmdx, debcbmzdwiyac6jcf1icrowlw, 72e9oc63fclgqqvn3lgsjue50, e1irspfo9xupqz2sqvyq1zp0q, 4c6z6g6q7jq62bznylu0kjnc9, dokzh655hluwjh55fisecs9ud, 5ekbwy8vf1l1jzj6txawrg7h1, 94j0ci5rtwvr8nlrr32cfg9d6, i59wtf590736z0ecwwu9jims, 96jcamlgo8nghmr2s0m0q2lbe, 736jvvtkgwc3g1vooviaod33d, cdh996gimeb2p2bqgtdgkji1g, 4baep35yxj0df8fqwcvh7x8lx, a1vlxzecgxx2jh5gyfjc5usix, mmk0vhl1l0qxdyjina9v6xka, 1un4vc8t0zr8kh3u9ggug3i1g, 1115fgmv9xa3nwx3bu19jr9pl",4295231961,194,4c6z6g6q7jq62bznylu0kjnc9,4295231959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4295231957,130,8,4295231963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4295231953,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552068343,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0,0,2023-05-21T00:08:00.748Z,2023-05-21T00:08:02Z,4295406907,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552068333,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-05-21T00:08:00.748Z,2023-05-21T00:08:00Z,4295406867,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552068371,3,1,1,0,0,dtucewmt49th1p4selfutmnmc,1,49.9,49.7,2023-05-21T00:08:00.848Z,2023-05-21T00:10:15Z,4295407043,213,2.6,4295407039,141,61.4,4295407037,140,37.8,4295407035,56,Back,4295407045,279,S,4295407041,212,15.0,,,,,,,9tbrhbbmfxq8l363kybl4g7ah,Ary Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552068379,4,1,1,0,5,dtucewmt49th1p4selfutmnmc,1,37.7,61.4,2023-05-21T00:08:06.033Z,2023-05-21T00:08:07Z,4295407079,141,92.7,4295407083,213,0.8,4295407077,140,59.1,4295407081,212,31.0,4295407075,56,Left,,,,,,,,,,1zjvb0kej2m1kp1sl0hw8tmuh,J. Howell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552068387,5,1,1,0,6,dtucewmt49th1p4selfutmnmc,0,59.1,92.7,2023-05-21T00:08:07.424Z,2023-05-21T00:11:28Z,4295407125,141,74.8,4295407129,213,5.7,4295407127,212,20.9,4295407121,56,Center,4295407123,140,75.3,,,,,,,,,,3v2uqzotxtogavxgqpe7plene,P. Monaghan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552068397,3,12,1,0,7,agxipc0vk4rtg09amjxv10nx0,1,24,28.5,2023-05-21T00:08:08.129Z,2023-05-21T00:08:10Z,4295407193,141,6.4,4295407191,140,24.3,4295407197,213,4.7,4295407195,212,15.0,4295407189,56,Back,,,,,,,,,,debcbmzdwiyac6jcf1icrowlw,C. Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552068405,4,49,1,0,9,agxipc0vk4rtg09amjxv10nx0,1,24.3,6.4,2023-05-21T00:08:10.295Z,2023-05-21T00:08:10Z,,,,,,,,,,,,,,,,,,,,,,,,,15u9zrm4e4gosthf1vmkp5ht6,K. Del Fava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552068425,5,12,1,0,9,agxipc0vk4rtg09amjxv10nx0,1,24.3,6.4,2023-05-21T00:08:10.623Z,2023-05-21T00:08:12Z,4295407287,141,0.0,4295407289,212,12.9,4295407283,56,Back,4295407285,140,35.4,4295407291,213,5.8,4295407309,167,,,,,,,,15u9zrm4e4gosthf1vmkp5ht6,K. Del Fava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
