id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2537422303,1,34,16,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0,0,2023-04-22T18:43:44.594Z,2023-04-22T19:43:03Z,4210399061,130,8,4210399057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4210399055,30,"8btgs1e799s3xyjfqloeg2iju, dwwgrimn3ddecp5kllvsdga8l, 7lt9nze7e2mk2hlp9dkvabkyd, 93d5k82qrmjr894k2hp5aril1, 5kx524x345idecr205u9oopd6, 74uudh34v23m2z9gy5tdppxey, 9oyg8mzw5p2cc47omal5sb5uy, 3aj7p478dcuat6tz8096sq8dl, 78i4mxu4hxwp995udteweftgp, 4apwozsvcd68ki0o3469ftht6, 1wax6m4sngx7kwd55ce1xha3u, 97ssez228adiao5teqah0uqc5, e2drffyibnqhyo0sou3zahdsk, auxh2h28s4f16tb34cnue0bmx, 29vjl1iba9rz14yd1g9qi4pn9, 58ggl2oa2ucyrv91ofv44ump6, 349m08nptx7matql2hebn5t78, 7v6cr5ohzfbu6gf0dvw05q8h6, 2bb2dbogerxxvircnah8gw222, k8a5k4deho4rktyk7t6waac",4210399059,59,"91, 11, 3, 10, 4, 17, 24, 2, 9, 8, 23, 7, 12, 13, 15, 20, 22, 25, 30, 34",4210399063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4210399069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4210399065,194,7lt9nze7e2mk2hlp9dkvabkyd,4210399067,197,14890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537433523,1,34,16,0,0,dzxypx8djih58p668surbi4qm,1,0,0,2023-04-22T19:01:25.332Z,2023-04-22T20:18:05Z,4210623721,197,14974,4210785741,194,cbhcuvuqi3gxgln6n463vz9at,4210460439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4210460435,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4210460415,30,"cbhcuvuqi3gxgln6n463vz9at, ejnchs99plocbhm7txy6r3s9h, cieyupgmnxecb4emqljudrw89, 3esajnuok17w043qxim4s6n10, 6bbodw3m9bstocysxvzfuo3my, 4ullol3wa4qdi9ydgrxgxbcgl, 6zzk0lgja87zs45h8btgheled, csx5jhf4hyzld6gg790usp0wl, 4e2l88qfahs0ey4urydb96e7e, 5tv4la0or9dxgp7x5vbxs94vd, cnxanwub8nm1jokerrs83mk4q, 5dqjfblg7soo4znl8duds0zys, 7thgvx3dppvykp3fxc9zbb845, c11wgnz0v95lj8ldtecp7wges, 19q08g2zozqldqapwyv1osxsk, bk59xw0wl2ou43oapb0opja0a, 8v62hppzsz2yonw60h9910iga, 8ace4czv4na5qww43srp67fv8, cwqfzhy81uhnn287legtzq8t0, 6e7scc2z7henelebs853mc844",4210460423,59,"1, 22, 3, 23, 12, 6, 4, 7, 8, 20, 55, 2, 5, 14, 15, 21, 24, 25, 29, 34",4210460429,130,17,4210460417,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462515,2,32,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0,0,2023-04-22T19:37:43.850Z,2023-04-22T19:37:44Z,4210625663,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462547,2,32,1,0,0,dzxypx8djih58p668surbi4qm,1,0,0,2023-04-22T19:37:43.850Z,2023-04-22T19:37:46Z,4210625875,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462565,3,1,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,50.2,49.6,2023-04-22T19:37:43.950Z,2023-04-22T19:38:39Z,4210625997,141,33.5,4210626001,213,3.6,4210625995,140,30.3,4210625993,56,Back,4210625999,212,23.6,4210626003,279,S,,,,,,,4apwozsvcd68ki0o3469ftht6,B. Balcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462599,4,1,1,0,4,bl53jk6zlfe5f583pil7xzwi5,0,30.5,33.5,2023-04-22T19:37:48.102Z,2023-04-22T19:38:43Z,4210626171,155,,4210626181,213,0.6,4210626173,56,Center,4210626179,212,47.1,4210626175,140,67.9,4210626185,1,,4210626177,141,71.7,,,,5kx524x345idecr205u9oopd6,A. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462631,3,1,1,0,6,dzxypx8djih58p668surbi4qm,0,35.3,29.5,2023-04-22T19:37:50.696Z,2023-04-22T20:33:31Z,4210626401,140,46.2,4210626399,56,Back,4210626403,141,23.1,4210626409,213,5.9,4210626405,212,12.2,4210626397,3,,,,,,,,6zzk0lgja87zs45h8btgheled,C. Roccaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462719,5,1,1,0,11,bl53jk6zlfe5f583pil7xzwi5,1,43.2,89.6,2023-04-22T19:37:55.446Z,2023-04-22T19:37:57Z,4210626927,141,79.7,4210626925,140,34.8,4210626931,213,3.8,4210626923,56,Back,4210626929,212,11.1,,,,,,,,,,93d5k82qrmjr894k2hp5aril1,J. Fishlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462777,6,1,1,0,13,bl53jk6zlfe5f583pil7xzwi5,1,34.8,79.7,2023-04-22T19:37:57.478Z,2023-04-22T19:38:02Z,4210627265,140,25.5,4210627263,56,Back,4210627269,212,16.1,4210627271,213,4.1,4210627267,141,60.9,,,,,,,,,,7lt9nze7e2mk2hlp9dkvabkyd,L. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462807,7,1,1,0,18,bl53jk6zlfe5f583pil7xzwi5,1,25.5,60.9,2023-04-22T19:38:02.487Z,2023-04-22T19:38:47Z,4210627481,140,28.7,4210627487,213,4.9,4210627479,56,Back,4210627485,212,22.8,4210627483,141,27.8,,,,,,,,,,74uudh34v23m2z9gy5tdppxey,S. Hiatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462821,8,1,1,0,20,bl53jk6zlfe5f583pil7xzwi5,1,28.7,27.8,2023-04-22T19:38:04.758Z,2023-04-22T19:38:06Z,4210627579,141,60.0,4210627575,56,Back,4210627583,213,1.7,4210627577,140,26.5,4210627581,212,22.0,,,,,,,,,,5kx524x345idecr205u9oopd6,A. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462853,9,1,1,0,22,bl53jk6zlfe5f583pil7xzwi5,1,26.5,60,2023-04-22T19:38:06.486Z,2023-04-22T20:32:16Z,4210627791,56,Back,4210627793,140,33.1,4210627799,213,1.2,4210627795,141,87.2,4210627797,212,19.8,,,,,,,,,,74uudh34v23m2z9gy5tdppxey,S. Hiatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537462925,10,1,1,0,25,bl53jk6zlfe5f583pil7xzwi5,1,33.1,87.2,2023-04-22T19:38:09.031Z,2023-04-22T19:38:14Z,4210628217,141,66.3,4210628221,213,4.2,4210628215,140,25.3,4210628219,212,16.4,4210628213,56,Back,,,,,,,,,,7lt9nze7e2mk2hlp9dkvabkyd,L. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537463007,11,1,1,0,30,bl53jk6zlfe5f583pil7xzwi5,1,26,66.6,2023-04-22T19:38:14.134Z,2023-04-22T19:38:20Z,4210628763,213,4.7,4210628755,56,Back,4210628759,141,33.1,4210628761,212,22.8,4210628757,140,25.8,,,,,,,,,,74uudh34v23m2z9gy5tdppxey,S. Hiatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537463057,12,1,1,0,36,bl53jk6zlfe5f583pil7xzwi5,1,26.5,33.4,2023-04-22T19:38:19.879Z,2023-04-22T19:38:23Z,4210629021,56,Back,4210629027,212,18.4,4210629025,141,60.5,4210629029,213,1.6,4210629023,140,26.1,,,,,,,,,,5kx524x345idecr205u9oopd6,A. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537463123,13,1,1,0,39,bl53jk6zlfe5f583pil7xzwi5,1,26.3,60.9,2023-04-22T19:38:23.270Z,2023-04-22T19:38:27Z,4210629411,56,Back,4210629417,212,21.4,4210629413,140,34.3,4210629419,213,1.2,4210629415,141,89.9,,,,,,,,,,74uudh34v23m2z9gy5tdppxey,S. Hiatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
