id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2544849203,1,34,16,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0,0,2023-05-07T01:19:11.770Z,2023-05-07T02:03:31Z,4256967771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4256967759,30,"8btgs1e799s3xyjfqloeg2iju, dwwgrimn3ddecp5kllvsdga8l, 7lt9nze7e2mk2hlp9dkvabkyd, 93d5k82qrmjr894k2hp5aril1, 5kx524x345idecr205u9oopd6, 74uudh34v23m2z9gy5tdppxey, 9oyg8mzw5p2cc47omal5sb5uy, 3aj7p478dcuat6tz8096sq8dl, 78i4mxu4hxwp995udteweftgp, 4apwozsvcd68ki0o3469ftht6, 29vjl1iba9rz14yd1g9qi4pn9, 97ssez228adiao5teqah0uqc5, e2drffyibnqhyo0sou3zahdsk, auxh2h28s4f16tb34cnue0bmx, 58ggl2oa2ucyrv91ofv44ump6, 349m08nptx7matql2hebn5t78, 1wax6m4sngx7kwd55ce1xha3u, 7v6cr5ohzfbu6gf0dvw05q8h6, 2bb2dbogerxxvircnah8gw222, k8a5k4deho4rktyk7t6waac",4257077607,197,14890,4256967769,194,7lt9nze7e2mk2hlp9dkvabkyd,4256967765,130,8,4256967767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4256967763,59,"91, 11, 3, 10, 4, 17, 24, 2, 9, 8, 15, 7, 12, 13, 20, 22, 23, 25, 30, 34",4256967761,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544850783,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-05-07T01:21:26.590Z,2023-05-07T02:36:26Z,4256975999,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4256975995,59,"1, 3, 2, 14, 23, 4, 9, 13, 11, 7, 5, 37, 30, 6, 15, 22, 25, 31, 35, 36",4256975997,130,8,4257077641,197,19032,4256975991,30,"53uflfknc5uus7iqw3obp5fx1, 6fs7fjwxqpkgzosbb8364d4np, dtrm0ji0olk3n01v71m8a5exh, 5ni7a4s85lp22rysy5inywf3e, e4lfaia255nw9ndnol0mvxc2y, 8co65x7tuvynuqvket8okb7xl, 9jitxfwaeix5fn1n3dhartbhm, cgfk0e62cesbgieslfge2p61h, bj3unxp9xho1kr7sztpweagyy, 1he80t4tdvj86rbvng0956prd, 2x4vbu3htfozzwd8g7bdxeacp, 4tm3f1xmjfy7hffe7io731yxg, azcxror0t5ede7nqobmhx9u6s, 70bj6elm2g05zf0tfvbbta2mt, 95tl8tonvm6czhwzd6i5ep756, edwr7f7jwnxm1plk91fx8hfro, 6zm75ruas324c7yrt18ttei8l, blgb1n71xsz7bbzpd2le9v33e, i6agm9wbvn7j7iljfnmnqq6s, dyy9qh1b8rzc2ganhv1gk1las",4256976003,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4256976001,194,cgfk0e62cesbgieslfge2p61h,4256975993,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544870787,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-05-07T02:07:47.347Z,2023-05-07T02:07:48Z,4257084295,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544870783,2,32,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0,0,2023-05-07T02:07:47.347Z,2023-05-07T02:07:47Z,4257084275,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544870793,3,1,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,50.2,50.4,2023-05-07T02:07:47.447Z,2023-05-07T02:29:08Z,4257084333,141,54.6,4257084331,140,49.5,4257084337,213,1.8,4257084335,212,2.9,4257084339,279,S,4257084329,56,Back,,,,,,,4apwozsvcd68ki0o3469ftht6,B. Balcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544870805,4,1,1,0,2,bl53jk6zlfe5f583pil7xzwi5,1,46,56.5,2023-05-07T02:07:49.434Z,2023-05-07T03:09:26Z,4257084387,56,Center,4257084393,212,5.8,4257084391,141,54.2,4257084395,213,6.0,4257084389,140,51.3,,,,,,,,,,3aj7p478dcuat6tz8096sq8dl,E. Sonnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544870819,5,1,1,0,3,bl53jk6zlfe5f583pil7xzwi5,1,50.7,53.9,2023-05-07T02:07:50.667Z,2023-05-07T02:07:53Z,4257084473,56,Back,4257084485,213,2.6,4257084477,140,41.1,4257084481,141,62.7,4257084483,212,11.7,,,,,,,,,,4apwozsvcd68ki0o3469ftht6,B. Balcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544870829,6,1,1,0,5,bl53jk6zlfe5f583pil7xzwi5,1,41.1,62.7,2023-05-07T02:07:53.179Z,2023-05-07T03:09:27Z,4257084539,212,11.8,4257084535,140,30.6,4257084537,141,69.0,4257084533,56,Back,4257084541,213,2.8,,,,,,,,,,3aj7p478dcuat6tz8096sq8dl,E. Sonnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544870841,7,1,1,0,7,bl53jk6zlfe5f583pil7xzwi5,0,31.8,71.6,2023-05-07T02:07:54.955Z,2023-05-07T02:07:57Z,4257084619,1,,4257084607,155,,4257084617,213,0.4,4257084613,141,89.4,4257084611,140,62.7,4257084609,56,Left,4257084615,212,34.6,,,,74uudh34v23m2z9gy5tdppxey,S. Hiatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544870849,3,1,1,0,10,c3v2ohfuzoqmc8ljm65hi80sj,0,33.8,13.2,2023-05-07T02:07:57.461Z,2023-05-07T02:59:20Z,4257084685,140,57.4,4257084691,213,6.2,4257084681,3,,4257084683,56,Right,4257084687,141,11.1,4257084689,212,24.8,,,,,,,e4lfaia255nw9ndnol0mvxc2y,A. Prisock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
