id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/12/value,assist,qualifier/14/value
2534133249,1,34,16,0,0,dzxypx8djih58p668surbi4qm,1,0,0,2023-04-15T23:16:14.848Z,2023-04-16T00:07:51Z,4193138759,197,3612,4192980005,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4192980009,130,17,4192980013,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192980007,59,"1, 22, 3, 23, 12, 6, 4, 7, 8, 55, 20, 2, 5, 14, 15, 19, 24, 25, 26, 31",4192980001,30,"cbhcuvuqi3gxgln6n463vz9at, ejnchs99plocbhm7txy6r3s9h, cieyupgmnxecb4emqljudrw89, 3esajnuok17w043qxim4s6n10, 6bbodw3m9bstocysxvzfuo3my, 4ullol3wa4qdi9ydgrxgxbcgl, 6zzk0lgja87zs45h8btgheled, csx5jhf4hyzld6gg790usp0wl, 4e2l88qfahs0ey4urydb96e7e, cnxanwub8nm1jokerrs83mk4q, 5tv4la0or9dxgp7x5vbxs94vd, 5dqjfblg7soo4znl8duds0zys, 7thgvx3dppvykp3fxc9zbb845, c11wgnz0v95lj8ldtecp7wges, 19q08g2zozqldqapwyv1osxsk, 6wtid9p5sncnatdjk1unpebdg, 8v62hppzsz2yonw60h9910iga, 8ace4czv4na5qww43srp67fv8, 2txokb3mjab986uma0l8axht6, 6310xsm8wes34gu6654cgvmz8",4193138757,194,cbhcuvuqi3gxgln6n463vz9at,4192980011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,
2534137013,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-04-15T23:22:11.171Z,2023-04-16T03:10:29Z,4193000893,59,"21, 8, 4, 18, 19, 24, 10, 16, 99, 17, 14, 23, 6, 9, 20, 26, 29, 38, 77",4193000897,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4193000891,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4193000899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4193000895,130,10,4193138315,197,10609,4193000889,30,"4baep35yxj0df8fqwcvh7x8lx, 15u9zrm4e4gosthf1vmkp5ht6, 9wvoeo39cgbelv8ddqin3aaga, 736jvvtkgwc3g1vooviaod33d, cdh996gimeb2p2bqgtdgkji1g, 72e9oc63fclgqqvn3lgsjue50, 4c6z6g6q7jq62bznylu0kjnc9, dv8265k3za578hkzxxuttqmdx, 5ekbwy8vf1l1jzj6txawrg7h1, e1irspfo9xupqz2sqvyq1zp0q, 96jcamlgo8nghmr2s0m0q2lbe, debcbmzdwiyac6jcf1icrowlw, i59wtf590736z0ecwwu9jims, dokzh655hluwjh55fisecs9ud, 5hlqbq06hcmi0k3m1b97ohzah, mmk0vhl1l0qxdyjina9v6xka, 1un4vc8t0zr8kh3u9ggug3i1g, 57nmefeij6bg2ltvoqmqb7nbp, 1115fgmv9xa3nwx3bu19jr9pl",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534162007,2,32,1,0,0,dzxypx8djih58p668surbi4qm,1,0,0,2023-04-16T00:08:00.146Z,2023-04-16T00:08:00Z,4193139263,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534162023,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-04-16T00:08:00.146Z,2023-04-16T00:08:02Z,4193139317,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534162031,3,1,1,0,0,dzxypx8djih58p668surbi4qm,1,50.4,49.6,2023-04-16T00:08:00.246Z,2023-04-16T00:08:02Z,4193139357,212,18.8,4193139351,56,Back,4193139355,141,58.8,4193139359,213,2.8,4193139353,140,33.5,4193139361,279,S,,,,,,,4e2l88qfahs0ey4urydb96e7e,E. Stevens,,,,,,,,,,,,,,,,,,,,,,,
2534162073,4,1,1,0,2,dzxypx8djih58p668surbi4qm,1,33.5,58.8,2023-04-16T00:08:02.827Z,2023-04-16T00:08:05Z,4193139543,56,Back,4193139551,213,1.9,4193139547,141,86.8,4193139545,140,27.6,4193139549,212,20.0,,,,,,,,,,6zzk0lgja87zs45h8btgheled,C. Roccaro,,,,,,,,,,,,,,,,,,,,,,,
2534162125,5,1,1,0,5,dzxypx8djih58p668surbi4qm,1,27.3,85.3,2023-04-16T00:08:05.435Z,2023-04-16T00:08:09Z,4193139739,140,27.3,4193139745,213,4.7,4193139741,141,62.3,4193139737,56,Back,4193139743,212,15.6,,,,,,,,,,3esajnuok17w043qxim4s6n10,T. Milazzo,,,,,,,,,,,,,,,,,,,,,,,
2534162199,6,1,1,0,9,dzxypx8djih58p668surbi4qm,1,29.7,57.8,2023-04-16T00:08:09.644Z,2023-04-16T00:08:14Z,4193140091,213,4.6,4193140083,141,29.7,4193140089,212,19.2,4193140075,56,Back,4193140079,140,28.3,,,,,,,,,,6bbodw3m9bstocysxvzfuo3my,T. Davidson,,,,,,,,,,,,,,,,,,,,,,,
2534162305,7,1,1,0,14,dzxypx8djih58p668surbi4qm,1,29.7,23.4,2023-04-16T00:08:14.859Z,2023-04-16T00:08:21Z,4193140561,213,1.8,4193140559,212,33.0,4193140555,140,24.0,4193140563,1,,4193140553,56,Back,4193140557,141,71.1,,,,,,,4ullol3wa4qdi9ydgrxgxbcgl,C. Krueger,,,,,,,,,,,,,,,,,,,,,,,
2534162371,8,1,1,0,21,dzxypx8djih58p668surbi4qm,1,24,71.1,2023-04-16T00:08:21.548Z,2023-04-16T00:08:27Z,4193140853,56,Back,4193140857,141,51.3,4193140859,212,13.5,4193140861,213,4.6,4193140855,140,23.0,,,,,,,,,,3esajnuok17w043qxim4s6n10,T. Milazzo,,,,,,,,,,,,,,,,,,,,,,,
