id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/12/value
2537551263,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-04-22T22:20:23.461Z,2023-04-22T23:13:31Z,4211106089,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4211199351,197,19032,4211206555,194,cgfk0e62cesbgieslfge2p61h,4211106097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4211106091,59,"1, 3, 5, 2, 4, 23, 13, 14, 11, 9, 7, 30, 6, 22, 25, 35, 36, 39",4211106095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4211106087,30,"53uflfknc5uus7iqw3obp5fx1, 6fs7fjwxqpkgzosbb8364d4np, 2x4vbu3htfozzwd8g7bdxeacp, dtrm0ji0olk3n01v71m8a5exh, 8co65x7tuvynuqvket8okb7xl, e4lfaia255nw9ndnol0mvxc2y, cgfk0e62cesbgieslfge2p61h, 5ni7a4s85lp22rysy5inywf3e, bj3unxp9xho1kr7sztpweagyy, 9jitxfwaeix5fn1n3dhartbhm, 1he80t4tdvj86rbvng0956prd, azcxror0t5ede7nqobmhx9u6s, 70bj6elm2g05zf0tfvbbta2mt, edwr7f7jwnxm1plk91fx8hfro, 6zm75ruas324c7yrt18ttei8l, i6agm9wbvn7j7iljfnmnqq6s, dyy9qh1b8rzc2ganhv1gk1las, 38p95hbwy1ivwo4orwdrwal90",4211106093,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537553747,1,34,16,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0,0,2023-04-22T22:26:29.002Z,2023-04-22T23:12:05Z,4211118089,30,"d9dirjpaqkq3gga2zyeykcv6d, 1ftms6bue2ezs3khsimk9sep6, en29qfiuu01nsmekoqhycjo45, 55di6bshvql6q8yo5c0fauw9h, 27dktxivmcqmi1lkz1vs49qi2, 11u4dj0z0p616zx9gsnil66ay, f5belq8ns6bvom52sbhby6d5g, d8ypulxmosy9ulp0imw6avo5, cwerr3zz6pqzzzqso9dx69fjd, bfk6fgj2z7yifd9iqwjlk4pka, b9d4fqz6ezz2azklpghb9kyjt, 347h4639fjw27rx29j0we0q5m, 41a58968ocakxmmmr736re2ac, 1kqy11izfxrv487anw8dvwtm1, aywzkq0jwnhljcxewthcm40dl, 4aix0gos55qf4mdpld547ek7p, 6tgxgungxafve570mazrb6uc4, 9woyfs8z3bd46kk8qwyxfdv8q, 1vm9mztp9ro7cnp6boinc7phx, as2gs38ai4i235sz36rmvpa1g",4211206929,197,19054,4211118101,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4211118097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4211118091,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4211118095,130,4,4211118093,59,"1, 19, 14, 12, 9, 3, 26, 7, 10, 2, 33, 11, 16, 17, 20, 22, 24, 25, 28, 39",4211118099,194,d9dirjpaqkq3gga2zyeykcv6d,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537568803,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-04-22T23:08:51.364Z,2023-04-22T23:08:54Z,4211197769,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537568779,2,32,1,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0,0,2023-04-22T23:08:51.364Z,2023-04-22T23:08:51Z,4211197671,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537568821,3,1,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,49.9,50.1,2023-04-22T23:08:51.464Z,2023-04-23T01:27:03Z,4211197859,279,S,4211197853,141,54.0,4211197851,140,45.8,4211197855,212,5.1,4211197857,213,2.6,4211197849,56,Back,,,,,,,9jitxfwaeix5fn1n3dhartbhm,E. Salmon,,,,,,,,,,,,,,,,,,,,,,,,,
2537568835,4,1,1,0,2,c3v2ohfuzoqmc8ljm65hi80sj,0,39.4,56.1,2023-04-22T23:08:54.058Z,2023-04-23T00:04:35Z,4211197933,213,0.2,4211197927,140,76.7,4211197931,212,39.8,4211197935,1,,4211197925,56,Center,4211197923,155,,4211197929,141,66.3,,,,cgfk0e62cesbgieslfge2p61h,S. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,
2537568831,3,1,1,0,5,f1ks82wpiewyqs6h3oz9v4hzj,0,24.9,36.6,2023-04-22T23:08:56.793Z,2023-04-22T23:08:57Z,4211197913,212,17.0,4211197907,56,Back,4211197915,213,6.1,4211197911,141,31.2,4211197909,140,40.7,4211197905,3,,,,,,,,27dktxivmcqmi1lkz1vs49qi2,T. McKeown,,,,,,,,,,,,,,,,,,,,,,,,,
2537568885,5,1,1,0,9,c3v2ohfuzoqmc8ljm65hi80sj,1,68.4,71.2,2023-04-22T23:09:01.282Z,2023-04-23T00:04:43Z,4211198221,213,1.5,4211198215,140,69.3,4211198213,56,Left,4211198217,141,87.4,4211198219,212,11.1,,,,,,,,,,5ni7a4s85lp22rysy5inywf3e,M. Viggiano,,,,,,,,,,,,,,,,,,,,,,,,,
2537568911,6,1,1,0,12,c3v2ohfuzoqmc8ljm65hi80sj,1,68.7,88,2023-04-22T23:09:03.634Z,2023-04-22T23:09:06Z,4211198351,213,5.3,4211198345,140,74.9,4211198343,56,Center,4211198349,212,11.6,4211198347,141,73.8,,,,,,,,,,dtrm0ji0olk3n01v71m8a5exh,A. Chapman,,,,,,,,,,,,,,,,,,,,,,,,,
2537568915,7,4,1,0,14,c3v2ohfuzoqmc8ljm65hi80sj,1,73.1,71.4,2023-04-22T23:09:05.458Z,2023-04-22T23:09:11Z,4211198585,233,4,4211198367,13,,4211198373,265,,4211198375,286,,4211198371,152,,4211198369,56,Center,,,,,,,1he80t4tdvj86rbvng0956prd,M. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,
