id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value
2544739481,1,34,16,0,0,446mp88j1vpk9iwui9fiifrp8,1,0,0,2023-05-06T22:10:30.218Z,2023-05-06T23:07:11Z,4256364765,130,8,4256364769,194,cfx9wllh2x6ozkvqxusa3sl3p,4256364771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4256478185,197,18736,4256364763,59,"1, 14, 25, 17, 20, 5, 8, 19, 9, 12, 22, 2, 11, 13, 15, 18, 21, 24, 39, 46",4256364761,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4256364759,30,"1yva0f096q2oqk5gz59utr42y, v0k2w41tlj0elpj7nrw68onp, bnnc9csv7qrc2xgx7yzgxlcr9, cmolam8ri93kos2rasjhnuxyi, 4j9un8594hl9gezwkdeafnbsa, 5zwpytehpeosi3sfckvkuy3md, 7in4ykzbs8p44qy4jrb10p0wl, 4b13osk9pzrosvzqt55y7o34l, f05vaz2h7sxozmvi641cf7qi1, cfx9wllh2x6ozkvqxusa3sl3p, 7w3qwzs0je6lqm4j7v3c02qga, 615vz7uoe3eiozddbe206io6h, 6k82rq8synvac950ext5t0jpx, 7izc8t071mkrrgvptdjru467e, a8dqjy4h1xsrq9afop7tatisq, 8e4jqpg6oty7im4qy4a6j1wk4, 321yjdo3gio1l33hc1pdps4wl, f3wzzxviv45cq74tftqj6m4iy, 33u8nb0n2o6jsipw0b5r4j8mi, 16xdgkd63d47o5ieudqo4ksq2",4256364767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544739607,1,34,16,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0,0,2023-05-06T22:10:51.928Z,2023-05-07T00:34:38Z,4256365529,194,7fk82cjz0z5vq2ts3vmz8has5,4256478143,197,4357,4256365525,130,7,4256365519,30,"3qj9t05behkav9okd8n2wywh5, 1x229gvjahkxp7w02bh0v36ga, n70i0c7uk1qxianxoiotqmeh, 7fk82cjz0z5vq2ts3vmz8has5, 1p3bwk03ay87hp2nwrl3tfxwq, cqpdeqi0psfadqsgejcvdqqne, awme1kk0t2w81hc4xcup7k222, b8xa1whpr8m3e5zbziz9e91bd, 5vz9nl1i4heh44k09pke748ut, 817x7baq69b1tnrtminbjf3zd, 1bw2kkdm9fcqpl2brljc0g8vd, 8j1i9gr0v369rfhhjsycnq5ed, 3qk8owv039ppiiev6skkkb52i, 92oh1slr7iavs3lja9pvu30tl, 8r50p1ogefrsi5sbxnpius6j8, 70h5ahiv905igqhjk86okzwt1, 9by1d4orgqze7m8nldkrnwwrt, 4k9587c1j13o7loncjlu1uplg, dap46fr0gvf1snvx144wjmqxh, 50gw7uui815nbk6kwknwvlpsl",4256365527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4256365521,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4256365523,59,"1, 13, 12, 10, 3, 7, 14, 6, 17, 25, 9, 98, 5, 19, 20, 22, 23, 26, 29, 99",4256365531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760467,2,32,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0,0,2023-05-06T23:07:41.721Z,2023-05-06T23:07:41Z,4256479203,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760471,2,32,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,0,0,2023-05-06T23:07:41.721Z,2023-05-06T23:07:44Z,4256479219,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760487,3,1,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,50.1,50.4,2023-05-06T23:07:41.821Z,2023-05-07T01:31:19Z,4256479307,56,Back,4256479315,213,2.8,4256479317,279,S,4256479309,140,30.7,4256479313,212,21.6,4256479311,141,61.1,,,,,,,b8xa1whpr8m3e5zbziz9e91bd,N. Miura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760491,4,1,1,0,2,b4fbmos00gxtk8qnaqsm392p5,0,26.7,62.3,2023-05-06T23:07:44.633Z,2023-05-06T23:07:46Z,4256479345,141,78.3,4256479351,1,,4256479349,213,0.2,4256479343,140,75.8,4256479339,155,,4256479341,56,Center,4256479347,212,52.7,,,,1p3bwk03ay87hp2nwrl3tfxwq,K. Kurtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760505,3,49,1,0,5,446mp88j1vpk9iwui9fiifrp8,1,33.2,33.9,2023-05-06T23:07:47.677Z,2023-05-06T23:07:47Z,,,,,,,,,,,,,,,,,,,,,,,,,4j9un8594hl9gezwkdeafnbsa,K. Hubly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760513,4,1,1,0,6,446mp88j1vpk9iwui9fiifrp8,1,32.7,33.9,2023-05-06T23:07:48.044Z,2023-05-06T23:07:49Z,4256479495,140,35.7,4256479499,212,11.5,4256479493,56,Back,4256479501,213,5.0,4256479497,141,17.6,,,,,,,,,,4j9un8594hl9gezwkdeafnbsa,K. Hubly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760523,5,1,1,0,7,446mp88j1vpk9iwui9fiifrp8,1,35.7,17.6,2023-05-06T23:07:49.452Z,2023-05-06T23:07:52Z,4256479551,56,Back,4256479555,141,5.2,4256479553,140,45.9,4256479559,213,5.6,4256479557,212,13.6,,,,,,,,,,v0k2w41tlj0elpj7nrw68onp,N. Kuikka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760537,6,1,1,0,10,446mp88j1vpk9iwui9fiifrp8,1,45.6,4.7,2023-05-06T23:07:51.915Z,2023-05-06T23:07:54Z,4256479653,140,29.9,4256479651,56,Back,4256479655,141,15.8,4256479657,212,18.1,4256479659,213,2.7,,,,,,,,,,7in4ykzbs8p44qy4jrb10p0wl,H. Sugita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760543,7,1,1,0,12,446mp88j1vpk9iwui9fiifrp8,0,29.9,15.8,2023-05-06T23:07:54.028Z,2023-05-06T23:07:57Z,4256479675,141,25.8,4256479671,56,Back,4256479673,140,44.3,4256479683,213,0.4,4256479679,212,16.6,,,,,,,,,,4j9un8594hl9gezwkdeafnbsa,K. Hubly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544760557,5,49,1,0,14,b4fbmos00gxtk8qnaqsm392p5,1,60.7,76.5,2023-05-06T23:07:56.184Z,2023-05-06T23:09:58Z,,,,,,,,,,,,,,,,,,,,,,,,,7fk82cjz0z5vq2ts3vmz8has5,D. O'Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
