id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/16/value
2526817867,1,34,16,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0,0,2023-04-01T12:06:47.320Z,2023-04-01T19:10:28Z,4154041997,59,"1, 19, 14, 12, 9, 3, 26, 13, 10, 2, 33, 7, 16, 17, 18, 20, 22, 24, 25, 28",4154041995,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4154041999,130,4,4154346385,197,15138,4154042003,194,d9dirjpaqkq3gga2zyeykcv6d,4154042001,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4154041993,30,"d9dirjpaqkq3gga2zyeykcv6d, 1ftms6bue2ezs3khsimk9sep6, en29qfiuu01nsmekoqhycjo45, 55di6bshvql6q8yo5c0fauw9h, 27dktxivmcqmi1lkz1vs49qi2, 11u4dj0z0p616zx9gsnil66ay, f5belq8ns6bvom52sbhby6d5g, errir6ade8y91vp5z7v8gkn6y, cwerr3zz6pqzzzqso9dx69fjd, bfk6fgj2z7yifd9iqwjlk4pka, b9d4fqz6ezz2azklpghb9kyjt, d8ypulxmosy9ulp0imw6avo5, 41a58968ocakxmmmr736re2ac, 1kqy11izfxrv487anw8dvwtm1, buyug2qwuojtuigs45exn9w5w, aywzkq0jwnhljcxewthcm40dl, 4aix0gos55qf4mdpld547ek7p, 6tgxgungxafve570mazrb6uc4, 9woyfs8z3bd46kk8qwyxfdv8q, 1vm9mztp9ro7cnp6boinc7phx",4154042005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526828199,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0,0,2023-04-01T18:16:31.963Z,2023-04-01T19:10:22Z,4154098909,130,4,4154098913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4154098907,59,"1, 2, 16, 4, 25, 20, 7, 8, 29, 77, 14, 3, 5, 6, 9, 21, 22, 27, 44, 99",4154098905,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4154349993,197,10599,4154373193,194,5rtm5d6v7nfqjh9ahayyc1bkl,4154098911,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4154098903,30,"2e8med2swmjdv0uck4hmz4s4q, 7hrw0exutge376ai2uf6frw4q, 6zvfcc67po0ofvl1twrv13tg5, 2mawkst2xlxrp2zbvgk6rundh, amls5kykb1h1c9b1mpiue3i6t, 5rtm5d6v7nfqjh9ahayyc1bkl, asfd5wkedz1u29xt37r6or4rt, 9tbrhbbmfxq8l363kybl4g7ah, 26d7uj41yx6no1oc3izr0rys5, v0q4f70xrc8ylwip5lfva5ed, 2qqged8hw4lzh6u8r81kc22fp, egntdpd5mpnv6i8n8uv4yolhx, 3v2uqzotxtogavxgqpe7plene, 1zjvb0kej2m1kp1sl0hw8tmuh, brs2knmydegipvthtwu6xwqac, 3svqubb2pdx77fopvm9tfc7x0, 4f0zm6i0gg260zvicbviqsdn8, 741s72n2a9z9o8lbcz3jx8gyd, 7gslai7b2mkllvzelqo0rknvt, cg742b2p33p8uuomo365c5h5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526874221,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0,0,2023-04-01T19:07:53.289Z,2023-04-04T16:02:55Z,4154357041,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526874171,2,32,1,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0,0,2023-04-01T19:07:53.289Z,2023-04-01T19:07:53Z,4154356827,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526874251,3,1,1,0,1,f1ks82wpiewyqs6h3oz9v4hzj,1,50,50,2023-04-01T19:07:54.389Z,2023-04-04T16:02:27Z,4154357219,212,18.9,4154357215,140,32.3,4154357223,279,S,4154357217,141,44.8,4154357221,213,3.3,4154357213,56,Back,,,,,,,cwerr3zz6pqzzzqso9dx69fjd,A. Sanchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526874333,4,1,1,0,3,f1ks82wpiewyqs6h3oz9v4hzj,1,33.5,45.2,2023-04-01T19:07:56.723Z,2023-04-01T19:08:19Z,4154357617,141,75.7,4154357609,56,Center,4154357613,140,59.1,4154357625,213,0.7,4154357607,155,,4154357629,1,,4154357621,212,34.0,,,,55di6bshvql6q8yo5c0fauw9h,A. Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526874339,5,44,1,0,5,f1ks82wpiewyqs6h3oz9v4hzj,1,61.8,75,2023-04-01T19:07:58.291Z,2023-04-04T16:04:22Z,4154357683,233,3,4154357667,56,Center,4154357669,286,,,,,,,,,,,,,,,,,bfk6fgj2z7yifd9iqwjlk4pka,T. Rodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526874327,3,44,1,0,5,dtucewmt49th1p4selfutmnmc,0,38.2,25,2023-04-01T19:07:58.292Z,2023-04-04T16:03:47Z,4154357587,285,,4154357585,56,Back,4154357847,233,5,,,,,,,,,,,,,,,,9tbrhbbmfxq8l363kybl4g7ah,Ary Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526874371,6,1,1,0,6,f1ks82wpiewyqs6h3oz9v4hzj,0,59.1,75.7,2023-04-01T19:07:59.757Z,2023-04-04T16:04:24Z,4154357911,141,84.2,4154357903,3,,4154357915,213,0.3,4154357907,56,Left,4154357905,168,,4154357909,140,74.3,4154357913,212,17.0,,,,bfk6fgj2z7yifd9iqwjlk4pka,T. Rodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526874377,4,49,1,0,7,dtucewmt49th1p4selfutmnmc,1,22.6,15,2023-04-01T19:08:00.749Z,2023-04-01T19:08:01Z,,,,,,,,,,,,,,,,,,,,,,,,,7hrw0exutge376ai2uf6frw4q,L. Milliet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
