id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/12/value,assist
2527022023,1,34,16,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0,0,2023-04-01T22:58:07.910Z,2023-04-02T01:25:30Z,4155175397,130,4,4155175401,194,7qw3tekwnmsv6i4u3i0qcpjv9,4155175395,59,"4, 3, 5, 6, 22, 12, 19, 18, 16, 10, 23, 7, 9, 17, 20, 24, 28, 32, 33, 99",4155656571,197,14307,4155175391,30,"706rwdwv4re27svfmlo7na3th, co49l4m0my5li8yvcxgrvq0yy, 7qw3tekwnmsv6i4u3i0qcpjv9, dp260wgfy9vfthkdd6tphi311, 54szh8526rjp2erap05ljqxud, bheniu7u85ivkjhipazymzxzp, 4t91su0ns46r00vjynp0on5qt, 1xgse8t4dm0decmpzebsphvfu, 44p08essulk95whu21qdo6ggl, cm6fzm8v38ti0aubu0q4v717t, 56y5qt6c03t7f5t7eoebi0wyd, domf5amhxgz82ormceatnowd1, 7flxdnsd0pp5nxhldypcxeled, 2sc4jlfmioa61d1vgpcz0pht6, 6z68ej070bws9x17xsmo4c4b9, vaw0swh9q18mglmk683bauzu, 1r8725akqzal1mni9wl8zmnai, 21fk9iw8dwy2lsm66u0vkx756, 7lyzx6twrkm4u4mqtr1jwqdw5, 50gw7uui815nbk6kwknwvlpsl",4155175393,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4155175403,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4155175399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527023261,1,34,16,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0,0,2023-04-01T23:02:32.006Z,2023-04-02T01:19:09Z,4155182489,194,7lt9nze7e2mk2hlp9dkvabkyd,4155657295,197,14891,4155182483,59,"91, 11, 3, 33, 4, 17, 16, 2, 9, 10, 8, 25, 7, 12, 13, 22, 23, 24, 30, 34",4155182479,30,"8btgs1e799s3xyjfqloeg2iju, dwwgrimn3ddecp5kllvsdga8l, 7lt9nze7e2mk2hlp9dkvabkyd, 8rum6xdhsh8kjz3r3x39qtt04, 5kx524x345idecr205u9oopd6, 74uudh34v23m2z9gy5tdppxey, 4j3kopvvd3iej6p4h9z36giqd, 3aj7p478dcuat6tz8096sq8dl, 78i4mxu4hxwp995udteweftgp, 93d5k82qrmjr894k2hp5aril1, 4apwozsvcd68ki0o3469ftht6, 7v6cr5ohzfbu6gf0dvw05q8h6, 97ssez228adiao5teqah0uqc5, e2drffyibnqhyo0sou3zahdsk, auxh2h28s4f16tb34cnue0bmx, 349m08nptx7matql2hebn5t78, 1wax6m4sngx7kwd55ce1xha3u, 9oyg8mzw5p2cc47omal5sb5uy, 2bb2dbogerxxvircnah8gw222, k8a5k4deho4rktyk7t6waac",4155182491,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4155182485,130,8,4155182481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4155182487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527113675,2,32,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0,0,2023-04-02T01:17:50.601Z,2023-04-04T13:34:10Z,4155678037,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527113681,2,32,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0,0,2023-04-02T01:17:50.601Z,2023-04-02T01:17:51Z,4155678065,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527113757,3,1,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,50.1,50,2023-04-02T01:17:50.701Z,2023-04-02T02:20:29Z,4155678481,141,52.7,4155678485,213,2.9,4155678477,56,Back,4155678479,140,44.2,4155678483,212,6.5,4155678487,279,S,,,,,,,44p08essulk95whu21qdo6ggl,S. Guðmundsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527113873,4,1,1,0,4,bgkfdckqfqnfbmecbtz03n76d,1,55.5,30.7,2023-04-02T01:17:55.556Z,2023-04-02T01:18:00Z,4155679117,140,45.3,4155679121,212,20.1,4155679115,56,Back,4155679123,213,4.2,4155679119,141,5.6,,,,,,,,,,1xgse8t4dm0decmpzebsphvfu,Y. Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527113921,5,1,1,0,10,bgkfdckqfqnfbmecbtz03n76d,1,44.6,6.7,2023-04-02T01:18:00.677Z,2023-04-02T02:10:17Z,4155679367,56,Back,4155679373,212,15.3,4155679369,140,37.0,4155679371,141,25.9,4155679375,213,2.1,,,,,,,,,,co49l4m0my5li8yvcxgrvq0yy,Bruninha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527113931,6,1,1,0,12,bgkfdckqfqnfbmecbtz03n76d,0,37,26.2,2023-04-02T01:18:03.333Z,2023-04-02T01:18:04Z,4155679435,213,5.9,4155679427,56,Right,4155679431,141,6.4,4155679437,1,,4155679425,157,,4155679433,212,36.0,4155679429,140,68.8,,,,54szh8526rjp2erap05ljqxud,M. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527113975,3,1,1,0,13,bl53jk6zlfe5f583pil7xzwi5,1,30.9,93.6,2023-04-02T01:18:03.610Z,2023-04-02T01:18:06Z,4155679683,141,86.6,4155679679,56,Back,4155679687,213,5.7,4155679685,212,8.1,4155679677,3,,4155679681,140,37.2,,,,,,,7lt9nze7e2mk2hlp9dkvabkyd,L. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527113979,4,49,1,0,15,bl53jk6zlfe5f583pil7xzwi5,1,34,78.8,2023-04-02T01:18:06.298Z,2023-04-02T02:11:05Z,,,,,,,,,,,,,,,,,,,,,,,,,8rum6xdhsh8kjz3r3x39qtt04,O. Van der Jagt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
