id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2534227997,1,34,16,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0,0,2023-04-16T01:32:10.825Z,2023-04-16T02:29:48Z,4193601897,197,14959,4193495223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4193495225,59,"1, 20, 14, 24, 18, 4, 15, 22, 11, 7, 13, 3, 6, 8, 10, 16, 17, 23, 26",4193495231,194,l28lqh3f3ojx6kk2wvvq6nyt,4193495221,30,"4yb9avzbrzt8m4c4h1yy98jbp, n4egj8ymfled94mco0lwa95, 6p2318moul9op4hmigk1xbaw9, 1c2boqmoi50esuelgdd96o06h, 7pynp0g6h56oqimzdffivfpat, 6x0oj293r0sv99i071v8owpgp, 1p7mhkqn7vxnady8q0vboi02d, 8q0rkr3gz7hz1ssdx3fkro0a2, 4k83z2cdvn2kwb72kh8e8qfsa, b9zyytzb31lz9644187z6a13o, l28lqh3f3ojx6kk2wvvq6nyt, 7pdog0usw4fwr3j3neexfz1ed, 41dbul8mwc18wwgo4k2zc6aga, dwrkb21t0oi6s0d6a1b7b1qay, 1i4e7ehhib7vt3tx5xmd9efv9, emihtyw994ca7bwm3y8ou4odm, 2dm0csdeq7tz6tzs9b3h7vnys, bzk89svsd2os7tv4wsbfaiivo, 9jqsvecho1nlcemf0328zvz10",4193495229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4193495233,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4193495227,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534228769,1,34,16,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0,0,2023-04-16T01:33:27.020Z,2023-04-16T02:17:49Z,4193498821,30,"8btgs1e799s3xyjfqloeg2iju, dwwgrimn3ddecp5kllvsdga8l, 7lt9nze7e2mk2hlp9dkvabkyd, 8rum6xdhsh8kjz3r3x39qtt04, 5kx524x345idecr205u9oopd6, 74uudh34v23m2z9gy5tdppxey, 4apwozsvcd68ki0o3469ftht6, 3aj7p478dcuat6tz8096sq8dl, 78i4mxu4hxwp995udteweftgp, 93d5k82qrmjr894k2hp5aril1, 1wax6m4sngx7kwd55ce1xha3u, 7v6cr5ohzfbu6gf0dvw05q8h6, 51m1qnbhz50no0mfc6oq9rhzp, 97ssez228adiao5teqah0uqc5, e2drffyibnqhyo0sou3zahdsk, 29vjl1iba9rz14yd1g9qi4pn9, 46r9yf1huh29ri0sbx0yum6ll, 349m08nptx7matql2hebn5t78, 9oyg8mzw5p2cc47omal5sb5uy, k8a5k4deho4rktyk7t6waac",4193498829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4193498833,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4193605315,197,14890,4193498827,130,8,4193498823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4193498825,59,"91, 11, 3, 33, 4, 17, 8, 2, 9, 10, 23, 25, 5, 7, 12, 15, 18, 22, 24, 34",4193498831,194,7lt9nze7e2mk2hlp9dkvabkyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534249975,2,32,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0,0,2023-04-16T02:09:17.856Z,2023-04-16T02:09:58Z,4193603625,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534249963,2,32,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0,0,2023-04-16T02:09:17.856Z,2023-04-16T02:10:25Z,4193603559,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534249981,3,43,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0,0,2023-04-16T02:09:17.956Z,2023-04-16T02:58:21Z,4193603649,140,63.8,4193603653,212,16.0,4193603655,213,0.4,4193603647,56,Center,4193725339,144,1,4193603651,141,59.6,4193603657,279,S,,,,1p7mhkqn7vxnady8q0vboi02d,M. Doniak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534272617,436,1,1,0,1,bl53jk6zlfe5f583pil7xzwi5,1,50.2,50.1,2023-04-16T02:09:18.856Z,2023-04-16T02:58:14Z,4193725081,212,22.9,4193725077,140,29.5,4193725075,56,Back,4193725083,213,3.5,4193725085,279,S,4193725079,141,39.4,,,,,,,4apwozsvcd68ki0o3469ftht6,B. Balcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534272667,437,1,1,0,2,bl53jk6zlfe5f583pil7xzwi5,0,29.1,35.8,2023-04-16T02:09:19.856Z,2023-04-16T02:58:26Z,4193725413,212,41.2,4193725405,155,,4193725415,213,0.2,4193725409,140,67.6,4193725411,141,47.2,4193725417,1,,4193725407,56,Center,,,,5kx524x345idecr205u9oopd6,A. Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534249991,4,43,1,0,2,esvbnzqbyvxp2k570ez7h1a1g,1,0,0,2023-04-16T02:09:20.227Z,2023-04-16T02:58:25Z,4193603717,140,30.2,4193603723,213,3.6,4193603715,56,Back,4193603721,212,38.8,4193725403,144,1,4193603713,155,0,4193603725,1,0,4193603719,141,35.8,7pynp0g6h56oqimzdffivfpat,K. Riehl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534272777,375,1,1,0,3,esvbnzqbyvxp2k570ez7h1a1g,0,32.6,39.2,2023-04-16T02:09:20.856Z,2023-04-16T02:58:49Z,4193726101,213,6.2,4193726095,140,48.6,4193726097,141,38.3,4193726099,212,16.8,4193726091,3,,4193726093,56,Back,,,,,,,1c2boqmoi50esuelgdd96o06h,D. Colaprico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534272749,438,1,1,0,5,bl53jk6zlfe5f583pil7xzwi5,1,60.5,58.2,2023-04-16T02:09:22.856Z,2023-04-16T02:58:42Z,4193725903,140,68.4,4193725909,213,0.1,4193725901,56,Center,4193725907,212,8.3,4193725899,3,,4193725905,141,59.1,,,,,,,8rum6xdhsh8kjz3r3x39qtt04,O. Van der Jagt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
