id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId
2541961183,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-04-30T21:05:31.410Z,2023-04-30T22:13:26Z,4241551115,194,4c6z6g6q7jq62bznylu0kjnc9,4241551111,130,17,4241551117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241684489,197,10933,4241551113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4241551109,59,"38, 8, 4, 24, 23, 26, 16, 10, 99, 9, 5, 6, 14, 17, 18, 19, 21, 29, 77",4241551107,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4241551105,30,"57nmefeij6bg2ltvoqmqb7nbp, 15u9zrm4e4gosthf1vmkp5ht6, 9wvoeo39cgbelv8ddqin3aaga, 72e9oc63fclgqqvn3lgsjue50, debcbmzdwiyac6jcf1icrowlw, mmk0vhl1l0qxdyjina9v6xka, dv8265k3za578hkzxxuttqmdx, 4c6z6g6q7jq62bznylu0kjnc9, 5ekbwy8vf1l1jzj6txawrg7h1, dokzh655hluwjh55fisecs9ud, 94j0ci5rtwvr8nlrr32cfg9d6, i59wtf590736z0ecwwu9jims, 96jcamlgo8nghmr2s0m0q2lbe, e1irspfo9xupqz2sqvyq1zp0q, 736jvvtkgwc3g1vooviaod33d, cdh996gimeb2p2bqgtdgkji1g, 4baep35yxj0df8fqwcvh7x8lx, 1un4vc8t0zr8kh3u9ggug3i1g, 1115fgmv9xa3nwx3bu19jr9pl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541963093,1,34,16,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0,0,2023-04-30T21:10:43.358Z,2023-04-30T22:40:57Z,4241560519,59,"4, 3, 12, 6, 11, 21, 7, 19, 10, 18, 20, 5, 14, 16, 17, 22, 24, 25, 32, 33",4241560517,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4241560515,30,"706rwdwv4re27svfmlo7na3th, co49l4m0my5li8yvcxgrvq0yy, bheniu7u85ivkjhipazymzxzp, dp260wgfy9vfthkdd6tphi311, 6bhtfawnoxk9x57xigb8z03it, 2mlyh9k0yhv8862rj6hu26j8p, domf5amhxgz82ormceatnowd1, 4t91su0ns46r00vjynp0on5qt, cm6fzm8v38ti0aubu0q4v717t, 1xgse8t4dm0decmpzebsphvfu, 6z68ej070bws9x17xsmo4c4b9, 7qw3tekwnmsv6i4u3i0qcpjv9, aqihfnhadzdmi7i5bjfnphqms, 44p08essulk95whu21qdo6ggl, 2sc4jlfmioa61d1vgpcz0pht6, 54szh8526rjp2erap05ljqxud, vaw0swh9q18mglmk683bauzu, 2bzp14nac8o5a8g21isxevlk9, 21fk9iw8dwy2lsm66u0vkx756, 7lyzx6twrkm4u4mqtr1jwqdw5",4241560523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241692191,194,6bhtfawnoxk9x57xigb8z03it,4241560525,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241692193,197,15505,4241560521,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987737,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-04-30T22:07:40.744Z,2023-05-05T21:19:02Z,4241694557,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987735,2,32,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0,0,2023-04-30T22:07:40.744Z,2023-04-30T22:07:40Z,4241694551,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987759,3,1,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,50,50,2023-04-30T22:07:40.844Z,2023-04-30T22:07:43Z,4241694675,140,31.5,4241694681,213,3.0,4241694679,212,19.7,4241694677,141,54.8,4241694673,56,Back,4241694683,279,S,,,,,,,cm6fzm8v38ti0aubu0q4v717t,L. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987793,4,1,1,0,3,bgkfdckqfqnfbmecbtz03n76d,0,32.7,52.4,2023-04-30T22:07:43.765Z,2023-04-30T22:07:47Z,4241694877,141,0.0,4241694879,212,59.4,4241694875,140,77.4,4241694887,1,,4241694871,155,,4241694883,213,5.6,4241694873,56,Right,,,,dp260wgfy9vfthkdd6tphi311,A. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987897,3,5,1,0,6,agxipc0vk4rtg09amjxv10nx0,1,24.9,101,2023-04-30T22:07:47.439Z,2023-04-30T22:54:05Z,4241695401,347,,4241695399,56,Back,4241695421,233,5,,,,,,,,,,,,,,,,94j0ci5rtwvr8nlrr32cfg9d6,C. Kizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987797,5,5,1,0,6,bgkfdckqfqnfbmecbtz03n76d,0,75.1,-1,2023-04-30T22:07:47.439Z,2023-04-30T22:57:13Z,4241694897,347,,4241694895,56,Right,4241695459,233,3,,,,,,,,,,,,,,,,dp260wgfy9vfthkdd6tphi311,A. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987921,4,1,1,0,16,agxipc0vk4rtg09amjxv10nx0,0,24.5,100,2023-04-30T22:07:57.518Z,2023-04-30T22:08:01Z,4241695567,56,Back,4241695569,140,32.1,4241695565,107,,4241695571,141,83.9,4241695573,212,14.7,4241695577,213,5.3,,,,,,,9wvoeo39cgbelv8ddqin3aaga,H. Mace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987931,6,44,1,0,18,bgkfdckqfqnfbmecbtz03n76d,1,65.9,21.1,2023-04-30T22:07:59.597Z,2023-04-30T22:08:01Z,4241695633,286,,4241695687,233,5,4241695629,56,Right,,,,,,,,,,,,,,,,dp260wgfy9vfthkdd6tphi311,A. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
