id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2545563041,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-05-07T23:08:50.984Z,2023-05-08T00:03:21Z,4260798955,130,17,4260924225,197,10609,4260798951,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4260798953,59,"38, 8, 4, 24, 23, 26, 16, 10, 99, 17, 5, 6, 9, 14, 18, 19, 21, 29, 77",4260798949,30,"57nmefeij6bg2ltvoqmqb7nbp, 15u9zrm4e4gosthf1vmkp5ht6, 9wvoeo39cgbelv8ddqin3aaga, 72e9oc63fclgqqvn3lgsjue50, debcbmzdwiyac6jcf1icrowlw, mmk0vhl1l0qxdyjina9v6xka, dv8265k3za578hkzxxuttqmdx, 4c6z6g6q7jq62bznylu0kjnc9, 5ekbwy8vf1l1jzj6txawrg7h1, e1irspfo9xupqz2sqvyq1zp0q, 94j0ci5rtwvr8nlrr32cfg9d6, i59wtf590736z0ecwwu9jims, dokzh655hluwjh55fisecs9ud, 96jcamlgo8nghmr2s0m0q2lbe, 736jvvtkgwc3g1vooviaod33d, cdh996gimeb2p2bqgtdgkji1g, 4baep35yxj0df8fqwcvh7x8lx, 1un4vc8t0zr8kh3u9ggug3i1g, 1115fgmv9xa3nwx3bu19jr9pl",4260798957,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4260798959,194,4c6z6g6q7jq62bznylu0kjnc9,4260798961,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545564789,1,34,16,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0,0,2023-05-07T23:12:36.318Z,2023-05-08T00:15:22Z,4260808315,194,5shor8es56o12syt7wdllu385,4260808309,59,"13, 5, 14, 99, 11, 6, 17, 18, 9, 21, 10, 1, 3, 15, 16, 19, 24, 28, 29, 33",4260808307,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4260808311,130,4,4260808313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4260808317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4260926135,197,14889,4260808305,30,"bxf73uaptcz0uj7uy1g0euod1, 5shor8es56o12syt7wdllu385, 8ruvr2jnsfdub02rdh8q88s89, 3bx0w0ftkij1lqrt727gjd94a, etdam0sfwiphiwykieovlsyy1, 6opd7nuh51c7p6pn6w04yuntg, 9aj5gfycwgc6r0b550zagl4a1, avhmou9ayqv9te0nocy80aga1, 6h8t7apz5vzk0pjxo8hbbkfhm, dfeohozpw604y5jbu01u1dkkq, 18kiz7s5jlyotkb4p0sbbxyol, 4ydhmjolo7sirgluzy5802kus, f1lymlxr3tdvvvhlv5rixarx1, 8kpc8oizpun31b1a8jxm8f7ys, 1enu619pvakj78wtsfuilbj3e, lg9muzm3sbiijicsik53m3je, 1seg0302ye7ijrmlsj6p9uz8, 5ctvnqq716lbj0l9prrp8vb4k, ajdrn06n41ykofo4ihp5558t1, 6l2wua4jg3a4v85su8nmc52p5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588375,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-05-08T00:08:17.622Z,2023-05-08T02:21:46Z,4260935603,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588383,2,32,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0,0,2023-05-08T00:08:17.622Z,2023-05-08T00:08:18Z,4260935651,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588427,3,1,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,50.2,50,2023-05-08T00:08:17.722Z,2023-05-08T02:10:47Z,4260935885,212,14.6,4260935879,56,Back,4260935881,140,36.3,4260935883,141,50.2,4260935887,213,3.1,4260935889,279,S,,,,,,,dv8265k3za578hkzxxuttqmdx,V. DiBernardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588447,4,1,1,0,4,agxipc0vk4rtg09amjxv10nx0,0,41.7,53.2,2023-05-08T00:08:21.761Z,2023-05-08T02:10:56Z,4260936017,212,49.9,4260936019,213,0.7,4260936021,1,,4260936009,155,,4260936015,141,100.0,4260936013,140,77.8,4260936011,56,Left,,,,72e9oc63fclgqqvn3lgsjue50,G. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588519,3,5,1,0,5,6hbfgdczbi3yg4sdpqgtu6s,1,22.7,-1.4,2023-05-08T00:08:22.867Z,2023-05-08T00:08:31Z,4260936437,233,5,4260936405,56,Back,4260936407,347,,,,,,,,,,,,,,,,,6h8t7apz5vzk0pjxo8hbbkfhm,S. McCaskill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588451,5,5,1,0,5,agxipc0vk4rtg09amjxv10nx0,0,77.3,101.4,2023-05-08T00:08:22.867Z,2023-05-08T00:14:28Z,4260936037,56,Left,4260936463,233,3,4260936039,347,,,,,,,,,,,,,,,,,debcbmzdwiyac6jcf1icrowlw,C. Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588537,4,1,1,0,13,6hbfgdczbi3yg4sdpqgtu6s,1,23.2,0,2023-05-08T00:08:31.404Z,2023-05-08T00:08:33Z,4260936519,213,0.7,4260936517,212,19.6,4260936511,56,Back,4260936513,140,37.5,4260936515,141,16.6,4260936509,107,,,,,,,,5shor8es56o12syt7wdllu385,A. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588541,5,61,1,0,16,6hbfgdczbi3yg4sdpqgtu6s,0,37.5,16.6,2023-05-08T00:08:33.834Z,2023-05-08T00:14:06Z,4260936525,56,Back,,,,,,,,,,,,,,,,,,,,,,6h8t7apz5vzk0pjxo8hbbkfhm,S. McCaskill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588545,6,49,1,0,16,agxipc0vk4rtg09amjxv10nx0,1,58.6,87.4,2023-05-08T00:08:34.161Z,2023-05-08T00:08:34Z,,,,,,,,,,,,,,,,,,,,,,,,,72e9oc63fclgqqvn3lgsjue50,G. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588575,7,1,1,0,17,agxipc0vk4rtg09amjxv10nx0,1,62.8,88.6,2023-05-08T00:08:34.970Z,2023-05-08T00:08:37Z,4260936681,140,70.4,4260936683,141,82.6,4260936685,212,9.0,4260936679,56,Left,4260936687,213,5.8,,,,,,,,,,72e9oc63fclgqqvn3lgsjue50,G. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588617,8,1,1,0,19,agxipc0vk4rtg09amjxv10nx0,1,65.7,86.4,2023-05-08T00:08:37.265Z,2023-05-08T00:08:40Z,4260936893,56,Left,4260936899,212,11.9,4260936901,213,2.6,4260936897,141,95.0,4260936895,140,55.8,,,,,,,,,,4c6z6g6q7jq62bznylu0kjnc9,L. LaBonta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588619,9,43,1,0,23,agxipc0vk4rtg09amjxv10nx0,1,0,0,2023-05-08T00:08:40.728Z,2023-05-08T00:09:24Z,4260938925,144,3,4260936905,56,Left,4260936907,286,0,4260937167,233,6,,,,,,,,,,,,,72e9oc63fclgqqvn3lgsjue50,G. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588719,10,4,1,0,23,agxipc0vk4rtg09amjxv10nx0,1,54.2,95.2,2023-05-08T00:08:40.728Z,2023-05-08T00:14:25Z,4260937393,13,,4260937399,265,,4260951261,233,6,4260937397,152,,4260937401,286,,4260937395,56,Left,,,,,,,72e9oc63fclgqqvn3lgsjue50,G. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588659,6,4,1,0,23,6hbfgdczbi3yg4sdpqgtu6s,0,45.8,4.8,2023-05-08T00:08:40.729Z,2023-05-08T00:14:25Z,4260938057,152,,4260950805,265,,4260950689,285,,4260938055,13,,4260951287,233,10,4260937113,56,Back,,,,,,,dfeohozpw604y5jbu01u1dkkq,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588667,7,43,1,0,26,6hbfgdczbi3yg4sdpqgtu6s,1,0,0,2023-05-08T00:08:44.538Z,2023-05-08T00:09:16Z,4260938663,144,5,4260937149,347,0,4260937147,56,Back,,,,,,,,,,,,,,,,avhmou9ayqv9te0nocy80aga1,J. Endo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588745,11,1,1,0,34,agxipc0vk4rtg09amjxv10nx0,1,53.5,93.2,2023-05-08T00:08:52.106Z,2023-05-08T00:08:53Z,4260937547,212,23.0,4260937549,213,3.6,4260937545,141,79.7,4260937539,152,,4260937537,5,,4260937541,56,Back,4260937543,140,33.4,,,,9wvoeo39cgbelv8ddqin3aaga,H. Mace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588793,12,1,1,0,36,agxipc0vk4rtg09amjxv10nx0,1,31.2,79.7,2023-05-08T00:08:53.761Z,2023-05-08T00:08:56Z,4260937801,212,12.8,4260937803,213,5.4,4260937795,56,Back,4260937799,141,65.7,4260937797,140,39.4,,,,,,,,,,debcbmzdwiyac6jcf1icrowlw,C. Soto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588825,13,1,1,0,39,agxipc0vk4rtg09amjxv10nx0,1,30.2,59,2023-05-08T00:08:56.865Z,2023-05-08T00:09:01Z,4260937937,212,23.8,4260937935,141,50.6,4260937933,140,8.2,4260937939,213,3.4,4260937931,56,Back,,,,,,,,,,72e9oc63fclgqqvn3lgsjue50,G. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588851,14,1,1,0,43,agxipc0vk4rtg09amjxv10nx0,0,13.6,54.3,2023-05-08T00:09:01.041Z,2023-05-08T00:09:04Z,4260938087,1,,4260938075,155,,4260938085,213,0.4,4260938079,140,60.0,4260938081,141,86.0,4260938077,56,Left,4260938083,212,53.3,,,,57nmefeij6bg2ltvoqmqb7nbp,C. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588871,8,61,1,0,47,6hbfgdczbi3yg4sdpqgtu6s,0,43.2,11.6,2023-05-08T00:09:05.273Z,2023-05-08T00:09:05Z,4260938153,56,Back,,,,,,,,,,,,,,,,,,,,,,5shor8es56o12syt7wdllu385,A. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545588883,15,61,1,0,49,agxipc0vk4rtg09amjxv10nx0,1,64.4,85.2,2023-05-08T00:09:06.902Z,2023-05-08T00:09:07Z,4260938207,56,Left,,,,,,,,,,,,,,,,,,,,,,9wvoeo39cgbelv8ddqin3aaga,H. Mace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
