id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,assist
2540387219,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-04-28T23:42:06.912Z,2023-04-29T01:30:13Z,4233231809,130,8,4233231807,59,"1, 3, 2, 14, 4, 25, 9, 13, 11, 6, 7, 37, 30, 5, 15, 22, 31, 35, 36, 39",4233231811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233231813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233277347,197,19032,4233231805,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4233231803,30,"53uflfknc5uus7iqw3obp5fx1, 6fs7fjwxqpkgzosbb8364d4np, dtrm0ji0olk3n01v71m8a5exh, 5ni7a4s85lp22rysy5inywf3e, 8co65x7tuvynuqvket8okb7xl, 6zm75ruas324c7yrt18ttei8l, 9jitxfwaeix5fn1n3dhartbhm, cgfk0e62cesbgieslfge2p61h, bj3unxp9xho1kr7sztpweagyy, 70bj6elm2g05zf0tfvbbta2mt, 1he80t4tdvj86rbvng0956prd, 4tm3f1xmjfy7hffe7io731yxg, azcxror0t5ede7nqobmhx9u6s, 2x4vbu3htfozzwd8g7bdxeacp, 95tl8tonvm6czhwzd6i5ep756, edwr7f7jwnxm1plk91fx8hfro, blgb1n71xsz7bbzpd2le9v33e, i6agm9wbvn7j7iljfnmnqq6s, dyy9qh1b8rzc2ganhv1gk1las, 38p95hbwy1ivwo4orwdrwal90",4233359013,194,cgfk0e62cesbgieslfge2p61h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540389783,1,34,16,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0,0,2023-04-28T23:52:40.122Z,2023-04-29T00:49:20Z,4233247709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233247701,59,"1, 13, 12, 10, 3, 7, 14, 25, 17, 6, 9, 99, 5, 8, 11, 18, 19, 20, 22, 26",4233247707,194,7fk82cjz0z5vq2ts3vmz8has5,4233247705,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233247703,130,7,4233247697,30,"3qj9t05behkav9okd8n2wywh5, 1x229gvjahkxp7w02bh0v36ga, n70i0c7uk1qxianxoiotqmeh, 7fk82cjz0z5vq2ts3vmz8has5, 1p3bwk03ay87hp2nwrl3tfxwq, cqpdeqi0psfadqsgejcvdqqne, awme1kk0t2w81hc4xcup7k222, 817x7baq69b1tnrtminbjf3zd, 5vz9nl1i4heh44k09pke748ut, b8xa1whpr8m3e5zbziz9e91bd, 1bw2kkdm9fcqpl2brljc0g8vd, 8j1i9gr0v369rfhhjsycnq5ed, 3qk8owv039ppiiev6skkkb52i, 54ieoaegysojsey2jmqtr9ucp, 42vdmyzhg3m7or9duzcuwkusp, 8rk69xuh6gxq5fjfoh4f5lst0, 92oh1slr7iavs3lja9pvu30tl, 8r50p1ogefrsi5sbxnpius6j8, 70h5ahiv905igqhjk86okzwt1, 4k9587c1j13o7loncjlu1uplg",4233277429,197,3457,4233247699,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540396299,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0,0,2023-04-29T00:38:18.058Z,2023-05-04T11:36:26Z,4233281159,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540396301,2,32,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0,0,2023-04-29T00:38:18.058Z,2023-04-29T00:38:20Z,4233281161,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540396305,3,1,1,0,1,b4fbmos00gxtk8qnaqsm392p5,1,49.9,49.7,2023-04-29T00:38:19.158Z,2023-05-04T11:36:55Z,4233281185,213,3.6,4233281183,212,12.3,4233281177,56,Back,4233281179,140,39.2,4233281187,279,S,4233281181,141,42.2,,,,,,,b8xa1whpr8m3e5zbziz9e91bd,N. Miura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540396321,4,1,1,0,3,b4fbmos00gxtk8qnaqsm392p5,1,41,40.4,2023-04-29T00:38:21.176Z,2023-04-29T00:38:22Z,4233281291,213,2.3,4233281289,212,15.3,4233281287,141,57.5,4233281283,56,Back,4233281285,140,31.5,,,,,,,,,,7fk82cjz0z5vq2ts3vmz8has5,D. O'Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540396331,5,1,1,0,4,b4fbmos00gxtk8qnaqsm392p5,1,31.5,57.5,2023-04-29T00:38:22.726Z,2023-04-29T00:38:27Z,4233281339,155,,4233281351,1,,4233281347,212,47.5,4233281349,213,0.6,4233281341,56,Left,4233281345,141,97.5,4233281343,140,68.6,,,,1p3bwk03ay87hp2nwrl3tfxwq,K. Kurtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540396335,6,44,1,0,6,b4fbmos00gxtk8qnaqsm392p5,1,65.6,96.7,2023-04-29T00:38:24.557Z,2023-04-29T01:29:08Z,4233281367,286,,4233281369,233,3,4233281365,56,Left,,,,,,,,,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540396325,3,44,1,0,6,c3v2ohfuzoqmc8ljm65hi80sj,0,34.4,3.3,2023-04-29T00:38:24.558Z,2023-04-29T00:38:28Z,4233281319,56,Back,4233281321,285,,4233281373,233,6,,,,,,,,,,,,,,,,6fs7fjwxqpkgzosbb8364d4np,C. Dydasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540396337,7,1,1,0,8,b4fbmos00gxtk8qnaqsm392p5,0,68.6,97.5,2023-04-29T00:38:26.526Z,2023-05-04T12:21:07Z,4233281397,213,5.7,4233281391,140,78.3,4233281389,56,Left,4233281395,212,12.5,4233281393,141,86.8,4233281387,3,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
