id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value
2515036889,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-03-04T14:15:09.613Z,2023-03-04T14:15:09Z,4070847637,30,"ezg39hlg3h14utboy2h3lijmd, diw7je3i5mkvwf0kj898yi0gl, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, cjroc2z4lnw58m804ihu8tm1h, 6t0n68hbpi4fa6lzt815gyc5w, 62azuux8vuk6956cuyjjtped, 7joniozhpy10veujjibxmbu2, cmq9t6wadet4rrj3cvkjst7ca, 79a7csp3rppvt5e5q02zmolhx, ap3mja91coq7mbr6xkqvbss7p, 4qris4sdzvtlkw5i3cmhhowrt, 6hkzb4vehsx4wwm9y98euwacq, dovxfzsqb5e7by2q6kq0j2z1l, 31xl77lt8tax7bta6s45p9fpx, 1g9uh6aokaevbg7s6v2jh8h78, 3mudv2ein3iuv9smhmkk9vod0",4070847643,130,18,4070847639,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4070847645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070847651,197,4206,4070847641,59,"1, 6, 26, 33, 22, 5, 8, 3, 20, 24, 9, 7, 13, 14, 15, 17, 18, 30",4070847655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070847647,194,62azuux8vuk6956cuyjjtped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515037071,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-03-04T14:15:22.953Z,2023-03-06T13:37:25Z,4070848737,197,4925,4070848739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070848731,130,8,4070848729,59,"1, 34, 15, 4, 3, 6, 7, 12, 10, 38, 18, 9, 11, 17, 22, 23, 32, 33",4070848727,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4070848725,30,"2xd9g0s3888o99iq0eb5j6ead, akatb6qaa078a72zvl8gapoiy, h4x8lz5ou8esdao80mvls9yi, 8y3obwxpwckjfl7hkrrg97sgl, ebsspe8jslej9a253w4xpf55h, 69lg8jmug501h6biol5itk02y, ddc712ebtmrrpvj4shekecus5, 8thtb5uqqv63f880cwhpc5zv9, f2d0i9t2qeyppfqrdv6xzc3px, 1la1hsnuheliwojwmcbxroy96, 6kxph7ulzz58v8tm3aaomy1ka, a64e8yqggr7fmtdlyr9v80yxh, e2sj7bhk2s9du1bs1vza1b4k5, 85vh43wsin67z2dj0iod12fop, 13squddw07mvcu7mo6xk5mjqi, 6ge15340tp9n57m88z6rli6i2, 535ecbyyd28elesvxtvbxurpx, 6kz7c7i4wzph7qlzi9nzt266t",4070848733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070848735,194,ebsspe8jslej9a253w4xpf55h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071681,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-03-04T15:01:40.817Z,2023-03-07T04:27:58Z,4071019871,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071715,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-03-04T15:01:40.817Z,2023-03-04T15:01:45Z,4071020001,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071883,3,1,1,0,0,3ptd7zlc5isrongig0wij2id4,1,50.2,50.3,2023-03-04T15:01:40.870Z,2023-03-07T09:17:15Z,4071020767,279,S,4079941305,178,,4071020761,141,50.6,4071020759,140,24.9,4071020757,56,Back,4071020765,213,3.1,4071020763,212,26.6,,,,8y3obwxpwckjfl7hkrrg97sgl,C. Hourihane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071943,4,1,1,0,2,3ptd7zlc5isrongig0wij2id4,0,26.6,54.5,2023-03-04T15:01:43.400Z,2023-03-07T09:17:19Z,4071021065,212,51.2,4071021063,141,33.3,4071021057,155,,4071021059,56,Center,4071021061,140,73.4,4079941417,178,,4071021069,1,,4071021067,213,6.0,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071947,3,44,1,0,5,82kapkjwonlv9j1ui0ytv5sii,1,25.8,69,2023-03-04T15:01:46.715Z,2023-03-07T10:14:44Z,4071021475,233,6,4071021081,285,,4071021079,56,Back,,,,,,,,,,,,,,,,dbe9gwg6ggyqh9fvdruelz8wl,T. Flanagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071983,6,44,1,0,5,3ptd7zlc5isrongig0wij2id4,0,74.2,31,2023-03-04T15:01:46.716Z,2023-03-07T09:17:24Z,4071021257,286,,4071021549,233,3,4071021255,56,Center,,,,,,,,,,,,,,,,ddc712ebtmrrpvj4shekecus5,T. Barkhuizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071973,4,1,1,0,5,82kapkjwonlv9j1ui0ytv5sii,0,24.9,73.6,2023-03-04T15:01:46.768Z,2023-03-07T10:14:44Z,4071021201,3,,4079941627,388,,4071021213,213,0.0,4071021209,141,73.8,4071021207,140,27.8,4071021211,212,3.0,4071021205,56,Back,,,,dbe9gwg6ggyqh9fvdruelz8wl,T. Flanagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071963,5,61,1,0,6,3ptd7zlc5isrongig0wij2id4,1,75.4,35.8,2023-03-04T15:01:46.829Z,2023-03-07T09:17:33Z,4079941763,15,,4079941765,388,,4071021139,56,Center,,,,,,,,,,,,,,,,ddc712ebtmrrpvj4shekecus5,T. Barkhuizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
