id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/8/value,assist,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2511933303,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-02-25T14:14:41.859Z,2023-02-25T17:04:37Z,4054457531,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4054457543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054457535,130,12,4054457541,197,16162,4054457529,30,"4c56c2zanbiv8q28f54i5rp3p, cyrr9517kjkt2l5tuqe966zth, 9r7ngbyjgfukassxtl07wnn55, 76tis9hdvmec3jcvgnsf6cdex, 77yt60bz6k3rqv316v9qxxyad, 4mg6kr1jernr98unfp5p8shqt, 6hrtxdf59nba5ietwyfe3b2t, ekbsso6hq913ss7jerbusyled, 4l7yeuoabotmlfo5n719msrmd, 1szy525fae134zxfbt7vyw991, 2gf1wld07zyiuvq7iikfrvoid, 8lvhd97efhjcg03fj1num1bzd, 583ujnml31x2cnl6jxwnbs2xh, 7f87a26gzayk0bfzbm42huuw9, 94opm6ljk3l7yqa2rzwq2gw6h, 24g3kj5853y2af5ncqhwlfbp, dwbbiqw9923azm3rpg2m8aqj9, cix63ukho97zzuwzkojnky3h0",4054457537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4054457539,194,ekbsso6hq913ss7jerbusyled,4054457533,59,"25, 2, 3, 15, 44, 6, 14, 10, 11, 24, 4, 8, 9, 17, 19, 31, 32, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511933881,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-02-25T14:15:11.628Z,2023-02-25T17:04:36Z,4054460683,130,12,4054460689,197,4825,4054460679,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4054460687,194,egr5n9jynbg3llc2tn2g5ncnp,4054460677,30,"4s0yf91l8xqodeuv473hmp5ka, 9z75i0zrgtuumyixz8dl9ysbt, 4qrvri86m93wpyugq0zq4aaqx, am14op2bc5krnoxpj6w9n5sk, 2r6gxw9yjxvaplv70ftq7wout, 8xxeuttt1yy26qf8w73bqua51, 1f8911tjafl7cun4lxydhpp7t, 6a08s0d0sgt7iw37spmo4bro5, ebsl5dh99nsoun0lksywr31n8, ald5oocxwh4pip8fw6v3ym8h6, egr5n9jynbg3llc2tn2g5ncnp, 46q465awyk7ndr9faq83vmuw9, 56g3fffeygobuei72gnkm9a09, cvxq0jdcg97tafit6s7s447v9, effzy3ttltffcz92a3ro4woa, evb6gpvuutmnisv9d12gs0xcl, 6m0h2e4kygi2hx6nf9b24cv6d, 91alifyhplzo2de1tooerpgfe",4054460691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054460681,59,"31, 28, 23, 34, 24, 6, 15, 21, 33, 17, 4, 1, 2, 8, 10, 19, 22, 32",4054460685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982795,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-02-25T15:03:21.887Z,2023-02-27T19:02:20Z,4054699971,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982767,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-02-25T15:03:21.887Z,2023-02-25T15:03:22Z,4054699841,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982927,3,1,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,49.7,50.3,2023-02-25T15:03:22.024Z,2023-02-27T20:38:24Z,4054700617,213,3.1,4054700619,279,S,4054700613,141,51.2,4054700609,56,Back,4062413081,178,,4054700615,212,7.5,4054700611,140,42.6,,,,4l7yeuoabotmlfo5n719msrmd,J. Windass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982959,4,1,1,0,2,1musyruv2ufjrjnj6gvdbr8kt,0,42.9,54,2023-02-25T15:03:24.250Z,2023-02-27T20:38:31Z,4054700797,56,Left,4054700807,1,,4054700803,212,41.9,4054700799,140,68.7,4054700801,141,100.0,4062413391,178,,4054700805,213,0.9,4054700795,155,,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511983647,3,5,1,0,4,2ezfenuwk3y65p8jdbj55xqt0,1,33.3,-2,2023-02-25T15:03:26.847Z,2023-02-27T20:38:37Z,4054704259,233,5,4054704221,56,Back,4054704223,347,,,,,,,,,,,,,,,,,8xxeuttt1yy26qf8w73bqua51,M. Hector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982973,5,5,1,0,4,1musyruv2ufjrjnj6gvdbr8kt,0,66.7,102,2023-02-25T15:03:26.847Z,2023-02-27T20:38:38Z,4054700839,56,Left,4054704297,233,3,4054700843,347,,,,,,,,,,,,,,,,,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511983787,4,1,1,0,22,2ezfenuwk3y65p8jdbj55xqt0,1,37.1,0,2023-02-25T15:03:43.909Z,2023-02-27T20:38:53Z,4054704973,213,0.2,4054704957,107,,4054704969,141,4.3,4054704961,56,Right,4054704971,212,21.3,4054704965,140,57.0,4054704975,1,,,,,9z75i0zrgtuumyixz8dl9ysbt,S. Clare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511983823,5,44,1,0,24,2ezfenuwk3y65p8jdbj55xqt0,1,59.4,6.7,2023-02-25T15:03:46.132Z,2023-02-28T06:02:08Z,4054705117,286,,4054705115,56,Right,4054705219,233,6,,,,,,,,,,,,,,,,ebsl5dh99nsoun0lksywr31n8,M. Leaburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
