id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2515037815,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-03-04T14:16:19.202Z,2023-03-04T14:58:16Z,4070852791,194,9j8icoctjp1icwle91r62q76x,4070852783,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4070852787,130,10,4071006321,197,2084,4070852793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070852785,59,"1, 22, 21, 33, 4, 2, 28, 42, 10, 24, 14, 7, 8, 9, 11, 16, 23, 29",4070852781,30,"32sqctjujedqsab4xwy1pwlbd, 8bx76kurepj0yqe9iixa0zyp6, 9j8icoctjp1icwle91r62q76x, 9r28zj6fz3z8dzojktwambsut, 1vfuzp09s9oj95ruav4ln9ch6, 4k2uxd5rl1u8ctyxh3d765fqh, bhtwzoyaqug2p0ezr7c6wxuui, 3nwvlft28lt3fiirchylvwtm1, 2uids8ea8jv4r62psqj37x3e2, s2phyy6eoysnxu96rw2ivnx1, 9qeg65oa5skmypxvt73vckfrp, 3jitoqthsisleiprkhni7gycp, 5v9byi3v430ysdqb058eww3c9, 6evqqxq5e0y1uvigg6bss4frp, 299g43uwcj4dblia1bihagmol, 9mgcugydtvdr5wk7qii9wpd2i, enjlm4kjscxmu04a1tz7vo3fu, 12zn29b1dqhexzrkvm43yuiac",4070852789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515039737,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-03-04T14:18:54.433Z,2023-03-04T14:58:56Z,4071007837,197,4680,4070863213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070863217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070863207,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4070863211,130,18,4070863209,59,"1, 7, 11, 5, 6, 15, 14, 23, 8, 20, 22, 9, 10, 13, 17, 24, 25, 33",4070863215,194,4y3hm9ljv62c5jswanl0gk5,4070863205,30,"41lv87i23sxmdyrs4xxh96m3u, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 89agv6797txmlw6m4nyhhsa2, 6xjftfuwhkbs39xfc3phdbyl1, 5n4s7vdp0dx0ndkph7oyg7v1l, agvyoqarq5zhflge7bm1hn36d, 4y3hm9ljv62c5jswanl0gk5, aclrl318d420oqe1fjgl1m3xm, 5lngv6xyqc7xanqv8ytifc3px, bojsqjfaoi810xuyz0qeqs0r9, b0l7hknmc27qttjxv094mi5zp, a1muz32ocg2650ll5kjc02u39, 71pv32h5sxhopm6aetxjm50ph, bybpo6v76mntngcl9xwpil7u1, 8tjvmh45ea9wy42siytdtkmzu, 1etperk4v88ohoddjdb5dj2l1, 1788amerrk9fg3f9qddyxz8x5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073093,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-03-04T15:02:17.670Z,2023-03-04T15:02:17Z,4071026231,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073133,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-03-04T15:02:17.670Z,2023-03-07T01:27:04Z,4071026447,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073195,3,1,1,0,0,8w89tsles26jm12aoelwvlttt,1,49.8,50.1,2023-03-04T15:02:17.750Z,2023-03-07T09:12:41Z,4071026735,279,S,4071026731,212,24.2,4071026729,141,54.5,4071026721,56,Back,4079934197,178,,4071026733,213,3.0,4071026725,140,26.9,,,,s2phyy6eoysnxu96rw2ivnx1,S. Kaikai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073273,4,1,1,0,3,8w89tsles26jm12aoelwvlttt,0,26.9,54.5,2023-03-04T15:02:20.696Z,2023-03-07T09:12:45Z,4071027117,56,Center,4079934305,178,,4071027129,213,0.3,4071027119,140,65.2,4071027121,141,73.5,4071027125,212,42.2,4071027133,1,,,,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516525041,897,49,1,0,5,ejm092fnt9zoxbpuklzd52ji8,1,33.5,22.2,2023-03-04T15:02:23.126Z,2023-03-07T09:12:52Z,,,,,,,,,,,,,,,,,,,,,,,,,5n4s7vdp0dx0ndkph7oyg7v1l,W. Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073437,3,1,1,0,5,ejm092fnt9zoxbpuklzd52ji8,0,30.9,17.7,2023-03-04T15:02:23.138Z,2023-03-07T09:12:59Z,4071028007,56,Right,4079934655,178,,4071028017,1,,4071028013,212,46.8,4071028009,140,75.4,4071028011,141,15.2,4071028005,157,,4071028015,213,6.2,5n4s7vdp0dx0ndkph7oyg7v1l,W. Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073511,5,61,1,0,9,8w89tsles26jm12aoelwvlttt,0,17.3,81.2,2023-03-04T15:02:26.752Z,2023-03-07T09:13:31Z,4071028357,56,Back,4079935281,388,,,,,,,,,,,,,,,,,,,,9r28zj6fz3z8dzojktwambsut,Z. Jules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073549,4,61,1,0,10,ejm092fnt9zoxbpuklzd52ji8,0,79.8,10.9,2023-03-04T15:02:28.539Z,2023-03-07T09:13:42Z,4079935481,178,,4071028541,56,Right,,,,,,,,,,,,,,,,,,,5lngv6xyqc7xanqv8ytifc3px,M. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515073569,6,49,1,0,12,8w89tsles26jm12aoelwvlttt,1,20.8,90.6,2023-03-04T15:02:29.850Z,2023-03-07T09:13:48Z,,,,,,,,,,,,,,,,,,,,,,,,,9qeg65oa5skmypxvt73vckfrp,B. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
