id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/14/value,assist,qualifier/18/value
2502889703,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-02-01T19:00:22.105Z,2023-02-01T19:46:20Z,4006854135,130,8,4006854137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4006854141,197,18076,4006854133,59,"13, 33, 16, 8, 5, 2, 22, 14, 7, 20, 30, 3, 4, 18, 19, 21, 27, 39",4006854139,194,bsrhtxhpnlxho2o4zvli5qmeh,4006854131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4006854143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006854129,30,"3oyhjrd1ohnwf1x3d65997xzp, cz30ywnq6p6dig7x3hu6h7cnp, 987r1vdgx95x30elzrisjrzs9, 3jzhwh7lq7xzcz7clm28h0mvp, bsrhtxhpnlxho2o4zvli5qmeh, 50c2v0l2cmkh82vso5tnjv3yt, 33ci88veciqvd4w5y145dyooa, 8olbkp9lqy3em5s9h7a4aod4a, dq21r0ge09ug4d2crb9j6q6dx, 2nqvzywi67fy7tx5p7d4kgo6i, 1lu7wsceoivdbsvqanykrr07p, 7cznyew8xg3fxfqeexid7pxt6, cqfbp8me2n00cve66v797omvp, 50flg4aoq4l0glnh61yzngc7p, d5yupvahq6bf4nde1nmgro6lm, exrh01dw52b651aet2am7v015, uluqgj69z6yunsl8m505lyi, 3cy13tw0tdconbwzlwteg6xas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502890695,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-02-01T19:02:45.819Z,2023-02-01T19:42:12Z,4006859145,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4006859169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006859143,30,"c3nbdw1440h1uwwmixrjxwclx, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5raent8a0bdt01n7769n3dw16, cruhiz25b3bbd4unocpu9bvf9, canpue729cozt0cw6a1dpi7ai, 1r9aj50371x6f0xf7mmvldz9x, 32crcj18u4qnf8f07fbsopvpx, 1iy0goeaf5btyw09tr2ywbe8l, eirc5i9gcpe0ap6gntxoomcix, n4ml5xifvll22bpq68ld4auh, 23gglwejp456bifnwkk9xi0a, bpw37dn7ite34srsk131bx46i, i1bzoqwi1u382l4yx3n864x6, acvgu9prqaeucmvi9fx070i22, dts1b2jsho5zw3qgvjrwvbfje",4006859167,197,16932,4006859149,59,"40, 2, 7, 5, 6, 12, 30, 48, 9, 44, 8, 1, 23, 14, 22, 26, 47, 41",4006859163,194,49ca952ot1c3ytut2s281ds6h,4006859153,130,10,4006859157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502908697,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-02-01T19:45:14.702Z,2023-02-01T19:45:16Z,4006962229,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502908695,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-02-01T19:45:14.702Z,2023-03-18T12:31:25Z,4006962227,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502908719,3,1,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,49.6,49.6,2023-02-01T19:45:14.749Z,2023-02-04T06:19:45Z,4006962403,279,S,4010306529,178,,4006962393,141,67.5,4006962395,212,12.3,4006962391,140,48.2,4006962389,56,Back,4006962399,213,1.7,,,,1iy0goeaf5btyw09tr2ywbe8l,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502908729,4,1,1,0,3,9db4t34qy4owglhvvgwf5l22i,1,50.9,49.4,2023-02-01T19:45:18.019Z,2023-02-04T06:19:55Z,4006962447,56,Center,4006962463,213,4.9,4006962451,140,53.3,4006962455,141,32.8,4006962459,212,11.6,4010306727,178,,,,,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502908737,5,1,1,0,4,9db4t34qy4owglhvvgwf5l22i,1,57.3,33,2023-02-01T19:45:18.840Z,2023-03-18T12:35:00Z,4006962509,213,2.4,4010306857,178,,4006962501,56,Center,4006962505,141,40.8,4010306859,21,,4006962503,140,51.6,4006962507,212,8.0,,,,cruhiz25b3bbd4unocpu9bvf9,A. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502908745,6,1,1,0,5,9db4t34qy4owglhvvgwf5l22i,0,51.9,40.6,2023-02-01T19:45:20.444Z,2023-03-18T12:35:03Z,4006962551,213,5.5,4006962547,141,0.0,4006962543,56,Right,4006962545,140,78.1,4006962553,1,,4010306913,178,,4006962541,155,,4006962549,212,39.5,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502908893,3,5,1,0,9,ahm0t06rup1bkd9z0mxl2lmph,1,15.6,101.6,2023-02-01T19:45:23.979Z,2023-02-04T06:20:21Z,4006963373,347,,4006963371,56,Back,4006963375,233,7,,,,,,,,,,,,,,,,33ci88veciqvd4w5y145dyooa,K. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502908749,7,5,1,0,9,9db4t34qy4owglhvvgwf5l22i,0,84.4,-1.6,2023-02-01T19:45:23.979Z,2023-02-04T06:20:22Z,4006962561,347,,4006962559,56,Right,4006963387,233,3,,,,,,,,,,,,,,,,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
