id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId
2518277465,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-03-11T14:14:49.928Z,2023-03-11T14:14:50Z,4088021985,30,"dirgn9z2tdz1603md8x3dni6t, 3x8j3d4oygoxsu75ipz0idt6, 5j1eftktnca9eso1vvhu2hf55, a90bv7xfjlfi8s3kvbpyjvn8q, bn65q0jh5fmyit8g8y4k9wsq2, 9e0t58fp461sn2pele7we3fu1, 5kg7eu8b1wktru5ohpid8e9qt, cwimbfv671qph6cxdcl32elzp, 4luphb29oi2p9ftkag6xb69jp, 43knl3z17afypz27sz4qzkxnu, 41ntkkxxtjznfdz7966j64161, 5vi8t2fffmk5kjfukazcmyo5x, cqgg8fu39fn7k9blog2zjpk2x, as885sgoqhqie6xuony3pqrfu, 1oxfxpbvol3526lbe42wxxze2, dgcocw72ey734nwc3omi02sid, 67xd8llko9zszuwg63ffopje2",4088021993,130,8,4088021991,59,"24, 3, 12, 48, 22, 23, 2, 4, 21, 25, 11, 6, 17, 20, 30, 31, 27",4088021997,194,cwimbfv671qph6cxdcl32elzp,4088021989,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4088021995,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4088022001,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088021999,197,16115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518277649,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-03-11T14:15:00.884Z,2023-03-11T14:15:01Z,4088023117,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4088023123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088023111,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4088023121,197,4819,4088023113,59,"1, 7, 3, 17, 5, 30, 22, 8, 10, 40, 9, 2, 18, 21, 23, 25, 28, 35",4088023119,194,bdquc37ytagmw19zgrehnryz9,4088023109,30,"byo7r7emgxz5oiauh2z75vpp1, 9s6ec1a12gozqwjlsyo7y8gr9, f0sa0skucdf742t06hsmi8ne2, 6hq92cx2829wfuzxmfhg1xpm1, c4hif6j7tldh0w7oeq8v9pcve, ejmi6qqszz1509excckyj3n1m, 9jj7t00bb5zflz78nlz3bvllg, 3pxdg41xbkbajeuxovusa2v9x, bdquc37ytagmw19zgrehnryz9, 5pafzbbuucga9ut20l6ckj7u2, dz04k2zt87y78ku9g14sxm21h, 6wax1hh875vpvfi1fbetwmtey, bgly2zwf7qro0phmd6hkry6ll, 4n37rih2qtphgtjxzo2id5f55, ct9ifm9mk702lkhhmlf12nlxx, 44mf0jzuwreljhmqth0w60iqd, c651trgr0pihuppxxd31z6go9, 6axta520v9f4z56hctbq3a4mh",4088023115,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322927,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-03-11T15:01:34.112Z,2023-03-11T15:01:34Z,4088256443,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322947,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-03-11T15:01:34.112Z,2023-03-13T20:12:07Z,4088256529,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323055,3,1,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,50,50,2023-03-11T15:01:34.202Z,2023-03-14T10:37:48Z,4097566813,178,,4088257093,212,14.9,4088257089,140,37.8,4088257097,279,S,4088257091,141,61.1,4088257095,213,2.6,4088257087,56,Back,,,,bdquc37ytagmw19zgrehnryz9,A. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323257,4,1,1,0,2,5pfqedkme2kabtqhkln35pf3l,1,37.3,61.7,2023-03-11T15:01:37.091Z,2023-03-14T10:37:51Z,4088258235,141,93.6,4097566981,178,,4088258239,213,0.5,4088258227,155,,4088258233,140,71.1,4088258241,1,,4088258231,56,Left,4088258237,212,41.6,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323277,3,4,1,0,5,17zuelixesst1z59fwcix2dil,1,33.2,6.7,2023-03-11T15:01:39.437Z,2023-03-14T11:06:55Z,4088258465,233,5,4088258341,56,Back,4088258343,152,,4088258337,13,,4088258475,285,,4088258339,294,,,,,,,,5kg7eu8b1wktru5ohpid8e9qt,C. O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518323263,5,4,1,0,5,5pfqedkme2kabtqhkln35pf3l,0,66.8,93.3,2023-03-11T15:01:39.438Z,2023-03-14T11:06:54Z,4088258285,152,,4088258277,294,,4088258511,233,3,4088258273,13,,4088258289,286,,4097615059,388,,4088258281,56,Left,,,,5pafzbbuucga9ut20l6ckj7u2,J. Coburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518324237,4,1,1,0,37,17zuelixesst1z59fwcix2dil,0,27.5,13.8,2023-03-11T15:02:11.158Z,2023-03-14T10:38:01Z,4088262973,1,,4088262965,140,68.6,4088262959,157,,4088262969,212,43.7,4088262971,213,0.2,4097567375,178,,4088262963,56,Center,4088262957,5,,dirgn9z2tdz1603md8x3dni6t,L. Thomas,4088262967,141,24.1,4088262961,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518324245,6,44,1,0,39,5pfqedkme2kabtqhkln35pf3l,1,32.8,81.4,2023-03-11T15:02:14.046Z,2023-03-14T11:35:49Z,4088263003,56,Back,4088263005,285,,4088263107,233,5,,,,,,,,,,,,,,,,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
