id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2535563847,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-04-18T17:59:20.325Z,2023-04-19T08:41:34Z,4200536677,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4200536673,194,8nudzikxeestbjz4yww8r13v9,4200536675,197,4823,4200536667,59,"34, 4, 44, 12, 5, 2, 17, 7, 8, 11, 10, 1, 9, 14, 16, 18, 21, 25",4200536665,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4200536663,30,"biwjsmk8ytz2k4d9f141jw15h, 5n4yyffs5f8b7exry819c4xxx, dkzos23k1n5ufrdg886p2dxt6, 18loyx03olyhtkt6scybwr8q1, 2di9tk08yuqcb4wn9dvmwh97t, 8nudzikxeestbjz4yww8r13v9, h4g0ji8lk43f7zcpl79henai, 8wnv741y7ghjolf8g5c7psru1, 4eg87cdkpgishec2gc9stm8oa, 5djouum2kdazpcjf79gbk2ju1, 1uqgky0sxqjs8bqd2h75rnmjt, 3yamg9wboimwxyklpekdxgxxx, df3lhrpu9m9mqhk1h7hov4ic5, 8fx84vh2k1x9c0dn66tivtzop, 102xw59l2wg2jsd03w6vkgine, byem8e04h7nlgk9ythcswoley, enwfqkgv2m6hfwwjmbvfx9m1h, a6w8k42asmtixpi0orgxh7aj8",4200536671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4200536669,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535563999,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-04-18T18:00:03.617Z,2023-04-19T08:31:09Z,4200537711,59,"19, 21, 27, 6, 4, 2, 16, 25, 22, 10, 29, 3, 8, 11, 12, 17, 24, 35",4200537721,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4200537719,197,16114,4200537709,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4200537717,194,9eaozqsxv2347nryh9pkmg251,4200537713,130,18,4200537715,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4200537707,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, 7edc89hg3r6ueacgnkde7fzvu, do0vklx8voqfr05b3j04ilex, 9bpm5m1tsplxq77m3cbpfm4t1, 9eaozqsxv2347nryh9pkmg251, 6q06inb8ukzfsrxy0arxl78q1, 7ybjr8x5s8j4zj17p544h6rmy, dndv2nbwzzvgrlgf6gmeqtryt, b1yok7nf3a2fu9voe0oy7o6ad, d866x81xlp0h24rtpg9jbczbp, 64tpd90skhh1yj8yztefhahn9, 7iruezvsore21eboc96g7oqtx, cqcwoymcrgf7wdi6091zplecp, 8c0rbwtrr5p2em8lyb2uzt785, awsbedog2zaz7zpjucbcba82y, az767vfe6ig8vwir9uu2eu3th, dd5h02pcz142eha2peyc0j2s5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576275,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-04-18T18:45:31.303Z,2023-04-18T18:45:31Z,4200603485,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576279,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-04-18T18:45:31.303Z,2023-04-20T19:19:11Z,4200603509,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576281,3,1,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,49.9,50.3,2023-04-18T18:45:31.332Z,2023-04-21T01:41:57Z,4200603521,212,21.6,4205133779,178,,4200603525,279,S,4200603519,141,50.1,4200603523,213,3.1,4200603517,140,29.3,4200603515,56,Back,,,,8wnv741y7ghjolf8g5c7psru1,J. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576345,4,1,1,0,2,8mbtyq0has0uu0565fm9t5cdo,1,26.9,50.1,2023-04-18T18:45:34.045Z,2023-04-21T01:42:19Z,4200603853,140,54.3,4200603855,141,15.9,4200603857,212,37.0,4200603859,213,5.6,4200603861,1,,4205134159,178,,4200603851,56,Right,4200603849,155,,2di9tk08yuqcb4wn9dvmwh97t,S. Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536485351,1325,67,1,0,5,8mbtyq0has0uu0565fm9t5cdo,1,53.5,15.9,2023-04-18T18:45:36.736Z,2023-04-21T09:06:31Z,4205457023,233,1695,,,,,,,,,,,,,,,,,,,,,,5n4yyffs5f8b7exry819c4xxx,A. Oshilaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536485347,1695,67,1,0,5,69t8imcdaqlgfbds2p58596my,0,46.5,84.1,2023-04-18T18:45:36.737Z,2023-04-21T08:26:57Z,4205457031,233,1325,,,,,,,,,,,,,,,,,,,,,,7edc89hg3r6ueacgnkde7fzvu,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576355,5,1,1,0,5,8mbtyq0has0uu0565fm9t5cdo,0,53.5,17,2023-04-18T18:45:36.771Z,2023-04-21T09:06:31Z,4200603935,141,30.1,4200603937,212,20.5,4200603933,140,71.1,4200603929,168,,4200603939,213,0.4,4205134375,388,,4200603931,56,Center,,,,5n4yyffs5f8b7exry819c4xxx,A. Oshilaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576359,3,1,1,0,7,69t8imcdaqlgfbds2p58596my,0,29.4,45.4,2023-04-18T18:45:39.043Z,2023-04-21T01:42:36Z,4200603949,56,Back,4200603951,140,35.4,4200603947,3,,4205134543,388,,4200603957,213,5.3,4200603953,141,32.8,4200603955,212,10.6,,,,9eaozqsxv2347nryh9pkmg251,G. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
