id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/10/value,keyPass,qualifier/15/value,assist,qualifier/18/value
2501207773,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-01-28T11:45:13.927Z,2023-01-28T11:45:14Z,3998032071,197,4825,3998032059,30,"4s0yf91l8xqodeuv473hmp5ka, 9z75i0zrgtuumyixz8dl9ysbt, egfrwjjbl6fom2rwi5jpzzfmx, egr5n9jynbg3llc2tn2g5ncnp, 2r6gxw9yjxvaplv70ftq7wout, am14op2bc5krnoxpj6w9n5sk, effzy3ttltffcz92a3ro4woa, 6a08s0d0sgt7iw37spmo4bro5, cvxq0jdcg97tafit6s7s447v9, ald5oocxwh4pip8fw6v3ym8h6, 4qrvri86m93wpyugq0zq4aaqx, 56g3fffeygobuei72gnkm9a09, 949hjt6noiqcg888992n2961h, evb6gpvuutmnisv9d12gs0xcl, 2g6lf0qaig1tg1ed59e4722y2, 91alifyhplzo2de1tooerpgfe, ebsl5dh99nsoun0lksywr31n8, 4hgji0bnqpsqezk5ctxq3ggh6",3998032063,59,"31, 28, 26, 4, 24, 34, 10, 21, 8, 17, 23, 2, 6, 19, 30, 32, 33, 43",3998032073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998032061,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3998032069,194,egr5n9jynbg3llc2tn2g5ncnp,3998032065,130,4,3998032067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501207811,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-01-28T11:45:24.013Z,2023-01-28T12:33:07Z,3998032439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3998032445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998032437,130,18,3998032435,59,"19, 21, 2, 6, 5, 18, 16, 22, 20, 17, 10, 3, 8, 12, 23, 27, 35, 29",3998032433,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3998032441,194,aqu903olqgqkljzwr658cogd1,3998032443,197,16114,3998032431,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, 9eaozqsxv2347nryh9pkmg251, do0vklx8voqfr05b3j04ilex, aqu903olqgqkljzwr658cogd1, 74vpeqcguo2sb2qgpt3b6zq3t, 6q06inb8ukzfsrxy0arxl78q1, dndv2nbwzzvgrlgf6gmeqtryt, 8zcwhxcdh09wxdn29kzpox591, awsbedog2zaz7zpjucbcba82y, b1yok7nf3a2fu9voe0oy7o6ad, 64tpd90skhh1yj8yztefhahn9, 7iruezvsore21eboc96g7oqtx, 8c0rbwtrr5p2em8lyb2uzt785, ltd25ksbai4wbpl56pwg0dlh, 7edc89hg3r6ueacgnkde7fzvu, dd5h02pcz142eha2peyc0j2s5, d866x81xlp0h24rtpg9jbczbp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501229641,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-01-28T12:32:16.702Z,2023-01-28T12:32:16Z,3998134551,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501229663,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-01-28T12:32:16.702Z,2023-01-30T17:57:24Z,3998134623,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501229689,3,1,1,0,0,69t8imcdaqlgfbds2p58596my,1,49.8,50.1,2023-01-28T12:32:16.750Z,2023-01-30T23:50:28Z,3998134755,140,28.7,3998134763,212,22.2,3998134759,141,49.7,3998134767,279,S,4004914311,178,,3998134765,213,3.2,3998134753,56,Back,,,,awsbedog2zaz7zpjucbcba82y,S. Shoretire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501229711,4,1,1,0,2,69t8imcdaqlgfbds2p58596my,0,28.7,49.7,2023-01-28T12:32:18.703Z,2023-01-30T23:50:35Z,4004914339,178,,3998134889,213,0.4,3998134887,212,60.2,3998134885,141,84.1,3998134883,140,81.5,3998134879,155,,3998134881,56,Left,3998134891,1,,74vpeqcguo2sb2qgpt3b6zq3t,E. Toal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501229725,3,1,1,0,5,2ezfenuwk3y65p8jdbj55xqt0,0,24.5,11.6,2023-01-28T12:32:22.238Z,2023-01-30T23:50:39Z,4004914353,178,,3998134955,213,0.1,3998134949,140,41.3,3998134953,212,17.8,3998134945,3,,3998134947,56,Back,3998134951,141,15.3,,,,2r6gxw9yjxvaplv70ftq7wout,R. Inniss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501229753,5,1,1,0,7,69t8imcdaqlgfbds2p58596my,1,58.5,81.4,2023-01-28T12:32:24.330Z,2023-01-30T23:50:47Z,4004914383,388,,3998135081,141,71.5,3998135077,56,Center,3998135085,213,5.4,3998135083,212,8.5,3998135079,140,63.5,,,,,,,do0vklx8voqfr05b3j04ilex,G. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502388679,847,1,1,0,8,69t8imcdaqlgfbds2p58596my,0,62.2,68.9,2023-01-28T12:32:25.108Z,2023-01-30T23:50:51Z,4004208691,212,10.0,4004208685,56,Center,4004208687,140,70.3,4004208689,141,76.6,4004208693,213,0.6,4004914391,178,,,,,,,,8zcwhxcdh09wxdn29kzpox591,K. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501229755,4,1,1,0,8,2ezfenuwk3y65p8jdbj55xqt0,0,32.2,16.5,2023-01-28T12:32:25.695Z,2023-01-30T23:50:55Z,3998135091,140,41.4,3998135093,141,14.9,3998135097,213,6.2,3998135087,155,,3998135095,212,9.7,4004914397,178,,3998135089,56,Back,,,,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
