id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value,qualifier/17/value
2531692173,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-04-10T13:15:08.651Z,2023-04-10T14:05:14Z,4179939417,59,"1, 21, 3, 15, 5, 2, 12, 26, 18, 11, 19, 6, 9, 16, 24, 28, 29, 32",4179939413,30,"9tlowuu89l3fnv5iowela1ca2, 6g8w8yuvkuayxcegsvzcjmmzt, 91mshvbc4rk9cf0chhgukakiy, dwp8bqc4rdleti92n0s6q9rdh, e9zi7fb2t4akk1pzjpuhe4bf9, 5mx96hmn7ophhuvmybmf1esid, cz9jf3ozld7o0hns2xmn54b56, 5dsht0mnmpm2asallpju46ms5, 43dtg3eg858i3agncnpq3p1wp, 33eqc4ye34v5r0ix9cqg9fo4p, 4wzaq9gqohygfo22tjibldfjd, 76j19abwcie5w5hptkewlh0bt, 4db9vewyt9kiqtqd5e0rloodm, 292fas4iqplshrbyvtj5ins9h, 1y7e8a23pc4xlc6ori1o1b8tm, uc2ekz3foqyl9djmicme4t4a, 8mxu20zdh9wrguq79ib8y5m21, 322ut6dhdlh98w6dh7a2wcmqc",4179939421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4179939425,197,4637,4179939419,130,13,4179939423,194,5mx96hmn7ophhuvmybmf1esid,4179939415,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4179939427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531692533,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-04-10T13:15:26.207Z,2023-04-10T13:15:26Z,4179941417,197,16120,4179941403,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4179941411,130,17,4179941415,194,5udpap0himq2ggsw4f0o5hqdx,4179941407,59,"25, 8, 14, 21, 6, 5, 28, 7, 9, 29, 10, 3, 4, 16, 18, 23, 26, 32",4179941401,30,"82h98ebusz83rox95oi9kafh1, 5udpap0himq2ggsw4f0o5hqdx, 8dcdul1txdibvq7liaagnc9ka, 4cyf8fcefkz6433g76okyd65m, wuidadmmyp6xcztp1lxdxg4p, oe0lbxtc4qftnd886dzfm385, 6q0zzgnbbzsbubnekye5dunai, 9llmzvk9nw1kwy73o8z9f8usp, 9w0nk2mz77jqc62v4gv1h0vkl, 38tea2leeefxjnkk8g2orjyll, alhqwxs7t2pxxxuztmvy1ibpx, 5a86e1pl8b7ibmrkz3h6gs1yh, 2q6bsyszm27v5uvs30j5ty311, 4xxoasz03erxlyonu2t8y5fqh, 4mjzjj2p0pzyw0hcq4no9y0o9, e713hl3clivldop8wln53rsyy, 944ptuekuetkjifbeaycqcoh5, ba8qp1eswz0kzcr0245r7q8kp",4179941413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4179941419,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531726819,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-04-10T14:00:19.571Z,2023-04-12T11:04:58Z,4180139119,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531726853,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-04-10T14:00:19.571Z,2023-04-10T14:00:21Z,4180139269,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531726887,3,1,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,49.9,50.1,2023-04-10T14:00:19.581Z,2023-04-12T18:07:32Z,4180139441,56,Back,4184813763,178,,4180139445,141,58.1,4180139443,140,27.8,4180139451,279,S,4180139449,213,2.9,4180139447,212,23.8,,,,cz9jf3ozld7o0hns2xmn54b56,E. Erhahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531726935,4,1,1,0,3,b3vbyitzi3nrw9ehj1eoko219,1,28.3,57.8,2023-04-10T14:00:22.900Z,2023-04-12T18:07:36Z,4180139663,141,14.6,4180139657,155,,4180139669,1,,4180139667,213,5.6,4184814101,178,,4180139659,56,Right,4180139661,140,64.3,4180139665,212,47.9,dwp8bqc4rdleti92n0s6q9rdh,P. O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531726943,5,1,1,0,7,b3vbyitzi3nrw9ehj1eoko219,1,64.6,15.5,2023-04-10T14:00:26.845Z,2023-04-12T18:07:40Z,4180139727,212,8.1,4180139729,213,3.8,4180139723,141,8.0,4184814257,178,,4180139719,56,Right,4180139721,140,58.6,,,,,,,43dtg3eg858i3agncnpq3p1wp,B. House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531726959,6,1,1,0,9,b3vbyitzi3nrw9ehj1eoko219,1,58.6,8,2023-04-10T14:00:29.127Z,2023-04-12T18:07:43Z,4180139809,212,30.2,4180139807,141,21.3,4180139811,213,2.8,4184814353,178,,4180139805,140,31.2,4180139801,56,Back,,,,,,,5mx96hmn7ophhuvmybmf1esid,R. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531726979,7,1,1,0,12,b3vbyitzi3nrw9ehj1eoko219,1,31.2,21.3,2023-04-10T14:00:31.648Z,2023-04-12T18:07:46Z,4180139913,141,41.0,4180139917,213,2.4,4180139909,56,Back,4180139911,140,18.2,4184814495,178,,4180139915,212,19.1,,,,,,,e9zi7fb2t4akk1pzjpuhe4bf9,A. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727007,8,1,1,0,15,b3vbyitzi3nrw9ehj1eoko219,0,18.9,41.6,2023-04-10T14:00:34.681Z,2023-04-12T18:07:50Z,4180140013,155,,4180140021,212,47.5,4180140025,1,,4180140019,141,41.2,4180140017,140,64.1,4184814635,178,,4180140023,213,6.3,4180140015,56,Center,9tlowuu89l3fnv5iowela1ca2,C. Rushworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727011,3,8,1,0,18,5g1fnexeromjl0lvnxp8hpnhi,1,35.2,61.8,2023-04-10T14:00:38.093Z,2023-04-12T18:08:24Z,4184815705,388,,4182968171,384,,4180140033,56,Back,,,,,,,,,,,,,,,,4cyf8fcefkz6433g76okyd65m,N. Lonwijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727031,4,49,1,0,19,5g1fnexeromjl0lvnxp8hpnhi,1,44.4,44.9,2023-04-10T14:00:38.917Z,2023-04-12T18:08:30Z,,,,,,,,,,,,,,,,,,,,,,,,,6q0zzgnbbzsbubnekye5dunai,J. Matete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531727103,5,1,1,0,20,5g1fnexeromjl0lvnxp8hpnhi,1,44.4,44.9,2023-04-10T14:00:40.301Z,2023-04-12T18:08:34Z,4184816017,178,,4180140467,56,Back,4180140475,141,56.7,4180140481,212,11.0,4180140485,213,2.3,4180140471,140,37.3,,,,,,,6q0zzgnbbzsbubnekye5dunai,J. Matete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
