id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/9/value,qualifier/16/value,qualifier/12/value,qualifier/15/value,qualifier/17/value
2521505269,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-03-18T14:15:02.003Z,2023-03-18T14:15:02Z,4105102461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105102451,59,"1, 24, 21, 3, 4, 2, 6, 42, 9, 16, 10, 8, 11, 14, 22, 23, 28, 29",4105102459,197,2083,4105102457,194,5obqs1ezswoc3ns0c9k4qai8l,4105102449,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4105102453,130,13,4105102455,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4105102447,30,"32sqctjujedqsab4xwy1pwlbd, s2phyy6eoysnxu96rw2ivnx1, 9j8icoctjp1icwle91r62q76x, 5obqs1ezswoc3ns0c9k4qai8l, 1vfuzp09s9oj95ruav4ln9ch6, 4k2uxd5rl1u8ctyxh3d765fqh, 8uch2zjj8vxmfi2l544j5ipxx, 3nwvlft28lt3fiirchylvwtm1, 6evqqxq5e0y1uvigg6bss4frp, 9mgcugydtvdr5wk7qii9wpd2i, 2uids8ea8jv4r62psqj37x3e2, 5v9byi3v430ysdqb058eww3c9, 299g43uwcj4dblia1bihagmol, 9qeg65oa5skmypxvt73vckfrp, 8bx76kurepj0yqe9iixa0zyp6, enjlm4kjscxmu04a1tz7vo3fu, bhtwzoyaqug2p0ezr7c6wxuui, 12zn29b1dqhexzrkvm43yuiac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521505351,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-03-18T14:15:04.924Z,2023-03-18T15:02:29Z,4105102951,194,dzitwscdk6ogkf6bstbrik53p,4105102945,59,"40, 2, 14, 12, 34, 50, 8, 22, 11, 20, 7, 9, 17, 18, 19, 23, 25, 30",4105102953,197,16212,4105102947,130,18,4105102939,30,"1aq6osi0b0c580dlu9ugnjaei, 2asjeedy6igcuixqktdmk5k2x, 8w9kh0cuund2pw8wzs0rjrbah, djjkjjtiuwnbaau5lv6iqkwr9, 74x5iaolqfr7r3on2uuriooyy, ag8f1ksvfel1a0y49d0iypuui, 8i4qnoil4877e0wpwx3fj5b10, a5cmnj0nhdbux68291ipqcei2, dzitwscdk6ogkf6bstbrik53p, f4ef7in4fxoylsy29anhgqep5, 7uhajc3suc68vemamuc3dyvp, a634junjbgfa84200m3khvw0l, 1vigb3e3dsxufbtvt4ed48e09, 4m5w23fmydm3or1ff42hgeqne, 46ums24te70jl5qclztg8xhwp, a2hmi1q39n8xmxhy2u1q533oq, 20z2xkmqc3em5dol00ko4sp62, 2hdl7ccy1jxh95aa00x1nlnu",4105102943,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4105102949,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4105102955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557587,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-03-18T15:00:14.739Z,2023-03-20T12:18:35Z,4105369821,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557517,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-03-18T15:00:14.739Z,2023-03-18T15:00:15Z,4105369533,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557641,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,50.5,49.7,2023-03-18T15:00:14.839Z,2023-03-18T15:00:20Z,4105370041,141,40.0,4105370037,56,Back,4105370039,140,32.6,4105370043,212,19.9,4105370045,213,3.5,4105370047,279,S,,,,,,,dzitwscdk6ogkf6bstbrik53p,S. McConville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557649,4,1,1,0,3,5qwskbjpa17fvmtuu5qijy7cz,0,37.2,39.8,2023-03-18T15:00:18.371Z,2023-03-18T15:00:25Z,4105370069,140,100.0,4105370063,155,,4105370065,56,Right,4105370571,1,,4105370077,212,68.6,4105370079,213,6.1,4105370073,141,19.2,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557757,3,5,1,0,7,8w89tsles26jm12aoelwvlttt,1,-1.4,77,2023-03-18T15:00:22.008Z,2023-03-18T15:00:26Z,4105370567,56,Back,4105370569,346,,4105370667,233,5,,,,,,,,,,,,,,,,2uids8ea8jv4r62psqj37x3e2,M. Eisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557765,5,5,1,0,7,5qwskbjpa17fvmtuu5qijy7cz,0,101.4,23,2023-03-18T15:00:22.008Z,2023-03-18T15:26:50Z,4105370613,346,,4105370611,56,Center,4105370679,233,3,,,,,,,,,,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558261,4,1,1,0,24,8w89tsles26jm12aoelwvlttt,1,5.1,50.1,2023-03-18T15:00:39.734Z,2023-03-18T15:00:44Z,4105372987,140,8.3,4105372985,56,Back,4105372997,237,,4105372993,213,1.2,4105372989,141,62.9,4105372983,124,,4105372991,212,9.3,,,,32sqctjujedqsab4xwy1pwlbd,J. Cumming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558311,5,1,1,0,29,8w89tsles26jm12aoelwvlttt,0,12.6,60.9,2023-03-18T15:00:44.222Z,2023-03-20T13:14:37Z,4105373187,56,Back,4105373195,213,0.6,4105373193,212,46.3,4105373189,140,47.7,4105373197,1,,4105373191,141,100.0,4112877629,189,,,,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
