id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2486658391,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-11-19T14:15:30.673Z,2022-11-19T14:30:23Z,3921230765,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3921230773,130,4,3921230769,59,"31, 6, 33, 19, 20, 34, 17, 10, 24, 11, 45, 2, 4, 7, 9, 13, 22, 25",3921230775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921230777,194,ekbsso6hq913ss7jerbusyled,3921230779,197,16162,3921230763,30,"24g3kj5853y2af5ncqhwlfbp, 4mg6kr1jernr98unfp5p8shqt, 3hq7q7p30s923cbbvw1070lp1, 94opm6ljk3l7yqa2rzwq2gw6h, e2b2wcox0ibhasr4zf5nphdqt, c211o2dh2p85auu0008zjxgix, 7f87a26gzayk0bfzbm42huuw9, ekbsso6hq913ss7jerbusyled, 1szy525fae134zxfbt7vyw991, 4l7yeuoabotmlfo5n719msrmd, mpzi06x1j85ahwkrbsa20kmi, cyrr9517kjkt2l5tuqe966zth, 2gf1wld07zyiuvq7iikfrvoid, 997jc41apd3dtrwgx79mu67e1, 583ujnml31x2cnl6jxwnbs2xh, btey8i9vnkak8ww7diqnb8lat, 2nm6gmvnf6bmqpgd286p3yeqc, 4c56c2zanbiv8q28f54i5rp3p",3921230781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486658399,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-11-19T14:15:31.268Z,2022-11-19T15:06:17Z,3921230823,130,18,3921230817,30,"ezg39hlg3h14utboy2h3lijmd, diw7je3i5mkvwf0kj898yi0gl, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, cjroc2z4lnw58m804ihu8tm1h, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, 7joniozhpy10veujjibxmbu2, cmq9t6wadet4rrj3cvkjst7ca, 6hkzb4vehsx4wwm9y98euwacq, 79a7csp3rppvt5e5q02zmolhx, 4qris4sdzvtlkw5i3cmhhowrt, dovxfzsqb5e7by2q6kq0j2z1l, 1g9uh6aokaevbg7s6v2jh8h78, 3mudv2ein3iuv9smhmkk9vod0, 3fu2g2b7g9e5dvtj7a5qxq238, ev5cd97tl1gpgy4e7lrljenmc",3921230831,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3921230829,197,17783,3921230827,194,62azuux8vuk6956cuyjjtped,3921230825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921230819,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3921230821,59,"1, 6, 26, 33, 22, 5, 7, 3, 20, 24, 14, 9, 13, 15, 18, 30, 35, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486672237,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-11-19T15:04:47.014Z,2022-11-19T15:04:49Z,3921300729,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486672213,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-11-19T15:04:47.014Z,2022-11-21T20:08:10Z,3921300619,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486672275,3,1,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,50.3,50.1,2022-11-19T15:04:47.261Z,2022-11-22T06:17:22Z,3923819241,178,,3921300929,140,48.9,3921300935,212,2.1,3921300931,141,47.8,3921300927,56,Back,3921300939,213,4.0,3921300943,279,S,,,,4l7yeuoabotmlfo5n719msrmd,J. Windass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486672281,4,1,1,0,1,1musyruv2ufjrjnj6gvdbr8kt,0,47.5,51.3,2022-11-19T15:04:48.900Z,2022-11-22T06:17:25Z,3921300969,155,,3921300973,140,66.7,3923819279,178,,3921300975,141,87.4,3921300971,56,Left,3921300977,212,31.8,3921300979,213,0.9,,,,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486672337,3,1,1,0,3,82kapkjwonlv9j1ui0ytv5sii,0,32.7,6.1,2022-11-19T15:04:51.009Z,2022-11-22T06:17:34Z,3921301213,3,,3921301223,140,48.8,3923819389,388,,3921301239,213,0.6,3921301219,56,Back,3921301235,212,19.9,3921301229,141,21.6,,,,diw7je3i5mkvwf0kj898yi0gl,T. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486672385,5,1,1,0,6,1musyruv2ufjrjnj6gvdbr8kt,0,51.6,73.6,2022-11-19T15:04:53.100Z,2022-11-22T06:17:58Z,3921301523,140,62.7,3921301529,213,0.4,3921301531,1,,3923819763,178,,3921301519,157,,3921301525,141,80.2,3921301521,56,Left,3921301527,212,12.5,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486672449,4,1,1,0,9,82kapkjwonlv9j1ui0ytv5sii,0,38.7,19.7,2022-11-19T15:04:56.096Z,2022-11-22T06:18:05Z,3921301833,140,35.8,3921301839,213,4.2,3921301829,3,,3921301837,212,6.3,3923819889,388,,3921301831,56,Back,3921301835,141,11.6,,,,7joniozhpy10veujjibxmbu2,T. Bayliss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486672467,5,44,1,0,10,82kapkjwonlv9j1ui0ytv5sii,1,34.8,10.8,2022-11-19T15:04:57.145Z,2022-11-22T07:48:45Z,3921301929,56,Back,3921301931,285,,3921301995,233,6,,,,,,,,,,,,,,,,diw7je3i5mkvwf0kj898yi0gl,T. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
