id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/11/value,qualifier/18/value,keyPass
2533582863,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-04-15T13:15:00.977Z,2023-04-15T13:57:37Z,4190038299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4190038285,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4190038293,130,18,4190038281,30,"41lv87i23sxmdyrs4xxh96m3u, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 89agv6797txmlw6m4nyhhsa2, 6xjftfuwhkbs39xfc3phdbyl1, 5n4s7vdp0dx0ndkph7oyg7v1l, 4y3hm9ljv62c5jswanl0gk5, a1muz32ocg2650ll5kjc02u39, 4m9vn1q30f1c8ksiyxtei63ft, b0l7hknmc27qttjxv094mi5zp, 5lngv6xyqc7xanqv8ytifc3px, 71pv32h5sxhopm6aetxjm50ph, bybpo6v76mntngcl9xwpil7u1, 1yzyn48jb8yd8bc0xywrhg0r9, bojsqjfaoi810xuyz0qeqs0r9, 1etperk4v88ohoddjdb5dj2l1, 8nzkkwhmox9lgbmwomq1rruju, 3avfwbde1n5ti7w690ve0cges",4190038289,59,"1, 7, 11, 5, 6, 15, 23, 10, 26, 9, 20, 13, 17, 19, 22, 25, 27, 29",4190038307,197,4680,4190038309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190038303,194,a1muz32ocg2650ll5kjc02u39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533582879,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-04-15T13:15:01.731Z,2023-04-15T13:15:01Z,4190038433,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4190038429,130,13,4190038437,197,4637,4190038425,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4190038439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190038427,59,"1, 21, 3, 15, 5, 2, 12, 26, 18, 11, 19, 6, 9, 16, 22, 24, 28, 29",4190038423,30,"9tlowuu89l3fnv5iowela1ca2, 6g8w8yuvkuayxcegsvzcjmmzt, 91mshvbc4rk9cf0chhgukakiy, dwp8bqc4rdleti92n0s6q9rdh, e9zi7fb2t4akk1pzjpuhe4bf9, 5mx96hmn7ophhuvmybmf1esid, cz9jf3ozld7o0hns2xmn54b56, 5dsht0mnmpm2asallpju46ms5, 43dtg3eg858i3agncnpq3p1wp, 33eqc4ye34v5r0ix9cqg9fo4p, 4wzaq9gqohygfo22tjibldfjd, 76j19abwcie5w5hptkewlh0bt, 4db9vewyt9kiqtqd5e0rloodm, 292fas4iqplshrbyvtj5ins9h, 94pt7ikxi5cdjhbqf7vi9xg4p, 1y7e8a23pc4xlc6ori1o1b8tm, uc2ekz3foqyl9djmicme4t4a, 8mxu20zdh9wrguq79ib8y5m21",4190038435,194,5mx96hmn7ophhuvmybmf1esid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627135,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-04-15T14:00:30.547Z,2023-04-15T14:00:30Z,4190264343,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627141,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-04-15T14:00:30.547Z,2023-04-17T23:42:03Z,4190264369,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627195,3,1,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,49.9,49.7,2023-04-15T14:00:30.548Z,2023-04-18T03:32:53Z,4190264677,212,11.5,4190264673,140,39.0,4199443599,178,,4190264681,279,S,4190264679,213,3.1,4190264671,56,Back,4190264675,141,50.9,,,,5lngv6xyqc7xanqv8ytifc3px,M. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627201,4,1,1,0,1,ejm092fnt9zoxbpuklzd52ji8,1,44.5,50.7,2023-04-15T14:00:32.073Z,2023-04-18T03:32:57Z,4190264737,213,4.5,4199443641,178,,4190264729,56,Back,4190264733,141,19.4,4190264731,140,39.2,4190264735,212,22.0,,,,,,,4y3hm9ljv62c5jswanl0gk5,T. Pett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627259,5,1,1,0,4,ejm092fnt9zoxbpuklzd52ji8,0,39.4,19.7,2023-04-15T14:00:34.580Z,2023-04-18T03:33:00Z,4190264953,155,,4190264957,140,80.2,4199443649,178,,4190264961,212,42.9,4190264965,1,,4190264959,141,16.7,4190264963,213,6.2,4190264955,56,Right,5n4s7vdp0dx0ndkph7oyg7v1l,W. Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627289,3,1,1,0,7,b3vbyitzi3nrw9ehj1eoko219,0,15.8,84.4,2023-04-15T14:00:37.746Z,2023-04-18T03:33:05Z,4190265127,3,,4190265135,212,18.0,4190265131,140,29.3,4190265129,56,Back,4190265137,213,0.7,4199443661,388,,4190265133,141,100.0,,,,dwp8bqc4rdleti92n0s6q9rdh,P. O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627297,4,5,1,0,9,b3vbyitzi3nrw9ehj1eoko219,0,32.4,101.4,2023-04-15T14:00:40.133Z,2023-04-18T03:33:10Z,4190265559,233,6,4190265177,56,Back,4190265183,347,,,,,,,,,,,,,,,,,dwp8bqc4rdleti92n0s6q9rdh,P. O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627363,6,5,1,0,9,ejm092fnt9zoxbpuklzd52ji8,1,67.6,-1.4,2023-04-15T14:00:40.133Z,2023-04-18T03:33:10Z,4190265537,233,4,4190265483,347,,4190265481,56,Right,,,,,,,,,,,,,,,,5n4s7vdp0dx0ndkph7oyg7v1l,W. Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
