id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/14/value
2501308393,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-01-28T14:14:49.848Z,2023-01-30T14:48:22Z,3998539217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998539189,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3998539187,30,"dgcocw72ey734nwc3omi02sid, bn65q0jh5fmyit8g8y4k9wsq2, 5j1eftktnca9eso1vvhu2hf55, c3a6jpeg16b9zn02uf1yf9cyx, 3dy32ujo7srhl6rq7vb9e97xm, 9e0t58fp461sn2pele7we3fu1, 5kg7eu8b1wktru5ohpid8e9qt, cwimbfv671qph6cxdcl32elzp, 4luphb29oi2p9ftkag6xb69jp, d41ua67591gafg6gb9iwg3p7u, 41ntkkxxtjznfdz7966j64161, 5vi8t2fffmk5kjfukazcmyo5x, es83awo143gzdm1ohwqwpmjf9, cqgg8fu39fn7k9blog2zjpk2x, dirgn9z2tdz1603md8x3dni6t, 43knl3z17afypz27sz4qzkxnu, 2r64ekro7ydonu8jg7s12xyei, a90bv7xfjlfi8s3kvbpyjvn8q",3998539211,197,16115,3998539205,194,cwimbfv671qph6cxdcl32elzp,3998539193,59,"31, 22, 12, 7, 5, 23, 2, 4, 21, 33, 11, 6, 9, 17, 24, 25, 28, 48",3998539197,130,8,3998539201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501308879,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-01-28T14:15:24.640Z,2023-01-28T14:15:24Z,3998542167,59,"1, 6, 26, 33, 22, 5, 7, 3, 20, 14, 24, 8, 9, 13, 15, 17, 18, 30",3998542177,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998542171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3998542169,130,18,3998542173,194,62azuux8vuk6956cuyjjtped,3998542163,30,"ezg39hlg3h14utboy2h3lijmd, diw7je3i5mkvwf0kj898yi0gl, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, cjroc2z4lnw58m804ihu8tm1h, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, 7joniozhpy10veujjibxmbu2, 6hkzb4vehsx4wwm9y98euwacq, cmq9t6wadet4rrj3cvkjst7ca, 6t0n68hbpi4fa6lzt815gyc5w, 79a7csp3rppvt5e5q02zmolhx, 4qris4sdzvtlkw5i3cmhhowrt, dovxfzsqb5e7by2q6kq0j2z1l, 31xl77lt8tax7bta6s45p9fpx, 1g9uh6aokaevbg7s6v2jh8h78, 3mudv2ein3iuv9smhmkk9vod0",3998542175,197,4206,3998542165,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501349733,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-01-28T15:00:02.470Z,2023-01-30T22:00:48Z,3998750507,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501349711,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-01-28T15:00:02.470Z,2023-01-28T15:00:02Z,3998750457,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501349781,3,1,1,0,0,17zuelixesst1z59fwcix2dil,1,49.9,50,2023-01-28T15:00:02.474Z,2023-01-31T10:45:15Z,4005292143,178,,3998750765,212,24.3,3998750759,56,Back,3998750763,141,53.4,3998750761,140,26.9,3998750769,279,S,3998750767,213,3.0,,,,d41ua67591gafg6gb9iwg3p7u,T. Onyango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501349801,4,1,1,0,2,17zuelixesst1z59fwcix2dil,1,29.2,54.6,2023-01-28T15:00:04.988Z,2023-01-31T10:45:34Z,3998750851,1,,3998750845,141,75.9,4005292833,178,,3998750847,212,52.7,3998750849,213,0.3,3998750843,140,77.5,3998750841,56,Center,3998750839,155,,cwimbfv671qph6cxdcl32elzp,D. McGeouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501349805,5,44,1,0,5,17zuelixesst1z59fwcix2dil,1,76.8,79.2,2023-01-28T15:00:07.703Z,2023-01-31T13:55:58Z,3998750861,286,,3998750859,56,Left,3998750929,233,3,,,,,,,,,,,,,,,,4luphb29oi2p9ftkag6xb69jp,A. Bakayoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501349811,3,44,1,0,5,82kapkjwonlv9j1ui0ytv5sii,0,23.2,20.8,2023-01-28T15:00:07.704Z,2023-01-31T10:45:43Z,3998750889,56,Back,3998750893,285,,3998750907,233,5,,,,,,,,,,,,,,,,1tkhk7k78uqvkegtn5i9r132t,C. Dunkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502418355,704,1,1,0,5,17zuelixesst1z59fwcix2dil,0,73.7,78.7,2023-01-28T15:00:07.750Z,2023-01-31T13:55:58Z,4004353045,140,74.9,4004353051,213,5.4,4004353047,141,76.4,4004353049,212,2.0,4004353041,3,,4005293439,388,,4004353043,56,Center,,,,4luphb29oi2p9ftkag6xb69jp,A. Bakayoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501349827,4,61,1,0,5,82kapkjwonlv9j1ui0ytv5sii,1,24,17.4,2023-01-28T15:00:07.760Z,2023-01-31T10:46:03Z,4005293793,15,,4005293795,388,,3998750995,56,Back,,,,,,,,,,,,,,,,1tkhk7k78uqvkegtn5i9r132t,C. Dunkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
