id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,assist
2493912017,6,5,1,0,9,5qwskbjpa17fvmtuu5qijy7cz,1,80.2,-1.4,2022-12-29T19:44:49.197Z,2023-01-01T18:28:15Z,3959682369,56,Right,3959682373,233,5,3959682371,347,,,,,,,,,,,,,,,,,2asjeedy6igcuixqktdmk5k2x,M. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912027,7,1,1,0,28,5qwskbjpa17fvmtuu5qijy7cz,0,76.1,0,2022-12-29T19:45:08.707Z,2023-01-01T18:28:19Z,3959682439,213,0.9,3959682435,141,40.6,3959682429,107,,3959682431,56,Center,3959682437,212,36.5,3959682433,140,97.6,3959682441,1,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912031,6,44,1,0,30,8xeuwzxnm7hdlbjjuezgfkz3w,1,2,60.4,2022-12-29T19:45:10.952Z,2023-01-02T04:58:12Z,3959682483,233,8,3959682449,56,Back,3959682451,285,,,,,,,,,,,,,,,,,a69q0jj7tjwzxpo6b4i1ed3h1,R. Delaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912033,8,44,1,0,30,5qwskbjpa17fvmtuu5qijy7cz,0,98,39.6,2022-12-29T19:45:10.953Z,2023-01-01T18:28:24Z,3959682515,233,6,3959682455,286,,3959682453,56,Center,,,,,,,,,,,,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912039,7,12,1,0,30,8xeuwzxnm7hdlbjjuezgfkz3w,1,1.7,61.4,2022-12-29T19:45:11.026Z,2023-01-02T04:58:13Z,3962961943,388,,3959682497,141,62.9,3959682493,56,Back,3959682499,212,3.6,3959682495,140,0.0,3959682595,15,,3959682501,213,2.9,3959682541,167,,a69q0jj7tjwzxpo6b4i1ed3h1,R. Delaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912043,8,6,1,0,31,8xeuwzxnm7hdlbjjuezgfkz3w,0,0.4,61.2,2022-12-29T19:45:11.577Z,2023-01-01T18:28:38Z,3959682533,56,Back,3959682559,233,9,3959682535,73,,,,,,,,,,,,,,,,,a69q0jj7tjwzxpo6b4i1ed3h1,R. Delaney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912045,9,6,1,0,31,5qwskbjpa17fvmtuu5qijy7cz,1,99.6,38.8,2022-12-29T19:45:11.577Z,2023-01-01T18:28:38Z,3959682537,56,Center,3959682539,75,,3959682555,233,8,,,,,,,,,,,,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912203,10,1,1,1,2,5qwskbjpa17fvmtuu5qijy7cz,0,99.5,0.5,2022-12-29T19:45:43.148Z,2023-01-01T18:28:41Z,3959683415,213,1.9,3959683409,140,92.0,3959683405,223,,3959683401,6,,3962961989,178,,3959683411,141,39.4,3960844653,72,,3959683399,2,,8w9kh0cuund2pw8wzs0rjrbah,R. Longelo-Mbule,3959683413,212,27.6,3959683407,56,Center,3959683403,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912211,9,12,1,1,4,8xeuwzxnm7hdlbjjuezgfkz3w,1,7.2,65.7,2022-12-29T19:45:44.471Z,2023-01-01T18:28:46Z,3959683449,213,5.3,3959683445,141,45.5,3959683451,15,,3959683441,56,Back,3962962049,388,,3959683443,140,15.9,3959683447,212,16.5,,,,3nxrsmys3v8ci6xeqsx8yaac5,F. Rawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912263,11,1,1,1,8,5qwskbjpa17fvmtuu5qijy7cz,1,77.8,79.4,2022-12-29T19:45:48.626Z,2023-01-01T18:30:26Z,3959683707,140,50.1,3962962497,178,,3959683713,213,3.3,3959683709,141,74.4,3959683705,56,Center,3959683711,212,29.3,,,,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
