id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/8/value,qualifier/16/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2507747683,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-02-14T19:00:25.684Z,2023-02-14T19:43:46Z,4032349945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4032349939,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4032349935,59,"1, 2, 24, 15, 5, 4, 12, 10, 18, 27, 11, 3, 6, 7, 9, 21, 22, 29",4032349941,194,5mx96hmn7ophhuvmybmf1esid,4032349931,30,"9tlowuu89l3fnv5iowela1ca2, 5mx96hmn7ophhuvmybmf1esid, 1y7e8a23pc4xlc6ori1o1b8tm, dwp8bqc4rdleti92n0s6q9rdh, e9zi7fb2t4akk1pzjpuhe4bf9, 8q4vt9778kxds17wm6e9hdoiy, cz9jf3ozld7o0hns2xmn54b56, 2sqsqi4h0d982a171bfuqnd91, 43dtg3eg858i3agncnpq3p1wp, 6dhwu4p5uu6oiada4q13g5tk9, 33eqc4ye34v5r0ix9cqg9fo4p, 91mshvbc4rk9cf0chhgukakiy, 76j19abwcie5w5hptkewlh0bt, dz4jeb7rhr5jt3grs4evbs5bd, 4db9vewyt9kiqtqd5e0rloodm, 6g8w8yuvkuayxcegsvzcjmmzt, 94pt7ikxi5cdjhbqf7vi9xg4p, 8mxu20zdh9wrguq79ib8y5m21",4032349933,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4032349943,197,4637,4032349937,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507747693,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-02-14T19:00:28.356Z,2023-02-14T19:00:28Z,4032349981,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4032349983,59,"1, 12, 15, 4, 3, 6, 11, 38, 9, 10, 18, 7, 16, 17, 22, 23, 32, 33",4032349987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4032349993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4032349985,130,8,4032349989,194,ebsspe8jslej9a253w4xpf55h,4032349979,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, h4x8lz5ou8esdao80mvls9yi, 8y3obwxpwckjfl7hkrrg97sgl, ebsspe8jslej9a253w4xpf55h, 69lg8jmug501h6biol5itk02y, e2sj7bhk2s9du1bs1vza1b4k5, 1la1hsnuheliwojwmcbxroy96, a64e8yqggr7fmtdlyr9v80yxh, f2d0i9t2qeyppfqrdv6xzc3px, 6kxph7ulzz58v8tm3aaomy1ka, ddc712ebtmrrpvj4shekecus5, e01znd47zh4hk0g8jx67wzl9m, 85vh43wsin67z2dj0iod12fop, 13squddw07mvcu7mo6xk5mjqi, 6ge15340tp9n57m88z6rli6i2, 535ecbyyd28elesvxtvbxurpx, 6kz7c7i4wzph7qlzi9nzt266t",4032349991,197,4925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751111,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-02-14T19:44:23.078Z,2023-02-16T03:54:50Z,4032368599,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751113,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-02-14T19:44:23.078Z,2023-02-14T19:44:26Z,4032368601,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751117,3,1,1,0,0,3ptd7zlc5isrongig0wij2id4,1,50.1,49.9,2023-02-14T19:44:23.238Z,2023-02-16T20:29:14Z,4032368621,279,S,4032368615,141,26.5,4032368619,213,3.9,4032368611,56,Back,4036051563,178,,4032368617,212,22.5,4032368613,140,34.9,,,,f2d0i9t2qeyppfqrdv6xzc3px,D. McGoldrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751121,4,1,1,0,2,3ptd7zlc5isrongig0wij2id4,1,35.9,31.2,2023-02-14T19:44:25.334Z,2023-02-16T20:29:18Z,4036051651,178,,4032368635,140,52.3,4032368639,212,25.8,4032368641,213,5.4,4032368633,56,Right,4032368637,141,2.9,,,,,,,8thtb5uqqv63f880cwhpc5zv9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751125,5,1,1,0,4,3ptd7zlc5isrongig0wij2id4,1,53.6,6.7,2023-02-14T19:44:27.766Z,2023-02-16T20:29:20Z,4032368665,212,20.2,4032368659,56,Back,4032368661,140,35.4,4036051719,178,,4032368667,213,2.8,4032368663,141,16.5,,,,,,,e2sj7bhk2s9du1bs1vza1b4k5,N. Mendez-Laing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751127,6,1,1,0,6,3ptd7zlc5isrongig0wij2id4,0,35.7,17.4,2023-02-14T19:44:29.679Z,2023-02-16T20:29:23Z,4032368673,140,38.9,4032368687,233,3,4032368677,212,4.8,4032368691,286,,4032368679,213,0.8,4036051813,178,,4032368671,56,Back,4032368675,141,22.4,8thtb5uqqv63f880cwhpc5zv9,K. Smith,4032368685,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751129,3,74,1,0,6,b3vbyitzi3nrw9ehj1eoko219,1,59.8,84.8,2023-02-14T19:44:29.765Z,2023-02-16T20:29:25Z,4032368683,285,,4036051885,178,,4032368681,56,Left,4032368693,233,6,,,,,,,,,,,,,43dtg3eg858i3agncnpq3p1wp,B. House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751131,4,49,1,0,8,b3vbyitzi3nrw9ehj1eoko219,1,69.1,91.2,2023-02-14T19:44:32.020Z,2023-02-16T20:29:29Z,,,,,,,,,,,,,,,,,,,,,,,,,43dtg3eg858i3agncnpq3p1wp,B. House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
