id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/9/value,qualifier/12/value,assist
2509081789,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-02-18T14:15:01.356Z,2023-02-18T15:01:11Z,4039404721,194,egr5n9jynbg3llc2tn2g5ncnp,4039404717,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4039404709,59,"31, 28, 2, 4, 6, 34, 10, 21, 8, 17, 23, 1, 15, 19, 22, 24, 26, 43",4039404729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039404713,130,4,4039404703,30,"4s0yf91l8xqodeuv473hmp5ka, 9z75i0zrgtuumyixz8dl9ysbt, 56g3fffeygobuei72gnkm9a09, egr5n9jynbg3llc2tn2g5ncnp, 8xxeuttt1yy26qf8w73bqua51, am14op2bc5krnoxpj6w9n5sk, effzy3ttltffcz92a3ro4woa, 6a08s0d0sgt7iw37spmo4bro5, cvxq0jdcg97tafit6s7s447v9, ald5oocxwh4pip8fw6v3ym8h6, 4qrvri86m93wpyugq0zq4aaqx, 46q465awyk7ndr9faq83vmuw9, 1f8911tjafl7cun4lxydhpp7t, evb6gpvuutmnisv9d12gs0xcl, 6m0h2e4kygi2hx6nf9b24cv6d, 2r6gxw9yjxvaplv70ftq7wout, egfrwjjbl6fom2rwi5jpzzfmx, 4hgji0bnqpsqezk5ctxq3ggh6",4039404725,197,4825,4039404705,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509082651,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-02-18T14:15:53.563Z,2023-02-18T14:15:53Z,4039409615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039409601,130,8,4039409595,59,"1, 12, 17, 4, 3, 6, 7, 23, 10, 38, 11, 9, 15, 16, 18, 22, 32, 33",4039409609,194,ebsspe8jslej9a253w4xpf55h,4039409605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4039409613,197,4925,4039409587,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, 85vh43wsin67z2dj0iod12fop, 8y3obwxpwckjfl7hkrrg97sgl, ebsspe8jslej9a253w4xpf55h, 69lg8jmug501h6biol5itk02y, ddc712ebtmrrpvj4shekecus5, 6ge15340tp9n57m88z6rli6i2, f2d0i9t2qeyppfqrdv6xzc3px, 1la1hsnuheliwojwmcbxroy96, e2sj7bhk2s9du1bs1vza1b4k5, a64e8yqggr7fmtdlyr9v80yxh, h4x8lz5ou8esdao80mvls9yi, e01znd47zh4hk0g8jx67wzl9m, 6kxph7ulzz58v8tm3aaomy1ka, 13squddw07mvcu7mo6xk5mjqi, 535ecbyyd28elesvxtvbxurpx, 6kz7c7i4wzph7qlzi9nzt266t",4039409591,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509120731,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-02-18T14:59:31.889Z,2023-02-20T18:51:28Z,4039609913,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509120737,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-02-18T14:59:31.889Z,2023-02-18T14:59:32Z,4039609939,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509120751,3,1,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,49.8,50.1,2023-02-18T14:59:31.930Z,2023-02-21T05:19:45Z,4039610057,279,S,4047158851,178,,4039610055,213,3.4,4039610047,56,Back,4039610053,212,13.6,4039610049,140,37.2,4039610051,141,45.4,,,,effzy3ttltffcz92a3ro4woa,A. Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509120755,4,1,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,37.2,45.4,2023-02-18T14:59:32.761Z,2023-02-21T05:19:48Z,4039610083,141,49.0,4039610081,140,53.8,4039610079,56,Center,4047158905,178,,4039610087,213,0.1,4039610085,212,17.6,,,,,,,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509120773,5,1,1,0,2,2ezfenuwk3y65p8jdbj55xqt0,1,53.8,49,2023-02-18T14:59:33.896Z,2023-02-21T05:19:51Z,4039610169,141,42.4,4039610171,212,15.4,4047158933,178,,4039610173,213,3.4,4039610165,56,Back,4039610167,140,39.8,,,,,,,effzy3ttltffcz92a3ro4woa,A. Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509120799,6,1,1,0,4,2ezfenuwk3y65p8jdbj55xqt0,0,39.8,42.4,2023-02-18T14:59:36.285Z,2023-02-21T05:19:55Z,4039610307,155,,4039610319,1,,4039610311,140,74.8,4047158981,178,,4039610313,141,31.9,4039610317,213,6.1,4039610309,56,Center,4039610315,212,37.4,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509120809,3,1,1,0,6,3ptd7zlc5isrongig0wij2id4,0,22.8,64.9,2023-02-18T14:59:38.602Z,2023-02-21T05:20:00Z,4047159033,178,,4039610363,56,Back,4039610367,141,59.2,4039610365,140,36.3,4039610371,213,6.0,4039610369,212,14.7,4039610361,3,,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509120845,7,1,1,0,10,2ezfenuwk3y65p8jdbj55xqt0,1,68.8,41.5,2023-02-18T14:59:42.699Z,2023-02-21T05:20:06Z,4039610531,213,3.2,4039610529,212,10.3,4039610525,140,59.0,4047159079,178,,4039610527,141,41.0,4039610523,56,Center,,,,,,,6a08s0d0sgt7iw37spmo4bro5,S. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
