id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/17/value
2521509383,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-03-18T14:18:19.018Z,2023-03-18T15:00:12Z,4105124961,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105124947,130,12,4105124943,59,"1, 2, 7, 5, 6, 12, 30, 8, 9, 47, 48, 3, 10, 16, 26, 31, 40, 44",4105124959,197,16932,4105124939,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4105124937,30,"eirc5i9gcpe0ap6gntxoomcix, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5raent8a0bdt01n7769n3dw16, cruhiz25b3bbd4unocpu9bvf9, 1iy0goeaf5btyw09tr2ywbe8l, 1r9aj50371x6f0xf7mmvldz9x, acvgu9prqaeucmvi9fx070i22, canpue729cozt0cw6a1dpi7ai, 9gfxdw176mc8yn7dowedmvtgp, 4nph9aqyr2kz1gmdh7v9n3w89, 7fwprbpdcdb7qcgaoe2humwo9, i1bzoqwi1u382l4yx3n864x6, ddjh4t18kk75bz9sgga2g2f3d, c3nbdw1440h1uwwmixrjxwclx, 32crcj18u4qnf8f07fbsopvpx",4105124955,194,49ca952ot1c3ytut2s281ds6h,4105124951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521511225,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-03-18T14:20:04.684Z,2023-03-18T15:07:34Z,4105135593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105135591,197,16167,4105135579,59,"1, 26, 3, 28, 2, 5, 12, 10, 18, 29, 27, 6, 7, 15, 16, 22, 31, 38",4105135577,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4105135575,30,"1sw0ywyl0cgn97mu65tnzv0t1, 7fvj3ev8ov0cnalck9x48z3kl, 5bkjye9thnohmdgzwsrsy1n9, 7pia2vfewavgyc8d7pvgr7owl, f5zei3x0mg1i5q3soziuy579, dbvkpe7bc9clualadtx9rf1uc, 4oogur7f8tfx3z011ap58ao5x, 93kxb8ch3auv9li22mh1aidey, 99uiqjteov3qby19bs8kozill, cxfq8o3k68x1acwci3wx812w9, dez3rm7q89xk157fwnc3tgqcq, 4uywqjm0i2ik5cwhulbmzxi39, bbrx2s4fcp7uplly4hpbt3xed, 8fg00qug3asta7227xti3tskp, datykfu6jdjc3jlmi3flv7dud, 40wbrqny2ekenyy37ver8dyol, ein4ztrsuiclfbe9p066lmyok, 5knn6bkjba6eh0torsnwrkl0q",4105135583,130,8,4105135587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4105135589,194,5bkjye9thnohmdgzwsrsy1n9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560799,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-03-18T15:02:03.290Z,2023-03-18T15:02:04Z,4105385467,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560753,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-03-18T15:02:03.290Z,2023-03-21T13:48:13Z,4105385205,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560975,3,1,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,50.1,49.7,2023-03-18T15:02:03.388Z,2023-03-21T14:00:40Z,4114460277,178,,4105386265,141,51.2,4105386263,140,30.6,4105386261,56,Back,4105386269,213,3.1,4105386267,212,20.5,4105386271,279,S,,,,1iy0goeaf5btyw09tr2ywbe8l,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521561053,4,1,1,0,2,9db4t34qy4owglhvvgwf5l22i,0,31.3,49.1,2023-03-18T15:02:06.107Z,2023-03-21T14:00:48Z,4105386695,1,,4105386691,212,54.7,4105386693,213,5.6,4105386685,56,Right,4105386683,155,,4114460513,178,,4105386689,141,0.0,4105386687,140,72.0,canpue729cozt0cw6a1dpi7ai,L. Connell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521561361,3,5,1,0,7,jv3jh5m5t7qy5t37vwwmnj16,1,26.1,101.3,2023-03-18T15:02:10.599Z,2023-03-21T14:00:57Z,4105388303,233,5,4105388247,56,Back,4105388249,347,,,,,,,,,,,,,,,,,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521561063,5,5,1,0,7,9db4t34qy4owglhvvgwf5l22i,0,73.9,-1.3,2023-03-18T15:02:10.599Z,2023-03-21T14:00:58Z,4105388337,233,3,4105386735,56,Right,4105386739,347,,,,,,,,,,,,,,,,,canpue729cozt0cw6a1dpi7ai,L. Connell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521561507,4,1,1,0,15,jv3jh5m5t7qy5t37vwwmnj16,1,24.2,100,2023-03-18T15:02:18.749Z,2023-03-21T14:01:03Z,4105388999,141,89.1,4105388993,140,15.7,4105389007,212,12.3,4105388989,56,Back,4105388985,107,,4105389013,213,3.9,,,,,,,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521561575,5,1,1,0,17,jv3jh5m5t7qy5t37vwwmnj16,0,15.1,83.8,2023-03-18T15:02:21.164Z,2023-03-21T14:01:17Z,4105389403,213,0.1,4105389395,140,39.4,4105389391,155,,4105389393,56,Back,4105389399,212,25.6,4105389397,141,86.2,4114461335,178,,,,,dbvkpe7bc9clualadtx9rf1uc,C. Forino-Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
