id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/9/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/15/value
2484557949,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-11-12T14:15:11.418Z,2022-11-12T15:31:06Z,3910239725,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910239721,194,62azuux8vuk6956cuyjjtped,3910239717,130,18,3910239715,59,"1, 15, 26, 33, 22, 5, 6, 3, 20, 24, 9, 7, 13, 14, 18, 19, 30, 35",3910239711,30,"ezg39hlg3h14utboy2h3lijmd, dovxfzsqb5e7by2q6kq0j2z1l, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, cjroc2z4lnw58m804ihu8tm1h, diw7je3i5mkvwf0kj898yi0gl, 62azuux8vuk6956cuyjjtped, 7joniozhpy10veujjibxmbu2, cmq9t6wadet4rrj3cvkjst7ca, 79a7csp3rppvt5e5q02zmolhx, ap3mja91coq7mbr6xkqvbss7p, 4qris4sdzvtlkw5i3cmhhowrt, 6hkzb4vehsx4wwm9y98euwacq, 1g9uh6aokaevbg7s6v2jh8h78, 8ulmmc45jlajkkd0v8qev4w2y, 3mudv2ein3iuv9smhmkk9vod0, 3fu2g2b7g9e5dvtj7a5qxq238",3910239719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3910239723,197,4206,3910239713,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484557991,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-11-12T14:15:13.842Z,2022-11-12T15:31:05Z,3910239971,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3910239983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910239975,130,12,3910239977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3910239969,30,"c3nbdw1440h1uwwmixrjxwclx, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5r55bc61sgthojep749axb6y1, cruhiz25b3bbd4unocpu9bvf9, 1iy0goeaf5btyw09tr2ywbe8l, 32crcj18u4qnf8f07fbsopvpx, ddjh4t18kk75bz9sgga2g2f3d, canpue729cozt0cw6a1dpi7ai, a97lovkim5o3xqd92bc80l5ux, 4nph9aqyr2kz1gmdh7v9n3w89, 23gglwejp456bifnwkk9xi0a, 32i91t52xsfoqv6mxvejbp2zu, d25ilw75uqbnk15v383e1kxrd, i1bzoqwi1u382l4yx3n864x6, 878xi84rsiw5uj1doiy894lwp",3910239981,197,16932,3910239973,59,"40, 2, 7, 5, 6, 3, 30, 8, 44, 31, 48, 1, 10, 14, 23, 24, 26, 27",3910239979,194,49ca952ot1c3ytut2s281ds6h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602127,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-11-12T15:04:04.539Z,2022-11-12T15:04:04Z,3910465065,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602163,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-11-12T15:04:04.539Z,2022-11-14T22:07:01Z,3910465211,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602301,3,1,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,50.1,50,2022-11-12T15:04:04.650Z,2022-11-15T01:05:00Z,3910465839,140,37.2,3910465847,279,S,3910465841,141,50.0,3910465845,213,3.1,3917237227,178,,3910465843,212,13.5,3910465837,56,Back,,,,1iy0goeaf5btyw09tr2ywbe8l,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602431,4,1,1,0,2,9db4t34qy4owglhvvgwf5l22i,0,37.5,48.1,2022-11-12T15:04:07.021Z,2022-11-15T01:05:06Z,3910466509,1,,3910466489,56,Right,3917237235,178,,3916839407,155,,3910466505,213,5.6,3910466501,212,43.4,3910466497,141,9.1,3910466491,140,70.2,canpue729cozt0cw6a1dpi7ai,L. Connell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602385,3,44,1,0,5,82kapkjwonlv9j1ui0ytv5sii,1,34.7,91.2,2022-11-12T15:04:09.543Z,2022-11-15T07:00:37Z,3910466279,285,,3910466277,56,Back,3910466701,233,5,,,,,,,,,,,,,,,,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602449,5,44,1,0,5,9db4t34qy4owglhvvgwf5l22i,0,65.3,8.8,2022-11-12T15:04:09.544Z,2022-11-15T01:05:11Z,3910466815,233,3,3910466589,56,Right,3910466591,286,,,,,,,,,,,,,,,,,ddjh4t18kk75bz9sgga2g2f3d,S. Tedić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602413,4,1,1,0,5,82kapkjwonlv9j1ui0ytv5sii,0,27.3,91.1,2022-11-12T15:04:09.594Z,2022-11-15T07:00:38Z,3910466405,213,5.9,3910466401,141,89.6,3910466395,56,Back,3910466391,3,,3910466403,212,2.8,3917237255,388,,3910466399,140,29.8,,,,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602497,6,61,1,0,5,9db4t34qy4owglhvvgwf5l22i,1,70.2,9.1,2022-11-12T15:04:09.636Z,2022-11-15T01:05:27Z,3917237269,388,,3910466851,56,Right,3917237267,15,,,,,,,,,,,,,,,,,ddjh4t18kk75bz9sgga2g2f3d,S. Tedić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602591,7,1,1,0,6,9db4t34qy4owglhvvgwf5l22i,1,61.1,11.2,2022-11-12T15:04:11.187Z,2022-11-15T01:05:44Z,3917237285,178,,3910467261,56,Center,3910467265,141,24.8,3910467267,212,11.6,3910467269,213,0.9,3910467263,140,67.7,,,,,,,cruhiz25b3bbd4unocpu9bvf9,A. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602627,8,1,1,0,7,9db4t34qy4owglhvvgwf5l22i,0,67.8,22.7,2022-11-12T15:04:12.396Z,2022-11-15T01:05:48Z,3910467421,56,Right,3910467425,141,8.3,3910467427,212,13.0,3910467417,155,,3910467423,140,76.0,3917237293,178,,3910467429,213,5.4,,,,1iy0goeaf5btyw09tr2ywbe8l,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602657,5,1,1,0,9,82kapkjwonlv9j1ui0ytv5sii,0,25,88.6,2022-11-12T15:04:14.120Z,2022-11-15T01:05:54Z,3910467565,3,,3910467579,213,0.2,3910467575,141,91.7,3910467571,140,35.3,3910467577,212,11.0,3917237313,178,,3910467569,56,Back,,,,dbe9gwg6ggyqh9fvdruelz8wl,T. Flanagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602721,9,44,1,0,11,9db4t34qy4owglhvvgwf5l22i,1,65,10.4,2022-11-12T15:04:16.170Z,2022-11-15T07:00:38Z,3910467885,56,Right,3910467887,286,,3910467961,233,6,,,,,,,,,,,,,,,,cruhiz25b3bbd4unocpu9bvf9,A. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484602687,6,44,1,0,11,82kapkjwonlv9j1ui0ytv5sii,0,35,89.6,2022-11-12T15:04:16.171Z,2022-11-15T01:05:57Z,3910467725,56,Back,3910467727,285,,3910468035,233,9,,,,,,,,,,,,,,,,7joniozhpy10veujjibxmbu2,T. Bayliss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
