id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2475363169,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2022-10-22T13:15:01.709Z,2022-10-24T14:00:52Z,3861867635,30,"1etperk4v88ohoddjdb5dj2l1, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 2uyrcl2hf5xunxm8zm98kh1at, 6xjftfuwhkbs39xfc3phdbyl1, 5n4s7vdp0dx0ndkph7oyg7v1l, a1muz32ocg2650ll5kjc02u39, aclrl318d420oqe1fjgl1m3xm, ef2y32lrxfsagikwuhjrovy3u, 1yzyn48jb8yd8bc0xywrhg0r9, 4y3hm9ljv62c5jswanl0gk5, 41lv87i23sxmdyrs4xxh96m3u, a2gluxzt6a3z5xwgu2q482rqh, 5yfb390wjjfdjhdf0jzaf1kgl, bybpo6v76mntngcl9xwpil7u1, 2k3y4x681f46nqbqxxb2kfl5h, 4m9vn1q30f1c8ksiyxtei63ft, 8nzkkwhmox9lgbmwomq1rruju",3861868203,197,4681,3861867643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861867637,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3861867649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861867641,130,12,3861867647,194,a1muz32ocg2650ll5kjc02u39,3861867639,59,"25, 7, 11, 5, 6, 15, 10, 8, 21, 19, 23, 1, 2, 3, 17, 20, 26, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475366629,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2022-10-22T13:19:08.223Z,2022-10-24T14:00:07Z,3861886991,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3861886997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861886999,194,6fd57izyk7hteztf9lnd1a6l1,3861886989,30,"886i2kpcsn38tt7wqios1ip5, bkpr0uwpx5kbu2ms41uxoljah, 2oqi7v6d676hbe9i9agdl9ckp, 9c3iyi7y3hdraso115kxmd87p, 6fd57izyk7hteztf9lnd1a6l1, 61aryp2zoj2ymcd318t9i70lx, e3ff2af2lxs0rl8c4r5ns4wd1, 9mshr96m8q37ng7w30rvhkl3p, 5kyyaapya2gv5awlfgckmwpux, 7b7ca1dklnp7reqcs5s4aauei, b3cehdu46pljqap9xw1j7pcyx, aral6zvx8qxkfqkqwb7ldfk5x, 7xt0zamdkelc77pnx0hwgmeei, 9i7xyx5fmckuay7m5lat0xvmy, 4lws9jepuxzs33zbt3w1ff9ih, 4jdmkdjk3nyontplaz0evug9h, 68emhvrwqi5m0q155ww2bzn1m, 2u4m2ja4yhgtqjgwns2om5y7e",3861886993,59,"25, 15, 7, 6, 5, 2, 4, 8, 10, 14, 26, 9, 13, 16, 18, 20, 22, 27",3861887003,197,4631,3861886995,130,17,3861887007,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405559,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2022-10-22T14:00:27.651Z,2022-10-24T22:37:19Z,3862083569,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405547,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2022-10-22T14:00:27.651Z,2022-10-22T14:00:27Z,3862083519,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405639,3,1,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,50,50,2022-10-22T14:00:27.661Z,2022-10-25T06:27:25Z,3862083915,140,36.1,3862083913,56,Back,3862083921,213,3.5,3862083917,141,42.1,3870988865,178,,3862083923,279,S,3862083919,212,15.6,,,,1yzyn48jb8yd8bc0xywrhg0r9,G. Massey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405687,4,1,1,0,2,ejm092fnt9zoxbpuklzd52ji8,1,35.9,43.4,2022-10-22T14:00:29.741Z,2022-10-25T06:27:32Z,3862084173,212,55.0,3870989003,178,,3862084177,1,,3862084171,141,92.0,3862084169,140,77.8,3862084167,56,Left,3862084175,213,0.6,3869729867,155,,a1muz32ocg2650ll5kjc02u39,T. Conlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405697,5,44,1,0,5,ejm092fnt9zoxbpuklzd52ji8,1,74.8,88.6,2022-10-22T14:00:32.792Z,2022-10-25T12:58:20Z,3862084223,233,3,3862084189,56,Left,3862084191,286,,,,,,,,,,,,,,,,,aclrl318d420oqe1fjgl1m3xm,B. Garrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405675,3,44,1,0,5,dmz37633qbsvl7gncq5s51yjw,0,25.2,11.4,2022-10-22T14:00:32.793Z,2022-10-25T06:27:35Z,3862084111,56,Back,3862084113,285,,3862084239,233,5,,,,,,,,,,,,,,,,61aryp2zoj2ymcd318t9i70lx,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405721,6,1,1,0,5,ejm092fnt9zoxbpuklzd52ji8,0,77.8,92,2022-10-22T14:00:32.880Z,2022-10-25T12:58:20Z,3862084255,140,83.0,3862084247,3,,3862084261,213,5.9,3870989083,388,,3862084259,212,5.9,3862084257,141,88.9,3862084251,168,,3862084253,56,Left,aclrl318d420oqe1fjgl1m3xm,B. Garrity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476854527,768,61,1,0,5,dmz37633qbsvl7gncq5s51yjw,1,20.7,8.9,2022-10-22T14:00:32.906Z,2022-10-25T06:27:45Z,3869730897,56,Back,3870989193,15,,3870989195,388,,,,,,,,,,,,,,,,,61aryp2zoj2ymcd318t9i70lx,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
