id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2515035973,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-03-04T14:13:47.333Z,2023-03-04T14:13:47Z,4070842345,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070842341,194,dgzuswl2pnk7t03ts7nguholx,4070842339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070842333,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4070842337,130,8,4070842343,197,4778,4070842331,30,"4905drgcc9husos98ppdup4gl, b7yfyzrvj7yjo48pu8faqnvft, a9352zsh3xr7rcxs0jmho7o8a, 6o9v88iiwvbulajrwpd7uvkr9, 91f9qkusefgcrv2ri2h1nci96, 1244ja0ma2r0071i7d45t6yfp, 6v9kb953ugi8odu4tdly7v3yt, dgzuswl2pnk7t03ts7nguholx, 1feu2co3n49llnckcxffuo79x, 28izur14k14lcgegg8qede7yt, 7fpcipp26a9fqes841ad7lh3p, ab2bx5qzhdzlduh46iacngbf9, 6b7fxcw7upr57pku6gf6dteqd, 1uyg5c61jzqickqaegb07yk15, b7lmlxy1s3atzgtud5ofsc92h, d3si5voqkdc8did5gkp67tg5w, coupcn8k43jf15nqge220qo5x, 6bejhzrjgg7dz6cp6s45rah91",4070842335,59,"1, 34, 3, 25, 6, 15, 7, 5, 9, 10, 33, 11, 19, 27, 29, 30, 31, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515037065,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-03-04T14:15:22.504Z,2023-03-04T15:01:29Z,4070848693,130,17,4070848699,197,4823,4070848689,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4070848691,59,"34, 2, 37, 12, 5, 16, 4, 7, 8, 11, 17, 1, 6, 10, 14, 21, 39, 44",4070848701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070848687,30,"biwjsmk8ytz2k4d9f141jw15h, 8nudzikxeestbjz4yww8r13v9, a6sikfu3j1pp7mlfcdte2inoq, 18loyx03olyhtkt6scybwr8q1, 2di9tk08yuqcb4wn9dvmwh97t, 102xw59l2wg2jsd03w6vkgine, 5n4yyffs5f8b7exry819c4xxx, 8wnv741y7ghjolf8g5c7psru1, 4eg87cdkpgishec2gc9stm8oa, 5djouum2kdazpcjf79gbk2ju1, h4g0ji8lk43f7zcpl79henai, 3yamg9wboimwxyklpekdxgxxx, 2kecmwyt730pi8z3pnsqs1l1x, 1uqgky0sxqjs8bqd2h75rnmjt, 8fx84vh2k1x9c0dn66tivtzop, enwfqkgv2m6hfwwjmbvfx9m1h, 39gerw0vkyeriats1e0rgdn56, dkzos23k1n5ufrdg886p2dxt6",4070848697,194,8nudzikxeestbjz4yww8r13v9,4070848695,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071597,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-03-04T15:01:37.839Z,2023-03-07T01:37:36Z,4071019445,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071619,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-03-04T15:01:37.839Z,2023-03-04T15:01:42Z,4071019547,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071781,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,50.5,50.1,2023-03-04T15:01:38.002Z,2023-03-07T08:51:05Z,4071020303,56,Back,4071020319,213,3.4,4079907553,178,,4071020315,212,22.2,4071020311,141,41.2,4071020321,279,S,4071020307,140,30.2,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071835,4,1,1,0,3,8b523ujgl21tbc01me65q0aoh,0,33.9,30.1,2023-03-04T15:01:41.091Z,2023-03-07T08:51:14Z,4071020549,1,,4071020537,155,,4071020543,141,65.1,4071020545,212,56.5,4071020547,213,0.4,4071020539,56,Center,4071020541,140,82.7,4079907721,178,,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071871,3,43,1,0,3,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-03-04T15:01:41.665Z,2023-03-04T15:01:49Z,4071020713,56,Back,4071020717,285,0,4071021303,144,7,,,,,,,,,,,,,,,,8nudzikxeestbjz4yww8r13v9,J. Brayford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071891,4,12,1,0,6,8mbtyq0has0uu0565fm9t5cdo,1,15.7,37.4,2023-03-04T15:01:44.406Z,2023-03-07T08:51:21Z,4071020819,141,43.9,4071020809,56,Back,4071020813,140,27.3,4079907845,178,,4071020825,213,0.3,4071020919,15,,4071020821,212,13.0,,,,2di9tk08yuqcb4wn9dvmwh97t,S. Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071933,5,61,1,0,7,8b523ujgl21tbc01me65q0aoh,1,56.3,19.2,2023-03-04T15:01:45.529Z,2023-03-07T08:51:37Z,4071020989,56,Right,4079908191,178,,,,,,,,,,,,,,,,,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515072097,6,1,1,0,12,8b523ujgl21tbc01me65q0aoh,0,64.3,22.5,2023-03-04T15:01:50.497Z,2023-03-07T08:51:42Z,4071021739,56,Center,4071021741,140,70.8,4079908259,178,,4071021751,212,7.6,4071021757,213,0.4,4071021743,141,27.3,,,,,,,6v9kb953ugi8odu4tdly7v3yt,W. Burns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
