id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/8/value,assist
2547802283,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-05-13T13:15:27.914Z,2023-05-13T13:22:07Z,4272744127,194,aqu903olqgqkljzwr658cogd1,4272744123,130,18,4272744125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4272744121,59,"19, 21, 27, 6, 5, 18, 8, 16, 22, 24, 10, 3, 4, 11, 20, 25, 29, 35",4272744119,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4272744131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272744129,197,16113,4272744117,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, 7edc89hg3r6ueacgnkde7fzvu, do0vklx8voqfr05b3j04ilex, aqu903olqgqkljzwr658cogd1, 74vpeqcguo2sb2qgpt3b6zq3t, 7iruezvsore21eboc96g7oqtx, 6q06inb8ukzfsrxy0arxl78q1, dndv2nbwzzvgrlgf6gmeqtryt, az767vfe6ig8vwir9uu2eu3th, b1yok7nf3a2fu9voe0oy7o6ad, 64tpd90skhh1yj8yztefhahn9, 9bpm5m1tsplxq77m3cbpfm4t1, cqcwoymcrgf7wdi6091zplecp, 8zcwhxcdh09wxdn29kzpox591, 7ybjr8x5s8j4zj17p544h6rmy, d866x81xlp0h24rtpg9jbczbp, dd5h02pcz142eha2peyc0j2s5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547802311,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-05-13T13:15:31.044Z,2023-05-13T13:15:31Z,4272744269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4272744275,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4272744271,194,49ca952ot1c3ytut2s281ds6h,4272744273,197,16169,4272744267,130,12,4272744263,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4272744261,30,"eirc5i9gcpe0ap6gntxoomcix, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5raent8a0bdt01n7769n3dw16, cruhiz25b3bbd4unocpu9bvf9, 1iy0goeaf5btyw09tr2ywbe8l, 32crcj18u4qnf8f07fbsopvpx, ddjh4t18kk75bz9sgga2g2f3d, canpue729cozt0cw6a1dpi7ai, 9gfxdw176mc8yn7dowedmvtgp, 1r9aj50371x6f0xf7mmvldz9x, 4nph9aqyr2kz1gmdh7v9n3w89, 7fwprbpdcdb7qcgaoe2humwo9, i1bzoqwi1u382l4yx3n864x6, c3nbdw1440h1uwwmixrjxwclx, acvgu9prqaeucmvi9fx070i22",4272744265,59,"1, 2, 7, 5, 6, 12, 30, 8, 44, 31, 48, 3, 9, 10, 16, 26, 40, 47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547847123,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-05-13T14:01:32.028Z,2023-05-13T14:01:34Z,4272969747,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547847115,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-05-13T14:01:32.028Z,2023-05-13T14:01:32Z,4272969717,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547847143,3,1,1,0,0,69t8imcdaqlgfbds2p58596my,1,50.1,50.9,2023-05-13T14:01:32.128Z,2023-05-13T14:52:10Z,4272969857,279,S,4272969843,140,34.2,4272969847,141,53.4,4272969851,212,16.8,4272969855,213,3.0,4272969839,56,Back,,,,,,,6q06inb8ukzfsrxy0arxl78q1,A. Morley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547847193,4,1,1,0,2,69t8imcdaqlgfbds2p58596my,1,40.9,42.7,2023-05-13T14:01:34.975Z,2023-05-13T14:52:12Z,4272970131,213,4.5,4272970129,212,20.0,4272970123,56,Back,4272970127,141,14.0,4272970125,140,36.6,,,,,,,,,,7iruezvsore21eboc96g7oqtx,J. Sheehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547847213,5,1,1,0,5,69t8imcdaqlgfbds2p58596my,1,35.8,14.3,2023-05-13T14:01:37.135Z,2023-05-13T14:01:38Z,4272970239,56,Back,4272970245,212,16.9,4272970241,140,23.9,4272970243,141,31.0,4272970247,213,2.4,,,,,,,,,,74vpeqcguo2sb2qgpt3b6zq3t,E. Toal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547847317,6,1,1,0,6,69t8imcdaqlgfbds2p58596my,1,23.2,31.8,2023-05-13T14:01:38.800Z,2023-05-13T14:01:43Z,4272970691,56,Back,4272970695,141,14.0,4272970693,140,26.0,4272970697,212,12.5,4272970699,213,5.0,,,,,,,,,,aqu903olqgqkljzwr658cogd1,Ricardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547847561,7,1,1,0,11,69t8imcdaqlgfbds2p58596my,1,30.8,5.3,2023-05-13T14:01:43.567Z,2023-05-13T14:01:55Z,4272971913,212,52.5,4272971917,1,,4272971911,141,5.2,4272971909,140,80.8,4272971915,213,6.3,4272971905,155,,4272971907,56,Right,,,,74vpeqcguo2sb2qgpt3b6zq3t,E. Toal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547847565,8,4,1,0,19,69t8imcdaqlgfbds2p58596my,1,85.8,6.8,2023-05-13T14:01:51.678Z,2023-05-13T14:01:56Z,4272971933,13,,4272971937,56,Right,4272971941,286,,4272971955,233,3,4272971935,295,,4272971939,152,,,,,,,,5tbz2hexz7vind39ot6govqzu,C. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547847509,3,4,1,0,19,9db4t34qy4owglhvvgwf5l22i,0,14.2,93.2,2023-05-13T14:01:51.679Z,2023-05-13T14:02:40Z,4272971665,13,,4272971667,295,,4272971673,285,,4272971987,233,8,4272971669,56,Back,4272971671,152,,,,,,,,3k9tjd5wgpufcbq4od8jpo89h,N. Cadden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547848215,9,1,1,0,54,69t8imcdaqlgfbds2p58596my,1,91.3,4,2023-05-13T14:02:26.902Z,2023-05-13T14:54:50Z,4272975223,213,1.5,4272975207,2,,4272975219,141,47.2,4272975221,212,29.5,4272975215,56,Center,4272975209,5,,4272975211,155,,4272977553,210,15,6q06inb8ukzfsrxy0arxl78q1,A. Morley,1,4272977555,154,4272975213,152,4272975217,140,93.6,,,,,,,,,,,,,,,,,,,,,,,
2547848219,10,15,1,0,57,69t8imcdaqlgfbds2p58596my,1,93.6,47.2,2023-05-13T14:02:29.134Z,2023-05-13T14:54:50Z,4272975251,17,,4272977593,231,49.5,4273345969,100,,4272977577,103,19,4272977575,102,54.1,4272977589,147,50.4,4273345959,76,,4272977569,154,,do0vklx8voqfr05b3j04ilex,G. Johnston,,4272977579,328,4273345967,139,4273345971,82,,4272977587,146,96.5,4272977567,29,4272975253,56,Center,4272976365,20,4272977571,55,9,4272977591,230,99.0,4272976363,24,,,,,
