id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/18/value,qualifier/16/value,qualifier/17/value
2513730819,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-02-28T19:00:03.579Z,2023-03-02T15:43:16Z,4063969025,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4063969033,194,egr5n9jynbg3llc2tn2g5ncnp,4063969027,59,"31, 28, 2, 6, 24, 34, 19, 21, 8, 17, 4, 1, 10, 15, 23, 26, 32, 33",4063969029,130,12,4063969037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4063969031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4063969035,197,4825,4063969023,30,"4s0yf91l8xqodeuv473hmp5ka, 9z75i0zrgtuumyixz8dl9ysbt, 56g3fffeygobuei72gnkm9a09, 8xxeuttt1yy26qf8w73bqua51, 2r6gxw9yjxvaplv70ftq7wout, am14op2bc5krnoxpj6w9n5sk, evb6gpvuutmnisv9d12gs0xcl, 6a08s0d0sgt7iw37spmo4bro5, cvxq0jdcg97tafit6s7s447v9, ald5oocxwh4pip8fw6v3ym8h6, egr5n9jynbg3llc2tn2g5ncnp, 46q465awyk7ndr9faq83vmuw9, effzy3ttltffcz92a3ro4woa, 1f8911tjafl7cun4lxydhpp7t, 4qrvri86m93wpyugq0zq4aaqx, egfrwjjbl6fom2rwi5jpzzfmx, 91alifyhplzo2de1tooerpgfe, ebsl5dh99nsoun0lksywr31n8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513731043,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-02-28T19:01:02.536Z,2023-02-28T19:01:02Z,4063970289,30,"4s848k6xkf7jqp11jkoit2a51, 93hm64q02lz37wj7xzbkv1m1h, 9ofz3mgz4077lbkuba1l3kru1, 4y9ghbncgfgpv4qd604g8jw15, azp9bk80ozwjy2xx7tvqot5gp, em0i6q0h6q80melaxwx2nvz3e, kxfjnow9ky2mxefjujv392ol, ewtroels9b5fc9hv9c2laj90q, dxndu5lwom3srja7xhiadmdw5, 6ictgtdi9ogl7n8dqh4dm1fxl, 37ea7qzvbzt3zr4y2q4o5boq, 6cfr9qa1khqzv5oxsi8d3ug9h, czsjz7u9u01z5a4pyue7tu5wq, 3e79d5436l57bfj3ywbjvfr6y, boc9kr63xs5j2lx89tl1vjxsl, 1zpxu396rz1b3gymuheg69h3p, 45i2fz3wya2x8gsa1hn8yd65m, dzboc2cmovo7k3g70y5socpn9",4063970297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4063970291,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4063970301,197,16178,4063970295,130,8,4063970293,59,"1, 12, 15, 8, 5, 4, 23, 22, 9, 10, 11, 6, 16, 17, 18, 24, 28, 39",4063970303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4063970299,194,dxndu5lwom3srja7xhiadmdw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740275,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-02-28T19:46:03.222Z,2023-03-02T23:58:17Z,4064022223,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740279,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-02-28T19:46:03.222Z,2023-02-28T19:46:06Z,4064022241,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740321,3,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,49.6,49.9,2023-02-28T19:46:03.226Z,2023-03-03T02:54:16Z,4064022413,140,34.3,4064022419,213,2.6,4064022417,212,19.0,4067559749,178,,4064022421,279,S,4064022415,141,64.9,4064022411,56,Back,,,,4y9ghbncgfgpv4qd604g8jw15,J. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740339,4,1,1,0,5,5jjqm8h6qm1w4s5f93uubhdrj,1,41.7,79.1,2023-02-28T19:46:09.112Z,2023-03-03T02:54:22Z,4064022509,140,36.2,4064022513,212,10.8,4067559765,178,,4064022507,56,Back,4064022511,141,65.7,4064022515,213,4.1,,,,,,,9ofz3mgz4077lbkuba1l3kru1,N. Ogbeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740371,5,1,1,0,7,5jjqm8h6qm1w4s5f93uubhdrj,1,34.7,59,2023-02-28T19:46:10.873Z,2023-03-03T02:54:25Z,4064022671,56,Back,4064022675,141,50.4,4064022677,212,23.4,4064022679,213,3.4,4067559775,178,,4064022673,140,13.1,,,,,,,em0i6q0h6q80melaxwx2nvz3e,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740415,6,1,1,0,9,5jjqm8h6qm1w4s5f93uubhdrj,1,11.9,50.4,2023-02-28T19:46:13.177Z,2023-03-03T02:54:29Z,4064022911,141,28.3,4064022907,56,Back,4064022915,213,5.3,4064022913,212,17.6,4064022909,140,20.6,4067559781,178,,,,,,,,4s848k6xkf7jqp11jkoit2a51,W. Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740439,7,1,1,0,12,5jjqm8h6qm1w4s5f93uubhdrj,1,24.4,22.1,2023-02-28T19:46:15.832Z,2023-03-03T02:54:32Z,4064023063,212,10.8,4064023057,56,Back,4064023059,140,31.3,4064023061,141,10.4,4064023065,213,5.5,4067559785,178,,,,,,,,azp9bk80ozwjy2xx7tvqot5gp,J. Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740447,8,1,1,0,15,5jjqm8h6qm1w4s5f93uubhdrj,0,31.9,4.7,2023-02-28T19:46:18.233Z,2023-03-03T02:54:49Z,4067559807,178,,4064023173,233,3,4064023085,56,Back,4064023093,213,6.0,4064023169,236,,4064023087,140,37.1,4064023183,286,,4064023089,141,2.6,93hm64q02lz37wj7xzbkv1m1h,N. Thompson,4064023091,212,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
