id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/16/value
2533628577,5,49,1,0,11,ahm0t06rup1bkd9z0mxl2lmph,1,27.5,78.7,2023-04-15T14:01:27.590Z,2023-04-18T05:29:08Z,,,,,,,,,,,,,,,,,,,,,,,,,987r1vdgx95x30elzrisjrzs9,C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628685,6,1,1,0,11,ahm0t06rup1bkd9z0mxl2lmph,0,27.5,78.7,2023-04-15T14:01:27.625Z,2023-04-18T05:29:40Z,4190271517,141,100.0,4190271519,212,52.1,4190271515,140,75.1,4190271513,56,Left,4190271521,213,0.3,4190271523,1,,4199498129,178,,4190271511,157,,987r1vdgx95x30elzrisjrzs9,C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628525,4,43,1,0,12,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-04-15T14:01:28.438Z,2023-04-15T14:01:44Z,4190270793,56,Back,4190273065,144,61,,,,,,,,,,,,,,,,,,,50flg4aoq4l0glnh61yzngc7p,M. McGuane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533628691,7,5,1,0,16,ahm0t06rup1bkd9z0mxl2lmph,0,77.4,101,2023-04-15T14:01:32.647Z,2023-04-18T05:29:48Z,4190271557,56,Left,4190273445,233,7,4190271559,347,,,,,,,,,,,,,,,,,987r1vdgx95x30elzrisjrzs9,C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629077,7,5,1,0,16,69t8imcdaqlgfbds2p58596my,1,22.6,-1,2023-04-15T14:01:32.647Z,2023-04-18T05:29:47Z,4190273381,233,7,4190273343,347,,4190273341,56,Back,,,,,,,,,,,,,,,,do0vklx8voqfr05b3j04ilex,G. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629131,8,1,1,0,30,69t8imcdaqlgfbds2p58596my,1,23.6,0,2023-04-15T14:01:46.793Z,2023-04-18T05:29:54Z,4190273571,212,20.5,4190273573,213,1.0,4190273565,56,Back,4190273563,107,,4190273569,141,23.9,4190273567,140,34.8,,,,,,,5tbz2hexz7vind39ot6govqzu,C. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629183,9,1,1,0,31,69t8imcdaqlgfbds2p58596my,1,34.9,23.3,2023-04-15T14:01:47.683Z,2023-04-18T05:30:01Z,4199498353,178,,4190273777,141,18.2,4190273775,140,20.1,4190273779,212,15.9,4190273771,56,Back,4190273781,213,3.4,,,,,,,6q06inb8ukzfsrxy0arxl78q1,A. Morley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629237,10,1,1,0,33,69t8imcdaqlgfbds2p58596my,1,20.1,18.2,2023-04-15T14:01:49.770Z,2023-04-18T05:30:06Z,4190274003,212,5.6,4190273997,56,Back,4190274007,213,3.3,4199498401,178,,4190274001,141,17.1,4190273999,140,14.8,,,,,,,5tbz2hexz7vind39ot6govqzu,C. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629343,11,1,1,0,34,69t8imcdaqlgfbds2p58596my,1,14.8,17.1,2023-04-15T14:01:50.779Z,2023-04-18T05:30:20Z,4190274507,141,8.3,4199498563,178,,4190274511,213,6.0,4190274509,212,18.4,4190274503,56,Back,4190274505,140,31.4,,,,,,,9eaozqsxv2347nryh9pkmg251,G. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629355,12,61,1,0,35,69t8imcdaqlgfbds2p58596my,0,29.1,13.6,2023-04-15T14:01:51.946Z,2023-04-18T05:30:28Z,4190274543,56,Back,4199498619,178,,,,,,,,,,,,,,,,,,,,6q06inb8ukzfsrxy0arxl78q1,A. Morley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535459107,1616,67,1,0,36,ahm0t06rup1bkd9z0mxl2lmph,1,71.9,87.5,2023-04-15T14:01:52.838Z,2023-04-18T11:53:30Z,4199968241,233,1386,,,,,,,,,,,,,,,,,,,,,,8g19rw3eni5p8jt5v1j9skwdl,M. Browne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
