id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2518278031,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-03-11T14:15:18.039Z,2023-03-11T14:15:18Z,4088025351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4088025343,30,"4905drgcc9husos98ppdup4gl, b7yfyzrvj7yjo48pu8faqnvft, a9352zsh3xr7rcxs0jmho7o8a, 6o9v88iiwvbulajrwpd7uvkr9, 91f9qkusefgcrv2ri2h1nci96, 1244ja0ma2r0071i7d45t6yfp, 6v9kb953ugi8odu4tdly7v3yt, dgzuswl2pnk7t03ts7nguholx, 1uyg5c61jzqickqaegb07yk15, 28izur14k14lcgegg8qede7yt, 7fpcipp26a9fqes841ad7lh3p, 1feu2co3n49llnckcxffuo79x, ab2bx5qzhdzlduh46iacngbf9, 932abz8zmqv4ilfnmq7m2ew9h, 6b7fxcw7upr57pku6gf6dteqd, b7lmlxy1s3atzgtud5ofsc92h, coupcn8k43jf15nqge220qo5x, 6bejhzrjgg7dz6cp6s45rah91",4088025347,59,"1, 34, 3, 25, 6, 15, 7, 5, 27, 10, 33, 9, 11, 12, 19, 29, 31, 44",4088025355,197,4779,4088025345,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4088025357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088025349,130,8,4088025353,194,dgzuswl2pnk7t03ts7nguholx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518278051,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-03-11T14:15:19.241Z,2023-03-11T15:00:57Z,4088025483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088025471,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4088025477,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4088025473,59,"19, 21, 2, 28, 5, 18, 16, 22, 17, 29, 10, 8, 11, 20, 24, 25, 27, 35",4088025481,197,16113,4088025475,130,18,4088025479,194,aqu903olqgqkljzwr658cogd1,4088025469,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, 9eaozqsxv2347nryh9pkmg251, 96hgdxqla3prs8zusk58lmdey, aqu903olqgqkljzwr658cogd1, 74vpeqcguo2sb2qgpt3b6zq3t, 6q06inb8ukzfsrxy0arxl78q1, dndv2nbwzzvgrlgf6gmeqtryt, awsbedog2zaz7zpjucbcba82y, d866x81xlp0h24rtpg9jbczbp, b1yok7nf3a2fu9voe0oy7o6ad, 7iruezvsore21eboc96g7oqtx, cqcwoymcrgf7wdi6091zplecp, 8zcwhxcdh09wxdn29kzpox591, az767vfe6ig8vwir9uu2eu3th, 7ybjr8x5s8j4zj17p544h6rmy, 7edc89hg3r6ueacgnkde7fzvu, dd5h02pcz142eha2peyc0j2s5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322367,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-03-11T15:01:15.519Z,2023-03-14T10:39:23Z,4088253721,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322383,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-03-11T15:01:15.519Z,2023-03-11T15:01:19Z,4088253769,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322407,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,50,49.5,2023-03-11T15:01:15.560Z,2023-03-14T12:37:45Z,4088253883,279,S,4088253865,56,Back,4088253869,140,34.2,4097769709,178,,4088253873,141,49.3,4088253881,213,3.1,4088253877,212,16.6,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322497,4,43,1,0,2,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-03-11T15:01:18.040Z,2023-03-11T15:01:35Z,4088256737,144,7,4088254293,56,Back,4088254295,285,0,,,,,,,,,,,,,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322563,5,1,1,0,3,8b523ujgl21tbc01me65q0aoh,1,31.4,50.3,2023-03-11T15:01:18.530Z,2023-03-14T12:37:57Z,4088254609,1,,4088254605,212,55.9,4088254603,141,91.7,4088254607,213,0.5,4088254599,56,Left,4097769897,178,,4088254597,155,,4088254601,140,77.4,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322573,6,44,1,0,5,8b523ujgl21tbc01me65q0aoh,1,73,90.8,2023-03-11T15:01:21.416Z,2023-03-14T14:23:55Z,4088254691,233,3,4088254667,56,Left,4088254669,286,,,,,,,,,,,,,,,,,1uyg5c61jzqickqaegb07yk15,G. Hirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322557,3,44,1,0,5,69t8imcdaqlgfbds2p58596my,0,27,9.2,2023-03-11T15:01:21.417Z,2023-03-14T12:38:03Z,4088254715,233,6,4088254577,285,,4088254575,56,Back,,,,,,,,,,,,,,,,74vpeqcguo2sb2qgpt3b6zq3t,E. Toal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322631,7,1,1,0,5,8b523ujgl21tbc01me65q0aoh,1,77.4,91.7,2023-03-11T15:01:21.487Z,2023-03-14T14:23:55Z,4088254951,140,81.9,4088254947,3,,4088254955,212,9.3,4097769987,388,,4088254957,213,5.2,4088254949,56,Left,4088254953,141,80.0,,,,1uyg5c61jzqickqaegb07yk15,G. Hirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
