id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/13/value,qualifier/17/value,qualifier/16/value
2475363299,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2022-10-22T13:15:06.090Z,2022-10-24T17:40:01Z,3861868351,194,af0te77bq4mgr7rkkqateiswl,3861868333,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3861868369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861868361,197,4868,3861868335,59,"1, 21, 4, 6, 16, 5, 8, 20, 23, 9, 15, 2, 11, 12, 17, 18, 22, 25",3861868331,30,"af0te77bq4mgr7rkkqateiswl, b1or5u4dfuf4pvg7cgqnp3nxl, dhty303ilcb4cocqv68324xk9, a69q0jj7tjwzxpo6b4i1ed3h1, cqbxzfg7eb97z1rx01kms6ay1, 3nxrsmys3v8ci6xeqsx8yaac5, 5zmy857tqaz6h9g3hqyank82d, a06js9xdgcoqq2mjjp9bbozu2, 3hjfotlalegyuxqoidz99f1ii, 3ft5brlvxvw8otiyjppxkk6ad, 8f5io2957l6ye5u7bsan0ecfe, dqgptypyedqzff38kn24en3s9, 3ujxqdy1k9w7hf33scf16hm8l, 6s5n6ri7p16dbqb35b2dpl0wl, 2ykne43vtv8c00rvviyr3rre2, 8v0ifynfo9uvthpjczth6iwvd, 5h89f4rz70l545xkozdp99ck5, apgbqplqtvuc1dmdxi5gqhd04",3861868339,130,12,3861868345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475363335,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-10-22T13:15:08.816Z,2022-10-22T14:25:15Z,3861868573,130,13,3861868581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861868575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861868571,59,"40, 3, 7, 5, 6, 24, 10, 48, 44, 30, 14, 1, 8, 15, 26, 27, 29, 31",3861868569,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3861868579,197,16170,3861868577,194,49ca952ot1c3ytut2s281ds6h,3861868567,30,"c3nbdw1440h1uwwmixrjxwclx, 5r55bc61sgthojep749axb6y1, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, d25ilw75uqbnk15v383e1kxrd, 4nph9aqyr2kz1gmdh7v9n3w89, canpue729cozt0cw6a1dpi7ai, 32crcj18u4qnf8f07fbsopvpx, cruhiz25b3bbd4unocpu9bvf9, 23gglwejp456bifnwkk9xi0a, a97lovkim5o3xqd92bc80l5ux, 1iy0goeaf5btyw09tr2ywbe8l, 18loyx03olyhtkt6scybwr8q1, i1bzoqwi1u382l4yx3n864x6, 878xi84rsiw5uj1doiy894lwp, 2evuc5me085gt0aeky191cduc, ddjh4t18kk75bz9sgga2g2f3d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405471,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-10-22T14:00:23.238Z,2022-10-22T14:00:23Z,3862083213,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405479,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2022-10-22T14:00:23.238Z,2022-10-25T00:40:32Z,3862083263,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405593,3,1,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,50.1,50,2022-10-22T14:00:23.248Z,2022-10-25T05:27:39Z,3870936063,178,,3862083747,56,Back,3862083757,279,S,3862083755,213,2.9,3862083753,212,24.6,3862083749,140,27.4,3862083751,141,58.7,,,,4nph9aqyr2kz1gmdh7v9n3w89,J. Benson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405613,4,1,1,0,2,9db4t34qy4owglhvvgwf5l22i,0,28.6,58.4,2022-10-22T14:00:26.135Z,2022-10-25T05:27:56Z,3862083805,56,Left,3862083813,213,0.6,3862083815,1,,3862083803,155,,3862083811,212,47.5,3862083809,141,96.3,3870936359,178,,3862083807,140,66.6,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405665,3,1,1,0,6,8xeuwzxnm7hdlbjjuezgfkz3w,0,28,7.4,2022-10-22T14:00:29.412Z,2022-10-25T05:28:02Z,3862084067,140,63.6,3870936425,388,,3862084071,212,37.9,3862084069,141,0.0,3862084063,3,,3862084075,1,,3862084065,56,Right,3862084073,213,6.1,b1or5u4dfuf4pvg7cgqnp3nxl,R. Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405667,4,5,1,0,9,8xeuwzxnm7hdlbjjuezgfkz3w,0,63.8,-2,2022-10-22T14:00:32.328Z,2022-10-25T05:28:13Z,3862084077,56,Right,3862084079,347,,3862085937,233,5,,,,,,,,,,,,,,,,3nxrsmys3v8ci6xeqsx8yaac5,F. Rawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406097,5,5,1,0,9,9db4t34qy4owglhvvgwf5l22i,1,36.2,102,2022-10-22T14:00:32.328Z,2022-10-25T05:28:13Z,3862085897,233,4,3862085869,56,Back,3862085871,347,,,,,,,,,,,,,,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406177,6,1,1,0,28,9db4t34qy4owglhvvgwf5l22i,1,34.3,100,2022-10-22T14:00:51.592Z,2022-10-25T05:28:17Z,3862086297,140,66.4,3862086301,212,34.2,3862086263,107,,3862086265,56,Left,3862086311,1,,3862086299,141,93.3,3862086307,213,6.1,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
