id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,assist
2501309015,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-01-28T14:15:33.345Z,2023-01-28T15:07:09Z,3998542951,130,4,3998542947,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3998542959,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998542955,194,bsrhtxhpnlxho2o4zvli5qmeh,3998542945,30,"3oyhjrd1ohnwf1x3d65997xzp, 50c2v0l2cmkh82vso5tnjv3yt, 7cznyew8xg3fxfqeexid7pxt6, 50flg4aoq4l0glnh61yzngc7p, bsrhtxhpnlxho2o4zvli5qmeh, 987r1vdgx95x30elzrisjrzs9, 8olbkp9lqy3em5s9h7a4aod4a, 3jzhwh7lq7xzcz7clm28h0mvp, 5lngv6xyqc7xanqv8ytifc3px, 33ci88veciqvd4w5y145dyooa, dq21r0ge09ug4d2crb9j6q6dx, cqfbp8me2n00cve66v797omvp, exrh01dw52b651aet2am7v015, 4nb1fwd9anqvf024zmxpkzzf8, uluqgj69z6yunsl8m505lyi, 1lu7wsceoivdbsvqanykrr07p, cz30ywnq6p6dig7x3hu6h7cnp, 3cy13tw0tdconbwzlwteg6xas",3998542957,197,16222,3998542949,59,"13, 2, 3, 18, 5, 16, 14, 8, 9, 22, 7, 4, 21, 24, 27, 30, 33, 39",3998542953,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501309153,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-01-28T14:15:43.969Z,2023-01-28T14:15:44Z,3998543889,30,"biwjsmk8ytz2k4d9f141jw15h, a6sikfu3j1pp7mlfcdte2inoq, dkzos23k1n5ufrdg886p2dxt6, 18loyx03olyhtkt6scybwr8q1, 2di9tk08yuqcb4wn9dvmwh97t, 8nudzikxeestbjz4yww8r13v9, b0hjaqg0on2lrpfcjxfyz7uqy, 5n4yyffs5f8b7exry819c4xxx, 4eg87cdkpgishec2gc9stm8oa, 5djouum2kdazpcjf79gbk2ju1, h4g0ji8lk43f7zcpl79henai, 8wnv741y7ghjolf8g5c7psru1, 7mcxkeo8701m9cs3hfy6towrt, 90ljpsmc6jf9657bs8cwkavl6, 102xw59l2wg2jsd03w6vkgine, enwfqkgv2m6hfwwjmbvfx9m1h, bbmhqdyxk4tx05jrnv9m64rje, a6w8k42asmtixpi0orgxh7aj8",3998543901,197,4823,3998543899,194,8nudzikxeestbjz4yww8r13v9,3998543895,130,17,3998543893,59,"34, 37, 44, 12, 5, 2, 23, 4, 8, 11, 17, 7, 10, 15, 16, 21, 24, 25",3998543897,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3998543903,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998543891,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350769,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-01-28T15:01:06.498Z,2023-01-28T15:01:06Z,3998755195,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350781,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-01-28T15:01:06.498Z,2023-01-30T18:46:37Z,3998755247,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350819,3,1,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,50,50.1,2023-01-28T15:01:06.508Z,2023-01-31T04:51:07Z,3998755395,140,35.9,3998755409,213,2.7,3998755405,212,16.6,3998755401,141,61.2,4005022879,178,,3998755413,279,S,3998755391,56,Back,,,,b0hjaqg0on2lrpfcjxfyz7uqy,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350927,4,1,1,0,2,8mbtyq0has0uu0565fm9t5cdo,0,31.6,63.6,2023-01-28T15:01:09.316Z,2023-01-31T04:51:16Z,3998755949,56,Right,3998755957,213,5.7,3998755953,141,14.9,3998755959,1,,3998755955,212,63.1,3998755947,157,,4005022959,178,,3998755951,140,82.7,2di9tk08yuqcb4wn9dvmwh97t,S. Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350999,3,1,1,0,5,ahm0t06rup1bkd9z0mxl2lmph,0,20.6,70.8,2023-01-28T15:01:12.417Z,2023-01-31T04:51:24Z,4005023023,388,,3998756257,141,74.1,3998756249,3,,3998756253,56,Back,3998756255,140,41.2,3998756261,213,0.1,3998756259,212,21.7,,,,987r1vdgx95x30elzrisjrzs9,C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351051,5,1,1,0,8,8mbtyq0has0uu0565fm9t5cdo,0,64.8,18.3,2023-01-28T15:01:14.604Z,2023-01-31T04:51:36Z,3998756561,3,,4005023143,178,,3998756567,141,10.6,3998756563,56,Right,3998756571,213,6.0,3998756565,140,85.3,3998756569,212,22.2,,,,8nudzikxeestbjz4yww8r13v9,J. Brayford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351083,4,12,1,0,10,ahm0t06rup1bkd9z0mxl2lmph,1,18.5,82.6,2023-01-28T15:01:16.768Z,2023-01-31T04:51:46Z,4004327855,167,,3998756735,140,18.4,3998756739,212,13.0,3998756737,141,100.0,4004327853,15,,3998756733,56,Back,4005023237,178,,3998756741,213,1.6,7cznyew8xg3fxfqeexid7pxt6,B. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351087,5,5,1,0,12,ahm0t06rup1bkd9z0mxl2lmph,0,13.1,100.9,2023-01-28T15:01:18.666Z,2023-01-31T04:51:52Z,3998756759,347,,3998759263,233,6,3998756757,56,Back,,,,,,,,,,,,,,,,7cznyew8xg3fxfqeexid7pxt6,B. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351615,6,5,1,0,12,8mbtyq0has0uu0565fm9t5cdo,1,86.9,-0.9,2023-01-28T15:01:18.666Z,2023-01-31T04:51:52Z,3998759173,56,Right,3998759175,347,,3998759239,233,5,,,,,,,,,,,,,,,,a6sikfu3j1pp7mlfcdte2inoq,T. Hamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351689,7,1,1,0,32,8mbtyq0has0uu0565fm9t5cdo,0,92.7,0,2023-01-28T15:01:39.270Z,2023-01-31T04:52:02Z,3998759469,1,,3998759465,212,23.1,3998759467,213,1.6,3998759463,141,32.5,3998759457,107,,3998759459,56,Center,3998759461,140,93.1,,,,a6sikfu3j1pp7mlfcdte2inoq,T. Hamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351807,6,12,1,0,35,ahm0t06rup1bkd9z0mxl2lmph,1,8.6,64.5,2023-01-28T15:01:41.636Z,2023-01-31T04:52:12Z,4005023429,388,,3998759985,140,9.3,3998759989,212,13.6,3998759991,213,1.5,3998759987,141,84.5,3998759983,56,Back,3998761189,15,,,,,bsrhtxhpnlxho2o4zvli5qmeh,E. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351695,8,43,1,0,35,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-01-28T15:01:42.415Z,2023-01-28T15:01:44Z,3998759505,285,0,3998759503,56,Center,3998759747,144,74,,,,,,,,,,,,,,,,a6sikfu3j1pp7mlfcdte2inoq,T. Hamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501352795,15,1,1,0,37,8mbtyq0has0uu0565fm9t5cdo,0,92,14.3,2023-01-28T15:01:44.288Z,2023-01-31T04:52:27Z,3998767445,233,7,3998767449,286,,3998764775,213,1.4,3998767443,236,,3998764773,212,2.4,3998764767,56,Right,4005023585,178,,4004328529,386,,a6sikfu3j1pp7mlfcdte2inoq,T. Hamer,4004328531,20,3998764763,2,3998764771,141,17.8,3998764765,155,4004328527,225,3998764769,140,92.3,,,,,,,,,,,,,,,,,,
2501351863,7,12,1,0,37,ahm0t06rup1bkd9z0mxl2lmph,1,8.5,81.5,2023-01-28T15:01:44.380Z,2023-01-31T04:52:38Z,3998767483,233,15,3998760165,185,,3998760167,56,Back,4005023679,388,,,,,,,,,,,,,,dq21r0ge09ug4d2crb9j6q6dx,B. Bodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351941,8,6,1,0,38,ahm0t06rup1bkd9z0mxl2lmph,0,4.6,87.8,2023-01-28T15:01:45.357Z,2023-01-31T04:52:47Z,3998760535,73,,3998768427,233,9,3998760533,56,Back,,,,,,,,,,,,,,,,dq21r0ge09ug4d2crb9j6q6dx,B. Bodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501352143,9,6,1,0,38,8mbtyq0has0uu0565fm9t5cdo,1,95.4,12.2,2023-01-28T15:01:45.357Z,2023-01-31T04:52:47Z,3998768391,233,8,3998761467,75,,3998761465,56,Right,,,,,,,,,,,,,,,,a6sikfu3j1pp7mlfcdte2inoq,T. Hamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501352211,10,1,1,0,51,8mbtyq0has0uu0565fm9t5cdo,1,99.7,0.7,2023-01-28T15:01:57.750Z,2023-01-31T04:52:54Z,3998761767,6,,3998761769,56,Right,3998761771,140,95.7,3998761775,212,7.8,3998761773,141,10.4,4005023799,178,,3998761777,213,2.1,,,,b0hjaqg0on2lrpfcjxfyz7uqy,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501352267,11,1,1,0,53,8mbtyq0has0uu0565fm9t5cdo,1,94.5,9.5,2023-01-28T15:01:59.870Z,2023-01-31T04:53:03Z,3998762009,56,Right,3998762011,140,72.9,4005023883,178,,3998762013,141,17.1,3998762017,213,2.9,3998762015,212,23.3,,,,,,,5djouum2kdazpcjf79gbk2ju1,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501352365,12,1,1,0,56,8mbtyq0has0uu0565fm9t5cdo,1,72.9,17.1,2023-01-28T15:02:02.656Z,2023-01-31T04:53:07Z,3998762537,213,5.9,3998762533,141,7.0,3998762535,212,16.5,3998762529,56,Right,3998762531,140,87.2,4005023923,178,,,,,,,,h4g0ji8lk43f7zcpl79henai,M. Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501352665,13,1,1,0,59,8mbtyq0has0uu0565fm9t5cdo,0,88,5.9,2023-01-28T15:02:05.906Z,2023-01-31T04:53:20Z,4004329399,223,,3998764023,212,36.6,3998764017,140,92.2,3998764029,1,,3998764013,56,Center,3998764025,213,1.4,4004329401,72,,3998764021,141,59.3,b0hjaqg0on2lrpfcjxfyz7uqy,T. Taylor,4005024021,178,3998764009,155,3998764005,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2501352643,9,4,1,1,1,ahm0t06rup1bkd9z0mxl2lmph,1,7.9,38.2,2023-01-28T15:02:08.274Z,2023-01-31T07:24:28Z,3998763887,13,,3998763893,152,,3998763897,285,,3998763889,294,,3998764149,233,14,3998763891,56,Back,,,,,,,33ci88veciqvd4w5y145dyooa,K. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501352671,14,4,1,1,1,8mbtyq0has0uu0565fm9t5cdo,0,92.1,61.8,2023-01-28T15:02:08.275Z,2023-01-31T07:24:28Z,3998764065,286,,3998764063,152,,3998764187,233,9,4005093615,388,,3998764057,13,,3998764059,294,,3998764061,56,Center,,,,2di9tk08yuqcb4wn9dvmwh97t,S. Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501354149,10,1,1,1,49,ahm0t06rup1bkd9z0mxl2lmph,1,9,35.1,2023-01-28T15:02:56.495Z,2023-01-31T04:53:42Z,3998771173,56,Center,3998771181,213,6.1,4005024237,178,,3998771175,140,66.7,3998771179,212,61.2,3998771167,5,,3998771177,141,22.1,3998771171,152,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,3998771169,157,3998771183,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501354165,11,44,1,1,53,ahm0t06rup1bkd9z0mxl2lmph,1,66.7,39.2,2023-01-28T15:03:00.094Z,2023-01-31T10:55:36Z,3998771335,233,16,3998771251,286,,3998771245,56,Center,,,,,,,,,,,,,,,,33ci88veciqvd4w5y145dyooa,K. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501354159,16,44,1,1,53,8mbtyq0has0uu0565fm9t5cdo,0,33.3,60.8,2023-01-28T15:03:00.095Z,2023-01-31T04:53:51Z,3998771391,233,11,3998771229,56,Back,3998771231,285,,,,,,,,,,,,,,,,,5n4yyffs5f8b7exry819c4xxx,A. Oshilaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501354219,13,1,1,1,53,ahm0t06rup1bkd9z0mxl2lmph,0,65.8,38.4,2023-01-28T15:03:00.148Z,2023-01-31T10:55:37Z,4005024487,388,,3998771511,56,Center,3998771509,3,,3998771519,212,7.7,3998771523,213,3.2,3998771513,140,58.5,3998771517,141,37.7,,,,33ci88veciqvd4w5y145dyooa,K. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501354225,17,49,1,1,54,8mbtyq0has0uu0565fm9t5cdo,1,38.3,66.6,2023-01-28T15:03:01.201Z,2023-01-31T04:54:16Z,,,,,,,,,,,,,,,,,,,,,,,,,h4g0ji8lk43f7zcpl79henai,M. Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501354169,12,43,1,1,55,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-01-28T15:03:02.014Z,2023-01-28T15:03:05Z,3998771271,286,0,3998771267,56,Center,3998771737,144,44,,,,,,,,,,,,,,,,33ci88veciqvd4w5y145dyooa,K. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501354315,18,1,1,1,56,8mbtyq0has0uu0565fm9t5cdo,1,41.6,74.2,2023-01-28T15:03:03.159Z,2023-01-31T04:54:24Z,3998771977,212,13.6,3998771973,140,30.3,3998771975,141,83.9,3998771979,213,2.6,4005024727,178,,3998771971,56,Back,,,,,,,h4g0ji8lk43f7zcpl79henai,M. Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
