id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/16/value
2506233071,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-02-11T14:15:17.424Z,2023-02-11T15:51:13Z,4024412609,59,"1, 2, 24, 15, 5, 4, 10, 12, 18, 27, 11, 3, 7, 9, 19, 21, 22, 29",4024412617,197,4637,4024412613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024412615,194,5mx96hmn7ophhuvmybmf1esid,4024412605,30,"9tlowuu89l3fnv5iowela1ca2, 5mx96hmn7ophhuvmybmf1esid, 1y7e8a23pc4xlc6ori1o1b8tm, dwp8bqc4rdleti92n0s6q9rdh, e9zi7fb2t4akk1pzjpuhe4bf9, 8q4vt9778kxds17wm6e9hdoiy, 2sqsqi4h0d982a171bfuqnd91, cz9jf3ozld7o0hns2xmn54b56, 43dtg3eg858i3agncnpq3p1wp, 6dhwu4p5uu6oiada4q13g5tk9, 33eqc4ye34v5r0ix9cqg9fo4p, 91mshvbc4rk9cf0chhgukakiy, dz4jeb7rhr5jt3grs4evbs5bd, 4db9vewyt9kiqtqd5e0rloodm, 4wzaq9gqohygfo22tjibldfjd, 6g8w8yuvkuayxcegsvzcjmmzt, 94pt7ikxi5cdjhbqf7vi9xg4p, 8mxu20zdh9wrguq79ib8y5m21",4024412611,130,13,4024412619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024412607,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506233139,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-02-11T14:15:22.199Z,2023-02-11T15:10:07Z,4024413015,194,bdquc37ytagmw19zgrehnryz9,4024413013,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024413009,59,"35, 28, 3, 8, 5, 2, 21, 23, 10, 18, 40, 11, 22, 1, 7, 9, 19, 30",4024413017,197,4819,4024413019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024413007,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4024413011,130,4,4024413005,30,"6axta520v9f4z56hctbq3a4mh, c651trgr0pihuppxxd31z6go9, f0sa0skucdf742t06hsmi8ne2, 3pxdg41xbkbajeuxovusa2v9x, c4hif6j7tldh0w7oeq8v9pcve, 6wax1hh875vpvfi1fbetwmtey, 4n37rih2qtphgtjxzo2id5f55, ct9ifm9mk702lkhhmlf12nlxx, bdquc37ytagmw19zgrehnryz9, bgly2zwf7qro0phmd6hkry6ll, 5pafzbbuucga9ut20l6ckj7u2, aohds6v2ewiu0xhov9mq9uju1, 9jj7t00bb5zflz78nlz3bvllg, byo7r7emgxz5oiauh2z75vpp1, 9s6ec1a12gozqwjlsyo7y8gr9, dz04k2zt87y78ku9g14sxm21h, f4qyrav5wfp55jyprdoq1upcl, ejmi6qqszz1509excckyj3n1m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506277339,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-02-11T15:02:31.424Z,2023-02-11T15:02:34Z,4024630453,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506277317,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-02-11T15:02:31.424Z,2023-02-13T20:09:36Z,4024630359,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506277393,3,1,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,50.2,50,2023-02-11T15:02:31.495Z,2023-02-14T08:51:21Z,4024630723,141,52.8,4024630727,213,3.1,4024630725,212,25.2,4031883675,178,,4024630721,140,26.3,4024630729,279,S,4024630719,56,Back,,,,2sqsqi4h0d982a171bfuqnd91,E. Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506277481,4,1,1,0,3,b3vbyitzi3nrw9ehj1eoko219,0,26.6,51.5,2023-02-11T15:02:34.536Z,2023-02-14T08:51:30Z,4024631049,1,,4024631037,155,,4024631041,140,75.4,4031883761,178,,4024631045,212,54.5,4024631039,56,Center,4024631047,213,5.9,4024631043,141,24.4,dwp8bqc4rdleti92n0s6q9rdh,P. O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506277491,3,44,1,0,6,5pfqedkme2kabtqhkln35pf3l,1,30.8,69.6,2023-02-11T15:02:37.537Z,2023-02-14T11:50:54Z,4024631175,233,5,4024631067,285,,4024631065,56,Back,,,,,,,,,,,,,,,,6wax1hh875vpvfi1fbetwmtey,J. Connolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506277501,5,44,1,0,6,b3vbyitzi3nrw9ehj1eoko219,0,69.2,30.4,2023-02-11T15:02:37.538Z,2023-02-14T08:51:35Z,4024631425,233,3,4024631091,286,,4024631087,56,Center,,,,,,,,,,,,,,,,6dhwu4p5uu6oiada4q13g5tk9,J. Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506277561,4,1,1,0,6,5pfqedkme2kabtqhkln35pf3l,0,27.3,74.6,2023-02-11T15:02:37.625Z,2023-02-14T11:50:54Z,4024631393,213,0.3,4024631387,140,42.4,4024631383,56,Back,4031883869,388,,4024631391,212,16.4,4024631379,3,,4024631389,141,81.0,,,,6wax1hh875vpvfi1fbetwmtey,J. Connolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506277609,6,1,1,0,7,b3vbyitzi3nrw9ehj1eoko219,0,65.1,15.6,2023-02-11T15:02:39.210Z,2023-02-14T08:51:43Z,4024631615,212,11.0,4031883979,178,,4024631613,141,29.8,4024631617,213,1.1,4024631607,56,Center,4024631611,140,70.1,,,,,,,8q4vt9778kxds17wm6e9hdoiy,L. Montsma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
