id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/15/value
2531692007,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-04-10T13:15:01.364Z,2023-04-10T14:04:51Z,4179938517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4179938511,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4179938505,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4179938513,194,5bkjye9thnohmdgzwsrsy1n9,4179938515,197,16167,4179938503,30,"1sw0ywyl0cgn97mu65tnzv0t1, 7fvj3ev8ov0cnalck9x48z3kl, 5bkjye9thnohmdgzwsrsy1n9, 7pia2vfewavgyc8d7pvgr7owl, f5zei3x0mg1i5q3soziuy579, dbvkpe7bc9clualadtx9rf1uc, bbrx2s4fcp7uplly4hpbt3xed, 93kxb8ch3auv9li22mh1aidey, 99uiqjteov3qby19bs8kozill, cxfq8o3k68x1acwci3wx812w9, dez3rm7q89xk157fwnc3tgqcq, d22nvvj315b99fncrui6ezzkl, 4uywqjm0i2ik5cwhulbmzxi39, 4oogur7f8tfx3z011ap58ao5x, datykfu6jdjc3jlmi3flv7dud, 40wbrqny2ekenyy37ver8dyol, ei0u7w8capvepbm7g08bh6dck, 5knn6bkjba6eh0torsnwrkl0q",4179938509,130,8,4179938507,59,"1, 26, 3, 28, 2, 5, 7, 10, 18, 29, 27, 4, 6, 12, 16, 22, 35, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531692299,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-04-10T13:15:13.970Z,2023-04-10T14:26:10Z,4179940115,194,67xd8llko9zszuwg63ffopje2,4179940109,59,"31, 3, 12, 27, 5, 23, 22, 48, 30, 17, 2, 4, 11, 15, 20, 21, 24, 25",4179940117,197,16116,4179940113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4179940107,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4179940111,130,2,4179940119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4179940105,30,"dgcocw72ey734nwc3omi02sid, 3x8j3d4oygoxsu75ipz0idt6, 5j1eftktnca9eso1vvhu2hf55, 67xd8llko9zszuwg63ffopje2, 3dy32ujo7srhl6rq7vb9e97xm, 9e0t58fp461sn2pele7we3fu1, bn65q0jh5fmyit8g8y4k9wsq2, a90bv7xfjlfi8s3kvbpyjvn8q, 1oxfxpbvol3526lbe42wxxze2, cqgg8fu39fn7k9blog2zjpk2x, 5kg7eu8b1wktru5ohpid8e9qt, cwimbfv671qph6cxdcl32elzp, 41ntkkxxtjznfdz7966j64161, 2hwlmul5bz8qcxt75954ujiz9, as885sgoqhqie6xuony3pqrfu, 4luphb29oi2p9ftkag6xb69jp, dirgn9z2tdz1603md8x3dni6t, 43knl3z17afypz27sz4qzkxnu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728619,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-04-10T14:02:08.616Z,2023-04-10T14:02:11Z,4180147799,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728605,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-04-10T14:02:08.616Z,2023-04-12T09:39:46Z,4180147701,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728733,3,1,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,50.2,50,2023-04-10T14:02:08.689Z,2023-04-12T12:59:45Z,4180148323,140,29.7,4180148331,279,S,4180148327,212,21.6,4180148325,141,52.5,4184562275,178,,4180148321,56,Back,4180148329,213,3.1,,,,93kxb8ch3auv9li22mh1aidey,L. Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728807,4,1,1,0,2,jv3jh5m5t7qy5t37vwwmnj16,0,29.9,53.7,2023-04-10T14:02:11.299Z,2023-04-12T12:59:47Z,4180148731,56,Right,4180148739,213,5.6,4180148733,140,65.8,4180148729,155,,4184562341,178,,4180148741,1,,4180148737,212,49.8,4180148735,141,5.9,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728805,3,44,1,0,5,17zuelixesst1z59fwcix2dil,1,30,91.2,2023-04-10T14:02:14.472Z,2023-04-13T00:23:20Z,4180148717,56,Back,4180148721,285,,4180148945,233,5,,,,,,,,,,,,,,,,9e0t58fp461sn2pele7we3fu1,B. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728817,5,44,1,0,5,jv3jh5m5t7qy5t37vwwmnj16,0,70,8.8,2023-04-10T14:02:14.473Z,2023-04-12T12:59:50Z,4180148965,233,3,4180148783,56,Right,4180148795,286,,,,,,,,,,,,,,,,,bbrx2s4fcp7uplly4hpbt3xed,D. Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728831,4,1,1,0,5,17zuelixesst1z59fwcix2dil,0,26.8,88.3,2023-04-10T14:02:14.536Z,2023-04-13T00:23:20Z,4180148841,141,100.0,4180148837,56,Back,4184562581,388,,4180148835,3,,4180148843,212,10.6,4180148839,140,32.3,4180148845,213,1.0,,,,9e0t58fp461sn2pele7we3fu1,B. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531728845,5,5,1,0,7,17zuelixesst1z59fwcix2dil,0,34,101.6,2023-04-10T14:02:15.923Z,2023-04-12T12:59:57Z,4180149815,233,6,4180148887,56,Back,4180148889,347,,,,,,,,,,,,,,,,,9e0t58fp461sn2pele7we3fu1,B. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
