id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,assist
2486657599,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2022-11-19T14:12:29.290Z,2022-11-19T15:04:41Z,3921226241,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3921226227,30,"byo7r7emgxz5oiauh2z75vpp1, 9s6ec1a12gozqwjlsyo7y8gr9, f0sa0skucdf742t06hsmi8ne2, 6hq92cx2829wfuzxmfhg1xpm1, 6wax1hh875vpvfi1fbetwmtey, 5raent8a0bdt01n7769n3dw16, aa68kvv9c3of0a8cgbx8ppm1h, 6q5iqhaxdzqhj3jt0eptjvbv9, 4n37rih2qtphgtjxzo2id5f55, 5pafzbbuucga9ut20l6ckj7u2, bdquc37ytagmw19zgrehnryz9, 5l042n1ublyhfemhtc2636six, dz04k2zt87y78ku9g14sxm21h, 4u9s6b4ngktakouqhze3sdoet, ax2mraa85fs9ihyhk7qnmm489, ct9ifm9mk702lkhhmlf12nlxx, c651trgr0pihuppxxd31z6go9, ah31ge07jvte4y161aut0uthx",3921226237,194,6q5iqhaxdzqhj3jt0eptjvbv9,3921226239,197,4819,3921226233,130,18,3921226235,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921226231,59,"1, 7, 3, 17, 2, 37, 14, 6, 21, 40, 10, 5, 9, 20, 22, 23, 28, 32",3921226229,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486657639,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-11-19T14:12:36.616Z,2022-11-19T15:09:12Z,3921226467,130,8,3921226473,197,16179,3921226475,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3921226471,194,93hm64q02lz37wj7xzbkv1m1h,3921226465,59,"1, 12, 3, 22, 6, 4, 11, 7, 14, 16, 10, 2, 5, 9, 17, 24, 26, 28",3921226469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921226463,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3921226461,30,"2f49etxdi4l2tsobpmsg5i5pm, 93hm64q02lz37wj7xzbkv1m1h, 2k02tiy3x2a7o11h0kxw33fmd, ewtroels9b5fc9hv9c2laj90q, 6cfr9qa1khqzv5oxsi8d3ug9h, em0i6q0h6q80melaxwx2nvz3e, 37ea7qzvbzt3zr4y2q4o5boq, 9iwkidg6lykej8vrhfz6z4ct1, e8whj7tdfmuk66shr30htmhud, czsjz7u9u01z5a4pyue7tu5wq, 6ictgtdi9ogl7n8dqh4dm1fxl, cee3wxxx7lrluzh7kog7g07ah, azp9bk80ozwjy2xx7tvqot5gp, dxndu5lwom3srja7xhiadmdw5, 3e79d5436l57bfj3ywbjvfr6y, 1zpxu396rz1b3gymuheg69h3p, 1ur2h01o6jgewwzydb2caggoa, 45i2fz3wya2x8gsa1hn8yd65m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486669205,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-11-19T15:02:11.048Z,2022-11-19T15:02:11Z,3921285107,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486669215,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2022-11-19T15:02:11.048Z,2022-11-21T12:22:25Z,3921285153,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486669263,3,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,50.2,49.9,2022-11-19T15:02:11.060Z,2022-11-21T20:09:17Z,3923643075,178,,3921285407,212,22.1,3921285401,56,Back,3921285405,141,35.8,3921285403,140,31.2,3921285409,213,3.6,3921285411,279,S,,,,czsjz7u9u01z5a4pyue7tu5wq,H. Burrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486669297,4,1,1,0,2,5jjqm8h6qm1w4s5f93uubhdrj,1,30.4,42.1,2022-11-19T15:02:13.945Z,2022-11-21T20:09:27Z,3921285619,141,72.4,3921285615,56,Back,3921285623,213,1.5,3921285621,212,20.7,3923643103,178,,3921285617,140,32.5,,,,,,,6cfr9qa1khqzv5oxsi8d3ug9h,F. Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486669349,5,1,1,0,4,5jjqm8h6qm1w4s5f93uubhdrj,1,35.4,78.8,2022-11-19T15:02:16Z,2022-11-21T20:09:34Z,3921285903,212,8.9,3921285889,56,Back,3923643133,178,,3921285895,141,90.8,3921285891,140,38.8,3921285907,213,1.2,,,,,,,em0i6q0h6q80melaxwx2nvz3e,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486669377,6,1,1,0,7,5jjqm8h6qm1w4s5f93uubhdrj,0,37.7,95.9,2022-11-19T15:02:18.078Z,2022-11-21T20:09:38Z,3921286061,155,,3921286063,56,Left,3921286069,212,40.5,3921286065,140,76.1,3921286071,213,0.1,3921286073,1,,3921286067,141,100.0,3923643173,178,,2k02tiy3x2a7o11h0kxw33fmd,D. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486669783,3,5,1,0,9,5pfqedkme2kabtqhkln35pf3l,1,27.4,-1.8,2022-11-19T15:02:20.120Z,2022-11-21T20:09:47Z,3921288249,347,,3921288285,233,7,3921288247,56,Back,,,,,,,,,,,,,,,,4n37rih2qtphgtjxzo2id5f55,A. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486669389,7,5,1,0,9,5jjqm8h6qm1w4s5f93uubhdrj,0,72.6,101.8,2022-11-19T15:02:20.120Z,2022-11-21T20:09:48Z,3921286121,56,Left,3921288337,233,3,3921286123,347,,,,,,,,,,,,,,,,,2k02tiy3x2a7o11h0kxw33fmd,D. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
