id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2488607897,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2022-12-02T19:00:01.238Z,2022-12-02T21:57:41Z,3931517849,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931517835,30,"1etperk4v88ohoddjdb5dj2l1, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 2uyrcl2hf5xunxm8zm98kh1at, 5yfb390wjjfdjhdf0jzaf1kgl, 6xjftfuwhkbs39xfc3phdbyl1, aclrl318d420oqe1fjgl1m3xm, a1muz32ocg2650ll5kjc02u39, 4m9vn1q30f1c8ksiyxtei63ft, 1yzyn48jb8yd8bc0xywrhg0r9, b0l7hknmc27qttjxv094mi5zp, 41lv87i23sxmdyrs4xxh96m3u, a2gluxzt6a3z5xwgu2q482rqh, 5n4s7vdp0dx0ndkph7oyg7v1l, bybpo6v76mntngcl9xwpil7u1, ef2y32lrxfsagikwuhjrovy3u, 4y3hm9ljv62c5jswanl0gk5, 1788amerrk9fg3f9qddyxz8x5",3931517845,194,a1muz32ocg2650ll5kjc02u39,3931517839,59,"25, 7, 11, 5, 3, 6, 8, 10, 26, 19, 9, 1, 2, 15, 17, 21, 23, 33",3931517843,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3931517837,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3931517841,130,18,3931517847,197,4680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488607925,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2022-12-02T19:00:10.752Z,2022-12-02T21:57:39Z,3931517999,194,5udpap0himq2ggsw4f0o5hqdx,3931517995,130,17,3931517993,59,"1, 17, 8, 3, 5, 21, 4, 20, 9, 19, 11, 7, 10, 14, 16, 22, 25, 48",3931518001,197,16120,3931518003,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931517991,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3931517997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3931517989,30,"247o80ri7od76lxfrkmccz2ay, 4lz9m2nwif7tql9hqsv2u7vft, 5udpap0himq2ggsw4f0o5hqdx, 5a86e1pl8b7ibmrkz3h6gs1yh, oe0lbxtc4qftnd886dzfm385, 4cyf8fcefkz6433g76okyd65m, 2q6bsyszm27v5uvs30j5ty311, ab9z3kubalp5l33vbi4a8n0iy, 9w0nk2mz77jqc62v4gv1h0vkl, ady374prjuht3fs9va8n303jd, 6rzq8xkkst4hgbh2ysj52gwyx, 9llmzvk9nw1kwy73o8z9f8usp, alhqwxs7t2pxxxuztmvy1ibpx, 8dcdul1txdibvq7liaagnc9ka, 4xxoasz03erxlyonu2t8y5fqh, 48pxorkarv5aq03l6179bes45, 82h98ebusz83rox95oi9kafh1, f3owhetogu9m6da54ip5q1mhg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615453,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2022-12-02T19:44:49.892Z,2022-12-04T22:26:45Z,3931563313,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615457,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2022-12-02T19:44:49.892Z,2022-12-02T19:44:52Z,3931563331,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615465,3,1,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,50.1,50.1,2022-12-02T19:44:49.952Z,2022-12-05T03:48:57Z,3931563345,140,28.8,3931563357,213,3.1,3931563349,141,49.9,3934856923,178,,3931563361,279,S,3931563353,212,22.4,3931563341,56,Back,,,,1yzyn48jb8yd8bc0xywrhg0r9,G. Massey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615467,4,1,1,0,3,ejm092fnt9zoxbpuklzd52ji8,1,29.9,50.4,2022-12-02T19:44:52.928Z,2022-12-05T03:49:13Z,3931563375,56,Left,3931563385,1,,3931563373,155,,3931563383,213,0.5,3931563379,141,83.6,3934856943,178,,3931563377,140,65.2,3931563381,212,43.4,6xjftfuwhkbs39xfc3phdbyl1,N. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615609,10,61,1,0,5,ejm092fnt9zoxbpuklzd52ji8,1,63.9,90.9,2022-12-02T19:44:55.160Z,2022-12-05T03:49:41Z,3931564273,56,Left,3934857011,388,,3934857009,21,,,,,,,,,,,,,,,,,b0l7hknmc27qttjxv094mi5zp,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615471,5,61,1,0,6,ejm092fnt9zoxbpuklzd52ji8,0,56.6,83.6,2022-12-02T19:44:55.895Z,2022-12-05T03:49:50Z,3934857019,178,,3931563409,56,Left,,,,,,,,,,,,,,,,,,,5ozfcga88glwzazkg65ahwa8l,M. Benning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615473,3,49,1,0,7,5g1fnexeromjl0lvnxp8hpnhi,1,30.8,40,2022-12-02T19:44:57.774Z,2022-12-05T04:39:53Z,,,,,,,,,,,,,,,,,,,,,,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615479,4,1,1,0,8,5g1fnexeromjl0lvnxp8hpnhi,1,29.8,32.2,2022-12-02T19:44:58.553Z,2022-12-05T03:50:47Z,3931563453,141,49.4,3931563455,212,24.1,3931563457,213,2.6,3931563451,140,9.7,3934857087,178,,3931563449,56,Back,,,,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
