id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,assist,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2492066701,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2022-12-17T14:15:02.188Z,2022-12-17T15:39:25Z,3949870949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949870939,59,"18, 12, 2, 5, 27, 39, 16, 8, 15, 20, 9, 3, 6, 7, 10, 14, 22, 45",3949870937,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3949870947,197,16181,3949870943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949870935,30,"3swij7ntrn9x9voc9clilgmvp, 56zd7s72x7izgeiybmmgc8acq, 7qnu4sb2a2vj7nw8gkvv1pxw5, eg2xijdgtcaa44x57pjezy3ft, f4p7kokn0a6epac4icy01l9lh, 1dzmlop3jwm8aeqxkmihjl7xm, enfxh6b65c9hx1rs0scszi2y2, 3j78tgfptah530cydckvfsauh, 2nvu4o5lbowvig5ddb4563n8q, a65axspsu3w38f0dob3aibk5x, adfgsbp3tv9wgatujcr9mfuju, c1hj1hth3xj2f0ax3x6fdwj8q, ev42016zwnwiow3lbefukrbvt, 7djse28rpo31xno7d0exe5pzp, 81d38h08s97e8kl7kxew6si5l, a993483h57leyjrkw3q0th905, rqdgj7y5b0qjaxpz1i7k3a50, dx71a0uw547urw50vqb3r9dzo",3949870945,194,a65axspsu3w38f0dob3aibk5x,3949870941,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492066705,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2022-12-17T14:15:03.447Z,2022-12-17T15:21:09Z,3949870971,197,16113,3949870967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949870969,194,8zcwhxcdh09wxdn29kzpox591,3949870973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949870961,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3949870965,130,18,3949870959,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, dxk79tuyij7y3gg7j1ad651t6, do0vklx8voqfr05b3j04ilex, 35f2se8cf2zmpxl45zulorpat, 74vpeqcguo2sb2qgpt3b6zq3t, 6q06inb8ukzfsrxy0arxl78q1, 7iruezvsore21eboc96g7oqtx, 8zcwhxcdh09wxdn29kzpox591, 16rur8pbshrs9xypsq7mnxzhl, b1yok7nf3a2fu9voe0oy7o6ad, 64tpd90skhh1yj8yztefhahn9, 9bpm5m1tsplxq77m3cbpfm4t1, 4qafo1hp52b8lqsqkxym0d8lx, 8c0rbwtrr5p2em8lyb2uzt785, dndv2nbwzzvgrlgf6gmeqtryt, az767vfe6ig8vwir9uu2eu3th, dlek4e9wgzy10smm0ph933nu2",3949870963,59,"19, 21, 14, 6, 15, 18, 16, 8, 20, 17, 10, 3, 4, 7, 12, 22, 24, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074673,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2022-12-17T15:00:57.426Z,2022-12-17T15:01:00Z,3949915289,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074669,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2022-12-17T15:00:57.426Z,2022-12-20T02:40:26Z,3949915283,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074681,3,1,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,50.1,50,2022-12-17T15:00:57.440Z,2022-12-20T02:50:42Z,3949915343,140,30.5,3949915351,279,S,3949915341,56,Back,3949915345,141,51.2,3952020843,178,,3949915349,213,3.1,3949915347,212,20.6,,,,2nvu4o5lbowvig5ddb4563n8q,K. Chauke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074701,4,1,1,0,3,dv9l02o316cd9hbkxaho2u12f,0,30.5,51.2,2022-12-17T15:01:00.677Z,2022-12-20T02:50:47Z,3949915477,1,,3949915465,155,,3949915473,212,59.0,3949915469,140,80.5,3949915467,56,Right,3949915475,213,5.8,3949915471,141,11.6,3952020851,178,,eg2xijdgtcaa44x57pjezy3ft,A. Hartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074735,3,1,1,0,6,69t8imcdaqlgfbds2p58596my,1,20.1,77.5,2022-12-17T15:01:03.734Z,2022-12-20T02:51:23Z,3949915625,3,,3952020865,178,,3949915635,213,0.8,3949915631,141,97.7,3949915627,56,Back,3949915633,212,18.4,3949915629,140,31.7,,,,do0vklx8voqfr05b3j04ilex,G. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074753,4,1,1,0,9,69t8imcdaqlgfbds2p58596my,0,31.7,97.7,2022-12-17T15:01:07.370Z,2022-12-20T02:51:35Z,3949915709,213,6.1,3949915707,212,6.8,3949915703,140,38.1,3952020877,388,,3949915705,141,96.0,3949915701,56,Back,3949915699,3,,,,,dxk79tuyij7y3gg7j1ad651t6,J. Iredale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074759,5,1,1,0,11,dv9l02o316cd9hbkxaho2u12f,0,61.7,2.6,2022-12-17T15:01:08.629Z,2022-12-20T02:51:41Z,3949915731,141,0.0,3949915727,56,Right,3949915735,213,5.9,3952020883,388,,3949915729,140,67.8,3949915733,212,7.0,,,,,,,1dzmlop3jwm8aeqxkmihjl7xm,C. Diabate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074837,5,5,1,0,11,69t8imcdaqlgfbds2p58596my,1,34.4,101.7,2022-12-17T15:01:09.211Z,2022-12-20T02:51:42Z,3949916095,233,6,3949916071,56,Back,3949916073,347,,,,,,,,,,,,,,,,,dxk79tuyij7y3gg7j1ad651t6,J. Iredale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
