id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,keyPass,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2477256565,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2022-10-25T18:00:09.696Z,2022-10-26T12:01:35Z,3871950439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3871950437,130,13,3871950431,30,"9tlowuu89l3fnv5iowela1ca2, 94pt7ikxi5cdjhbqf7vi9xg4p, 1y7e8a23pc4xlc6ori1o1b8tm, 292fas4iqplshrbyvtj5ins9h, dwp8bqc4rdleti92n0s6q9rdh, 5mx96hmn7ophhuvmybmf1esid, 5dsht0mnmpm2asallpju46ms5, 76j19abwcie5w5hptkewlh0bt, 43dtg3eg858i3agncnpq3p1wp, 4wzaq9gqohygfo22tjibldfjd, 6dhwu4p5uu6oiada4q13g5tk9, e9zi7fb2t4akk1pzjpuhe4bf9, dz4jeb7rhr5jt3grs4evbs5bd, 41ntkkxxtjznfdz7966j64161, 5j1eftktnca9eso1vvhu2hf55, 6g8w8yuvkuayxcegsvzcjmmzt, 8mxu20zdh9wrguq79ib8y5m21, eydnlstoc5zlgqj650v05oums",3871950449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3871950447,197,12149,3871950433,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3871950443,194,5mx96hmn7ophhuvmybmf1esid,3871950435,59,"1, 22, 24, 16, 15, 2, 26, 6, 18, 19, 27, 5, 7, 14, 17, 21, 29, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477256581,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-10-25T18:00:12.142Z,2022-10-25T18:00:12Z,3871950527,197,16169,3871950529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3871950521,130,17,3871950519,59,"40, 3, 7, 5, 6, 24, 8, 10, 9, 14, 44, 1, 15, 26, 27, 29, 30, 48",3871950517,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3871950523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3871950515,30,"c3nbdw1440h1uwwmixrjxwclx, 5r55bc61sgthojep749axb6y1, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, d25ilw75uqbnk15v383e1kxrd, 1iy0goeaf5btyw09tr2ywbe8l, 4nph9aqyr2kz1gmdh7v9n3w89, 1r9aj50371x6f0xf7mmvldz9x, 23gglwejp456bifnwkk9xi0a, 32crcj18u4qnf8f07fbsopvpx, a97lovkim5o3xqd92bc80l5ux, 18loyx03olyhtkt6scybwr8q1, i1bzoqwi1u382l4yx3n864x6, 878xi84rsiw5uj1doiy894lwp, 2evuc5me085gt0aeky191cduc, cruhiz25b3bbd4unocpu9bvf9, canpue729cozt0cw6a1dpi7ai",3871950525,194,49ca952ot1c3ytut2s281ds6h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477266621,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2022-10-25T18:47:03.940Z,2022-10-25T18:47:04Z,3872003957,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477266627,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-10-25T18:47:03.940Z,2022-10-27T05:04:28Z,3872003969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477266711,3,1,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,49.8,50,2022-10-25T18:47:04.031Z,2022-10-27T08:45:44Z,3872004363,213,3.2,3872004357,140,30.0,3872004365,279,S,3872004359,141,47.8,3872004355,56,Back,3874793571,178,,3872004361,212,20.8,,,,6dhwu4p5uu6oiada4q13g5tk9,J. Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477266739,4,1,1,0,3,b3vbyitzi3nrw9ehj1eoko219,0,32.6,50,2022-10-25T18:47:06.989Z,2022-10-27T08:45:48Z,3872004525,56,Right,3872004531,212,48.4,3872004523,155,,3872004535,1,,3872004527,140,64.2,3872004529,141,0.0,3872004533,213,5.5,3874793665,178,,292fas4iqplshrbyvtj5ins9h,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477266877,3,5,1,0,5,9db4t34qy4owglhvvgwf5l22i,1,35.4,101.6,2022-10-25T18:47:09.316Z,2022-10-27T08:45:53Z,3872005243,56,Back,3872005263,233,5,3872005245,347,,,,,,,,,,,,,,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477266751,5,5,1,0,5,b3vbyitzi3nrw9ehj1eoko219,0,64.6,-1.6,2022-10-25T18:47:09.316Z,2022-10-27T08:45:53Z,3872004581,347,,3872005293,233,3,3872004579,56,Right,,,,,,,,,,,,,,,,292fas4iqplshrbyvtj5ins9h,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477266961,4,1,1,0,12,9db4t34qy4owglhvvgwf5l22i,1,34.9,100,2022-10-25T18:47:16.199Z,2022-10-27T08:45:55Z,3872005651,212,16.7,3872005645,56,Back,3872005643,107,,3872005649,141,90.3,3872005653,213,3.6,3872005647,140,20.7,,,,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477267041,5,1,1,0,16,9db4t34qy4owglhvvgwf5l22i,1,24.5,87.2,2022-10-25T18:47:20.496Z,2022-10-27T08:45:58Z,3874793863,178,,3872006113,213,6.2,3872006115,1,,3872006105,56,Left,3872006099,155,,3872006107,140,75.5,3872006109,141,82.3,3872006111,212,53.7,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
