id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/value
2478722119,15,1,1,1,4,8b523ujgl21tbc01me65q0aoh,0,93.4,91.4,2022-10-29T14:01:24.398Z,2022-11-01T04:43:06Z,3886617923,20,,3879668441,212,24.6,3879668435,56,Center,3879668431,2,,3879668439,141,55.8,3879668443,213,4.5,3886617921,223,,3887407677,178,,6b7fxcw7upr57pku6gf6dteqd,K. Jackson,3879668433,155,3879668437,140,,,,,,,,,,89.3,,,,,,,,,,,,,,,,,,,,,,,,
2478722179,10,12,1,1,5,2ezfenuwk3y65p8jdbj55xqt0,1,9.4,47.6,2022-10-29T14:01:25.498Z,2022-11-01T04:43:10Z,3879668765,213,5.6,3887407739,178,,3879668821,15,,3879668761,141,23.6,3879668755,56,Back,3879668763,212,25.8,3879668757,140,28.4,,,,949hjt6noiqcg888992n2961h,E. O'Connell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722283,16,1,1,1,9,8b523ujgl21tbc01me65q0aoh,0,75.3,81.1,2022-10-29T14:01:29.209Z,2022-11-01T04:43:13Z,3879669205,56,Left,3879669209,141,91.8,3879669211,212,8.1,3887407799,178,,3879669207,140,78.7,3879669213,213,1.1,,,,,,,a9352zsh3xr7rcxs0jmho7o8a,L. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480175375,804,67,1,1,11,2ezfenuwk3y65p8jdbj55xqt0,1,26.7,18.5,2022-10-29T14:01:30.627Z,2022-11-01T09:31:20Z,3887429873,233,823,,,,,,,,,,,,,,,,,,,,,,9z75i0zrgtuumyixz8dl9ysbt,S. Clare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480175373,823,67,1,1,11,8b523ujgl21tbc01me65q0aoh,0,73.3,81.5,2022-10-29T14:01:30.628Z,2022-11-01T05:05:20Z,3887429881,233,804,,,,,,,,,,,,,,,,,,,,,,6b7fxcw7upr57pku6gf6dteqd,K. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722305,11,8,1,1,11,2ezfenuwk3y65p8jdbj55xqt0,1,28.3,11.3,2022-10-29T14:01:30.629Z,2022-11-01T09:31:21Z,3887407855,178,,3886618295,383,,3879669319,56,Back,,,,,,,,,,,,,,,,9z75i0zrgtuumyixz8dl9ysbt,S. Clare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722337,12,49,1,1,13,2ezfenuwk3y65p8jdbj55xqt0,1,33.2,10.4,2022-10-29T14:01:33.098Z,2022-11-01T04:43:26Z,,,,,,,,,,,,,,,,,,,,,,,,,9z75i0zrgtuumyixz8dl9ysbt,S. Clare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722629,13,1,1,1,17,2ezfenuwk3y65p8jdbj55xqt0,1,60.1,6.7,2022-10-29T14:01:37.490Z,2022-11-01T04:43:35Z,3879670781,213,2.2,3879670773,56,Back,3879670777,141,30.9,3887408055,178,,3879670779,212,21.1,3879670775,140,47.5,,,,,,,9z75i0zrgtuumyixz8dl9ysbt,S. Clare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722693,14,1,1,1,20,2ezfenuwk3y65p8jdbj55xqt0,1,47.7,31,2022-10-29T14:01:39.879Z,2022-11-01T04:43:39Z,3879671105,141,63.1,3879671101,56,Back,3879671109,212,22.2,3879671113,213,1.8,3879671103,140,43.8,3887408103,178,,,,,,,,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722743,15,1,1,1,22,2ezfenuwk3y65p8jdbj55xqt0,1,43.8,63.4,2022-10-29T14:01:42.529Z,2022-11-01T04:43:57Z,3887408275,178,,3879671349,213,1.0,3879671341,56,Left,3879671345,141,90.8,3879671347,212,22.3,3879671343,140,55.5,,,,,,,5sfchvj1d5dgpwc6j5oshhkut,T. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
