id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/18/value
2488608221,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-12-02T19:01:32.168Z,2022-12-02T19:01:32Z,3931519713,194,egr5n9jynbg3llc2tn2g5ncnp,3931519715,197,4825,3931519705,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3931519703,30,"biwjsmk8ytz2k4d9f141jw15h, 9z75i0zrgtuumyixz8dl9ysbt, 56g3fffeygobuei72gnkm9a09, am14op2bc5krnoxpj6w9n5sk, 2r6gxw9yjxvaplv70ftq7wout, 68jyn13uu405w4npr317v5las, effzy3ttltffcz92a3ro4woa, egr5n9jynbg3llc2tn2g5ncnp, bql6rsp8hvxk07lf2ttdbadbd, ald5oocxwh4pip8fw6v3ym8h6, 6a08s0d0sgt7iw37spmo4bro5, 2kecmwyt730pi8z3pnsqs1l1x, 2t21ewgdqimma7cd74i1r5tqt, 1uqgky0sxqjs8bqd2h75rnmjt, evb6gpvuutmnisv9d12gs0xcl, 6m0h2e4kygi2hx6nf9b24cv6d, 4s0yf91l8xqodeuv473hmp5ka, 4hgji0bnqpsqezk5ctxq3ggh6",3931519707,59,"13, 28, 2, 34, 24, 48, 10, 4, 7, 17, 21, 5, 8, 14, 19, 22, 31, 43",3931519711,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3931519717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931519709,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488608599,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-12-02T19:03:13.155Z,2022-12-02T19:03:13Z,3931521941,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3931521947,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3931521951,197,4888,3931521943,59,"1, 32, 3, 6, 14, 2, 8, 23, 36, 10, 9, 5, 7, 18, 20, 22, 30, 26",3931521949,194,75c432elegprf4f6hn72icset,3931521953,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931521939,30,"dtl2jirk97xct4idsoj2vxbs9, cjwflve6ukph4h2az1irm099l, eslpks0nl5y4vnn6xi13iuqqx, ab7t8dk9884hrwa88o41wq8dl, 552cgdv8qya776at130r2d0mi, 75c432elegprf4f6hn72icset, 61allnul4qlvl9s6wf0nehped, btlomqnhw2ft72iwg7xbaoh2i, 8ceatyytb6gk5odzls21u2w2x, 7617zihboc2wywyoyou6nhuqd, cqcwoymcrgf7wdi6091zplecp, af7cmpeqlk4lcxz3bxgzjh8lx, ea28jq8w3nc9koizvgffy5a7d, dz4l89zgzj6zidxaerceesiga, 9fdbjgbp780ql3ugygbuhie3t, 9em8141j1bdvykowhmoyeob85, 1nvaqc5633cmmgqu2bpvly5ex, 5r7zhmb338nvjaawyyvbuh5yi",3931521945,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616183,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-12-02T19:47:12.648Z,2022-12-04T09:31:55Z,3931567713,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616187,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-12-02T19:47:12.648Z,2022-12-02T19:47:15Z,3931567735,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616221,3,1,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,50.5,50.3,2022-12-02T19:47:12.744Z,2022-12-04T09:42:54Z,3931567921,212,16.4,3931567917,140,35.3,3931567919,141,55.7,3931567923,213,2.9,3933630745,178,,3931567925,279,S,3931567915,56,Back,,,,effzy3ttltffcz92a3ro4woa,A. Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616229,4,1,1,0,3,2ezfenuwk3y65p8jdbj55xqt0,0,36.5,52.7,2022-12-02T19:47:16.043Z,2022-12-04T09:42:59Z,3931567975,141,16.7,3931567981,1,,3931567973,140,74.4,3933630897,178,,3931567979,213,5.7,3931567969,155,,3931567977,212,46.7,3931567971,56,Right,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616251,3,1,1,0,6,fvr504m6gaxsfmtx4fwm7iq1,1,27.2,86.9,2022-12-02T19:47:18.887Z,2022-12-04T09:43:05Z,3931568079,140,39.9,3931568077,56,Back,3931568083,212,13.7,3931568085,213,6.0,3931568081,141,82.1,3933631021,388,,3931568075,3,,,,,eslpks0nl5y4vnn6xi13iuqqx,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616253,4,61,1,0,7,fvr504m6gaxsfmtx4fwm7iq1,0,39.9,84.5,2022-12-02T19:47:20.521Z,2022-12-04T09:43:23Z,3933631397,388,,3931568093,56,Back,3933631395,21,,,,,,,,,,,,,,,,,8ceatyytb6gk5odzls21u2w2x,J. Olayinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616281,5,1,1,0,9,2ezfenuwk3y65p8jdbj55xqt0,1,65.7,11.4,2022-12-02T19:47:22.110Z,2022-12-04T09:43:26Z,3931568251,141,13.4,3931568247,56,Right,3933631493,178,,3931568249,140,54.0,3931568253,212,12.4,3931568255,213,3.0,,,,,,,9z75i0zrgtuumyixz8dl9ysbt,S. Clare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616301,6,1,1,0,12,2ezfenuwk3y65p8jdbj55xqt0,1,54,13.2,2022-12-02T19:47:25.174Z,2022-12-04T09:43:30Z,3931568373,140,62.7,3931568375,141,6.1,3931568371,56,Right,3933631561,178,,3931568377,212,10.3,3931568379,213,5.8,,,,,,,68jyn13uu405w4npr317v5las,Z. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
