id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/9/value,qualifier/14/value,qualifier/16/value,assist,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/17/value
2484558201,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-11-12T14:15:27.624Z,2022-11-14T14:23:01Z,3910241221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3910241225,197,16162,3910241223,194,ekbsso6hq913ss7jerbusyled,3910241227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910241215,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3910241217,59,"31, 6, 33, 4, 20, 34, 10, 17, 24, 11, 45, 3, 9, 13, 18, 19, 25, 32",3910241213,30,"24g3kj5853y2af5ncqhwlfbp, 4mg6kr1jernr98unfp5p8shqt, 3hq7q7p30s923cbbvw1070lp1, 2gf1wld07zyiuvq7iikfrvoid, e2b2wcox0ibhasr4zf5nphdqt, c211o2dh2p85auu0008zjxgix, ekbsso6hq913ss7jerbusyled, 7f87a26gzayk0bfzbm42huuw9, 1szy525fae134zxfbt7vyw991, 4l7yeuoabotmlfo5n719msrmd, mpzi06x1j85ahwkrbsa20kmi, 9r7ngbyjgfukassxtl07wnn55, 583ujnml31x2cnl6jxwnbs2xh, btey8i9vnkak8ww7diqnb8lat, 3fjobcho19bkofw9h042i2v9x, 94opm6ljk3l7yqa2rzwq2gw6h, 4c56c2zanbiv8q28f54i5rp3p, dwbbiqw9923azm3rpg2m8aqj9",3910241219,130,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484558237,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-11-12T14:15:29.461Z,2022-11-12T15:19:29Z,3910241377,59,"40, 2, 10, 16, 34, 50, 6, 4, 11, 7, 8, 1, 14, 18, 19, 21, 22, 28",3910241373,30,"1aq6osi0b0c580dlu9ugnjaei, 2asjeedy6igcuixqktdmk5k2x, 4i9u8cvqi0326gzqouf7uqju1, a2g77lv071rnz76ujh30364tl, 74x5iaolqfr7r3on2uuriooyy, ag8f1ksvfel1a0y49d0iypuui, 6ipjgy0ewyx7mnmolu0pp0mw9, 7d9la6gbbobi9yie2ejf9uj1l, dzitwscdk6ogkf6bstbrik53p, 7uhajc3suc68vemamuc3dyvp, 8i4qnoil4877e0wpwx3fj5b10, 3wew9tjsjrsoyioiuzd7ve356, 8w9kh0cuund2pw8wzs0rjrbah, 9sbbk3dgso5zk3g48c8q8ypcl, 46ums24te70jl5qclztg8xhwp, 8vwzh7t772qg1r3uxo83eiqui, a5cmnj0nhdbux68291ipqcei2, ex0gkrnzj98vrwpk9tpcfw91x",3910241375,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3910241381,130,18,3910241391,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910241385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3910241389,197,16212,3910241387,194,dzitwscdk6ogkf6bstbrik53p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600367,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-11-12T15:03:15.345Z,2022-11-14T21:09:55Z,3910456313,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600391,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-11-12T15:03:15.345Z,2022-11-12T15:03:18Z,3910456401,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600495,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,50.1,50.3,2022-11-12T15:03:15.434Z,2022-11-14T21:26:51Z,3910456883,140,50.2,3910456887,212,1.7,3910456889,213,4.8,3910456885,141,47.8,3910456891,279,S,3910456881,56,Center,3917194747,178,,,,,7d9la6gbbobi9yie2ejf9uj1l,E. Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600541,4,1,1,0,1,5qwskbjpa17fvmtuu5qijy7cz,1,50.2,47.8,2022-11-12T15:03:16.574Z,2022-11-14T21:26:57Z,3910457143,213,2.0,3910457139,141,80.3,3917194803,178,,3910457137,140,40.7,3910457135,56,Back,3910457141,212,24.2,,,,,,,dzitwscdk6ogkf6bstbrik53p,S. McConville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600713,5,1,1,0,4,5qwskbjpa17fvmtuu5qijy7cz,1,40.9,82.7,2022-11-12T15:03:20.145Z,2022-11-14T21:27:02Z,3910458001,213,3.7,3910457995,140,10.8,3910457999,212,36.8,3910458005,1,,3910457993,56,Back,3910457997,141,55.1,3917194857,178,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600843,6,1,1,0,9,5qwskbjpa17fvmtuu5qijy7cz,0,9.8,49,2022-11-12T15:03:24.554Z,2022-11-14T21:27:08Z,3910458661,213,0.1,3910458655,140,62.7,3910458659,212,55.7,3917194931,178,,3910458657,141,54.5,3910458653,56,Center,3910458663,1,,3910458651,157,,1aq6osi0b0c580dlu9ugnjaei,T. Savin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600819,3,44,1,0,12,1musyruv2ufjrjnj6gvdbr8kt,1,40.6,46.2,2022-11-12T15:03:28.304Z,2022-11-15T05:28:32Z,3910458525,285,,3910458825,233,7,3910458523,56,Back,,,,,,,,,,,,,,,,c211o2dh2p85auu0008zjxgix,M. McGuinness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600855,7,44,1,0,12,5qwskbjpa17fvmtuu5qijy7cz,0,59.4,53.8,2022-11-12T15:03:28.305Z,2022-11-14T21:27:20Z,3910458901,233,3,3910458713,286,,3910458709,56,Center,,,,,,,,,,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
