id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2493905441,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-12-29T19:00:05.989Z,2022-12-29T19:00:06Z,3959643811,194,49ca952ot1c3ytut2s281ds6h,3959643801,30,"c3nbdw1440h1uwwmixrjxwclx, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, 49ca952ot1c3ytut2s281ds6h, d25ilw75uqbnk15v383e1kxrd, dwrnys3htjlb3asfou6425g16, cruhiz25b3bbd4unocpu9bvf9, canpue729cozt0cw6a1dpi7ai, 1r9aj50371x6f0xf7mmvldz9x, 32crcj18u4qnf8f07fbsopvpx, 1iy0goeaf5btyw09tr2ywbe8l, a97lovkim5o3xqd92bc80l5ux, 23gglwejp456bifnwkk9xi0a, 18loyx03olyhtkt6scybwr8q1, 5zl4j36i5nxwrct70lgxh0oru, i1bzoqwi1u382l4yx3n864x6, 2evuc5me085gt0aeky191cduc, 1wpc3b44r2w9m2wallf1xcmlm",3959643817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959643807,130,19,3959643805,59,"40, 2, 7, 6, 24, 5, 30, 48, 9, 44, 8, 1, 14, 15, 18, 26, 29, 33",3959643809,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959643803,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3959643813,197,16169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493905447,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-12-29T19:00:06.785Z,2022-12-29T19:50:40Z,3959643863,59,"13, 28, 3, 16, 22, 32, 4, 8, 19, 10, 7, 1, 9, 11, 14, 20, 21, 24",3959643873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959643871,197,4616,3959643859,30,"4e1c6yk50fl8hnwv6u1132j85, 937mkgz0gstvxyjiwfe9xiuzu, czwcateaukr5r9yibdem642qd, 71or1ne6d9zuo038qdt6vcvoq, b5j2ib54sum2pmzthjmfmr55h, 2eu3cz65piv0j91gi396p9ega, 6tqiy5a5cfpfm90j8r5udl8bu, f1rmwe24zg4697bqpc3z0y40l, 8d6o15wvepi7do7e0ubjeoga2, 7ht3grz484ru1bcgp9gn7d2i1, 3je74tc5emuou6ckwdbscsbu, bg9aayv3d1y0qxgqrdohnrcdm, bboslspmgrlysvtol90dpfzzd, a70y8ayeh05hzo5yc8gotsbh0, 555ikrgh0veemzf7reasmqok5, 8bhf6lrrabp5tw5m8krirsm7e, e4xeswr8cpdkmlhijuf7oonsa, 74fouzsgp25muot2pp6as5otl",3959643867,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959643861,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3959643869,194,f1rmwe24zg4697bqpc3z0y40l,3959643865,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493915215,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-12-29T19:49:21.937Z,2022-12-29T19:49:22Z,3959699263,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493915221,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-12-29T19:49:21.937Z,2022-12-31T13:30:30Z,3959699301,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493915277,3,1,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,50.4,50.3,2022-12-29T19:49:21.958Z,2022-12-31T13:52:12Z,3959699601,140,29.5,3959699607,213,3.0,3959699605,212,22.2,3959699599,56,Back,3959699609,279,S,3961915901,178,,3959699603,141,54.9,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493915303,4,1,1,0,2,8rfydplrc9ki0sirqi0drcybk,0,33.4,56.1,2022-12-29T19:49:24.772Z,2022-12-31T13:52:17Z,3959699767,140,60.8,3959699771,212,40.8,3959699775,1,,3961915969,178,,3959699769,141,13.5,3959699765,56,Right,3959699763,155,,3959699773,213,5.5,2eu3cz65piv0j91gi396p9ega,J. Earl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493915295,3,44,1,0,5,9db4t34qy4owglhvvgwf5l22i,1,32.8,88.4,2022-12-29T19:49:27.460Z,2023-01-02T07:14:27Z,3959699719,285,,3959699717,56,Back,3959699831,233,5,,,,,,,,,,,,,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493915305,5,44,1,0,5,8rfydplrc9ki0sirqi0drcybk,0,67.2,11.6,2022-12-29T19:49:27.461Z,2022-12-31T13:52:23Z,3959699781,56,Right,3959699783,286,,3959699853,233,3,,,,,,,,,,,,,,,,6tqiy5a5cfpfm90j8r5udl8bu,B. Sarpong-Wiredu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493915325,4,1,1,0,5,9db4t34qy4owglhvvgwf5l22i,0,26.5,90.2,2022-12-29T19:49:27.470Z,2023-01-02T07:14:27Z,3959699873,56,Back,3961916137,388,,3959699881,213,5.0,3959699879,212,10.3,3959699875,140,29.2,3959699877,141,75.6,3959699871,3,,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493915347,6,44,1,0,7,8rfydplrc9ki0sirqi0drcybk,1,63.6,24.4,2022-12-29T19:49:29.256Z,2023-01-02T07:14:27Z,3959699973,56,Center,3959700021,233,5,3959699975,286,,,,,,,,,,,,,,,,,71or1ne6d9zuo038qdt6vcvoq,L. Warrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
