id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2478669471,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2022-10-29T13:11:26.817Z,2022-10-29T14:04:08Z,3879391769,197,4637,3879391765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3879391757,30,"9tlowuu89l3fnv5iowela1ca2, 94pt7ikxi5cdjhbqf7vi9xg4p, 1y7e8a23pc4xlc6ori1o1b8tm, 5mx96hmn7ophhuvmybmf1esid, e9zi7fb2t4akk1pzjpuhe4bf9, dwp8bqc4rdleti92n0s6q9rdh, 5dsht0mnmpm2asallpju46ms5, 76j19abwcie5w5hptkewlh0bt, 43dtg3eg858i3agncnpq3p1wp, 4wzaq9gqohygfo22tjibldfjd, 6dhwu4p5uu6oiada4q13g5tk9, dz4jeb7rhr5jt3grs4evbs5bd, a4nxfhy5n3xsbml9dgo8ynfmx, 41ntkkxxtjznfdz7966j64161, 5j1eftktnca9eso1vvhu2hf55, 6g8w8yuvkuayxcegsvzcjmmzt, 8mxu20zdh9wrguq79ib8y5m21, eydnlstoc5zlgqj650v05oums",3879391771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879391767,194,5mx96hmn7ophhuvmybmf1esid,3879391761,59,"1, 22, 24, 2, 5, 15, 26, 6, 18, 19, 27, 7, 8, 14, 17, 21, 29, 34",3879391763,130,13,3879391759,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478672655,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2022-10-29T13:14:04.618Z,2022-10-29T13:14:04Z,3879409591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879409589,197,4680,3879409577,30,"1etperk4v88ohoddjdb5dj2l1, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 5yfb390wjjfdjhdf0jzaf1kgl, 5n4s7vdp0dx0ndkph7oyg7v1l, a2gluxzt6a3z5xwgu2q482rqh, 4y3hm9ljv62c5jswanl0gk5, aclrl318d420oqe1fjgl1m3xm, 4m9vn1q30f1c8ksiyxtei63ft, ef2y32lrxfsagikwuhjrovy3u, bojsqjfaoi810xuyz0qeqs0r9, 41lv87i23sxmdyrs4xxh96m3u, 2uyrcl2hf5xunxm8zm98kh1at, b0l7hknmc27qttjxv094mi5zp, a1muz32ocg2650ll5kjc02u39, 1yzyn48jb8yd8bc0xywrhg0r9, 8nzkkwhmox9lgbmwomq1rruju, 1788amerrk9fg3f9qddyxz8x5",3879409585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3879409579,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3879409581,59,"25, 7, 11, 3, 15, 2, 23, 8, 26, 21, 22, 1, 5, 9, 10, 19, 27, 33",3879409587,194,4y3hm9ljv62c5jswanl0gk5,3879409583,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722921,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2022-10-29T14:01:49.883Z,2022-10-31T21:46:50Z,3879672151,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478722907,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2022-10-29T14:01:49.883Z,2022-10-29T14:01:50Z,3879672103,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723049,3,1,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,49.9,49.9,2022-10-29T14:01:49.912Z,2022-11-01T02:31:12Z,3879672755,213,2.8,3887377809,178,,3879672749,140,23.2,3879672753,212,29.8,3879672757,279,S,3879672751,141,64.9,3879672747,56,Back,,,,76j19abwcie5w5hptkewlh0bt,M. Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723135,4,1,1,0,3,b3vbyitzi3nrw9ehj1eoko219,1,24.9,63.7,2022-10-29T14:01:53.347Z,2022-11-01T02:31:15Z,3879673139,212,43.9,3887377815,178,,3879673135,140,60.1,3879673131,155,,3879673137,141,28.9,3879673143,1,,3879673141,213,5.7,3879673133,56,Center,5mx96hmn7ophhuvmybmf1esid,R. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723147,5,44,1,0,6,b3vbyitzi3nrw9ehj1eoko219,1,61.4,26,2022-10-29T14:01:56.115Z,2022-11-01T08:44:20Z,3879673183,56,Center,3879673187,286,,3879673241,233,3,,,,,,,,,,,,,,,,4wzaq9gqohygfo22tjibldfjd,D. Mândroiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723117,3,44,1,0,6,ejm092fnt9zoxbpuklzd52ji8,0,38.6,74,2022-10-29T14:01:56.116Z,2022-11-01T02:31:27Z,3879673299,233,5,3879673049,285,,3879673047,56,Back,,,,,,,,,,,,,,,,4y3hm9ljv62c5jswanl0gk5,T. Pett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723211,6,1,1,0,6,b3vbyitzi3nrw9ehj1eoko219,1,60.1,28.9,2022-10-29T14:01:56.163Z,2022-11-01T08:44:20Z,3879673513,3,,3887377853,388,,3879673531,213,3.2,3879673517,140,44.7,3879673515,56,Back,3879673521,212,16.2,3879673519,141,27.1,,,,4wzaq9gqohygfo22tjibldfjd,D. Mândroiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478723261,7,1,1,0,8,b3vbyitzi3nrw9ehj1eoko219,1,44.5,26.4,2022-10-29T14:01:58.416Z,2022-11-01T02:31:34Z,3879673819,213,5.4,3879673815,141,5.0,3887377861,178,,3879673817,212,18.2,3879673811,56,Right,3879673813,140,54.9,,,,,,,dwp8bqc4rdleti92n0s6q9rdh,P. O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
