id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/14/value
2526444339,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-04-01T13:15:13.635Z,2023-04-01T13:33:21Z,4152068527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152068521,194,cwimbfv671qph6cxdcl32elzp,4152068519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4152068517,130,2,4152068511,30,"dgcocw72ey734nwc3omi02sid, bn65q0jh5fmyit8g8y4k9wsq2, 5j1eftktnca9eso1vvhu2hf55, cwimbfv671qph6cxdcl32elzp, 3dy32ujo7srhl6rq7vb9e97xm, 9e0t58fp461sn2pele7we3fu1, cqgg8fu39fn7k9blog2zjpk2x, 67xd8llko9zszuwg63ffopje2, a90bv7xfjlfi8s3kvbpyjvn8q, 43knl3z17afypz27sz4qzkxnu, 41ntkkxxtjznfdz7966j64161, 3x8j3d4oygoxsu75ipz0idt6, 2hwlmul5bz8qcxt75954ujiz9, as885sgoqhqie6xuony3pqrfu, 4luphb29oi2p9ftkag6xb69jp, dirgn9z2tdz1603md8x3dni6t, 829ig7aac7nm8a7nb78jsf9at, 1oxfxpbvol3526lbe42wxxze2",4152068523,197,16115,4152068513,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4152068515,59,"31, 22, 12, 4, 5, 23, 17, 27, 48, 25, 11, 3, 15, 20, 21, 24, 29, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526444529,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-04-01T13:15:22.162Z,2023-04-01T13:54:26Z,4152069535,130,4,4152069541,197,16220,4152069529,30,"21hyrpedxxu2ilkspxq4uril1, 9ovnysf6fd2ophwdyfznztsk5, 541yhibvfn0fv2izdfudm7651, dlfoufhh8dc14s10vnbjrfvmd, cn988bjn09tb806b05wgp7ys5, f1g68yocf85lxkf17pt2j7v85, 610qf6vm0fsq97hvdcpj4ka95, f4l762ob8j0izfocnmofytcyd, 6d9maq3oecwobp2t2220vf4r9, eswokn90i34kdbfvax0y7365l, dgl4fbdrmolqgg0xzejl7ve8l, 89wk8a6aqw64nub8dgdj7zjl5, dypefa5ubw9m9xefxdd4365lh, 33h8s55zcj0j535g2dyz9tnqi, 3zmb22ct3lkf04kbpuxr22hud, 5ykgwunfc9pg5iq8h5cihg3xl, 2dpsl9g5lkbafz9a389xo9st0, 9kacd96xriqrc23e0a8vzov3e",4152069533,59,"1, 17, 6, 16, 20, 4, 26, 8, 9, 15, 24, 3, 7, 19, 23, 28, 33, 34",4152069539,194,f1g68yocf85lxkf17pt2j7v85,4152069531,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4152069537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4152069543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484735,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-04-01T14:00:21.749Z,2023-04-03T22:19:55Z,4152273339,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484747,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-04-01T14:00:21.749Z,2023-04-01T14:00:25Z,4152273387,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484759,3,1,1,0,0,17zuelixesst1z59fwcix2dil,1,50.1,49.5,2023-04-01T14:00:21.756Z,2023-04-04T03:55:14Z,4152273453,279,S,4162148875,178,,4152273439,140,36.5,4152273445,141,49.5,4152273433,56,Back,4152273451,213,3.1,4152273449,212,14.3,,,,a90bv7xfjlfi8s3kvbpyjvn8q,C. Savage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484871,4,1,1,0,2,17zuelixesst1z59fwcix2dil,0,35.6,46.4,2023-04-01T14:00:24.108Z,2023-04-04T03:55:20Z,4152273907,140,72.2,4152273909,141,0.0,4161113155,155,,4152273911,212,50.3,4162148979,178,,4152273913,213,5.6,4152273905,56,Right,4152273915,1,,9e0t58fp461sn2pele7we3fu1,B. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526485123,3,5,1,0,6,80jtkz2echk6yyyb9e2595cxr,1,22.4,101.2,2023-04-01T14:00:28.644Z,2023-04-04T03:55:29Z,4152275013,347,,4152275021,233,5,4152275011,56,Back,,,,,,,,,,,,,,,,6d9maq3oecwobp2t2220vf4r9,C. Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526484879,5,5,1,0,6,17zuelixesst1z59fwcix2dil,0,77.6,-1.2,2023-04-01T14:00:28.644Z,2023-04-04T03:55:29Z,4152273931,347,,4152275047,233,3,4152273929,56,Right,,,,,,,,,,,,,,,,9e0t58fp461sn2pele7we3fu1,B. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526485161,4,1,1,0,21,80jtkz2echk6yyyb9e2595cxr,0,17.8,100,2023-04-01T14:00:43.703Z,2023-04-04T03:55:33Z,4152275189,140,36.3,4152275193,212,20.1,4152275195,213,6.0,4152275185,56,Back,4152275191,141,93.6,4152275183,107,,,,,,,,541yhibvfn0fv2izdfudm7651,C. Ogilvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526490017,39,44,1,0,23,17zuelixesst1z59fwcix2dil,1,56.4,5.6,2023-04-01T14:00:45.675Z,2023-04-04T08:38:13Z,4152298433,56,Right,4152858955,233,609,4152298435,286,,4161140569,189,,,,,,,,,,,,,,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
