id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/12/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2493905437,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-12-29T19:00:05.216Z,2022-12-29T19:00:05Z,3959643789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959643781,30,"dtl2jirk97xct4idsoj2vxbs9, 9em8141j1bdvykowhmoyeob85, 4i81y9jhkouk3zmd03gjp1gx5, ab7t8dk9884hrwa88o41wq8dl, af7cmpeqlk4lcxz3bxgzjh8lx, 552cgdv8qya776at130r2d0mi, 61allnul4qlvl9s6wf0nehped, btlomqnhw2ft72iwg7xbaoh2i, cjwflve6ukph4h2az1irm099l, cqcwoymcrgf7wdi6091zplecp, 7617zihboc2wywyoyou6nhuqd, 75c432elegprf4f6hn72icset, eslpks0nl5y4vnn6xi13iuqqx, ea28jq8w3nc9koizvgffy5a7d, 9fdbjgbp780ql3ugygbuhie3t, 75lptyj9mjvb2zyupi4fnnox5, 1nvaqc5633cmmgqu2bpvly5ex, 8ceatyytb6gk5odzls21u2w2x",3959643787,130,18,3959643791,194,af7cmpeqlk4lcxz3bxgzjh8lx,3959643795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959643783,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3959643793,197,4843,3959643785,59,"1, 22, 15, 6, 5, 14, 8, 23, 32, 9, 10, 2, 3, 7, 20, 28, 30, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493905461,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-12-29T19:00:11.703Z,2022-12-29T19:00:11Z,3959643971,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3959643981,197,4206,3959643969,30,"ezg39hlg3h14utboy2h3lijmd, diw7je3i5mkvwf0kj898yi0gl, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, cjroc2z4lnw58m804ihu8tm1h, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, 7joniozhpy10veujjibxmbu2, 6hkzb4vehsx4wwm9y98euwacq, cmq9t6wadet4rrj3cvkjst7ca, 1mj4mnbthdlb1cjjuhvqckded, 4qris4sdzvtlkw5i3cmhhowrt, dovxfzsqb5e7by2q6kq0j2z1l, 31xl77lt8tax7bta6s45p9fpx, 1g9uh6aokaevbg7s6v2jh8h78, 3mudv2ein3iuv9smhmkk9vod0, 3fu2g2b7g9e5dvtj7a5qxq238",3959643979,194,62azuux8vuk6956cuyjjtped,3959643977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959643983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959643973,59,"1, 6, 26, 33, 22, 5, 7, 3, 20, 14, 24, 10, 13, 15, 17, 18, 30, 35",3959643975,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912179,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-12-29T19:45:40.544Z,2023-01-01T17:42:41Z,3959683255,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912169,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-12-29T19:45:40.544Z,2022-12-29T19:45:40Z,3959683205,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912195,3,1,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,49.9,50,2022-12-29T19:45:40.563Z,2023-01-02T02:02:03Z,3959683357,56,Back,3959683363,212,13.6,3959683359,140,37.0,3959683365,213,3.2,3959683361,141,49.1,3963120669,178,,3959683367,279,S,,,,61allnul4qlvl9s6wf0nehped,L. Sercombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912213,4,1,1,0,2,fvr504m6gaxsfmtx4fwm7iq1,0,38.6,50.1,2022-12-29T19:45:42.964Z,2023-01-02T02:02:09Z,3959683455,56,Left,3959683461,212,49.3,3963120729,178,,3959683453,157,,3959683463,213,0.6,3959683457,140,78.1,3959683459,141,89.3,3959683465,1,,af7cmpeqlk4lcxz3bxgzjh8lx,C. Raglan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912251,3,1,1,0,5,82kapkjwonlv9j1ui0ytv5sii,0,26.9,10.2,2022-12-29T19:45:45.898Z,2023-01-02T02:02:16Z,3959683649,140,34.0,3959683653,212,10.9,3959683647,56,Back,3959683655,213,5.5,3963120819,388,,3959683651,141,0.0,3959683645,3,,,,,cjroc2z4lnw58m804ihu8tm1h,M. Pennington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912253,4,5,1,0,6,82kapkjwonlv9j1ui0ytv5sii,0,37.6,-1.4,2022-12-29T19:45:47.334Z,2023-01-02T02:02:25Z,3959683665,347,,3959685179,233,5,3959683663,56,Back,,,,,,,,,,,,,,,,cjroc2z4lnw58m804ihu8tm1h,M. Pennington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912527,5,5,1,0,6,fvr504m6gaxsfmtx4fwm7iq1,1,62.4,101.4,2022-12-29T19:45:47.334Z,2023-01-02T02:02:25Z,3959685175,233,4,3959685167,347,,3959685163,56,Left,,,,,,,,,,,,,,,,af7cmpeqlk4lcxz3bxgzjh8lx,C. Raglan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912553,6,1,1,0,39,fvr504m6gaxsfmtx4fwm7iq1,0,67.5,100,2022-12-29T19:46:20.505Z,2023-01-02T02:02:30Z,3959685277,213,5.5,3959685275,212,29.9,3959685267,107,,3959685279,1,,3959685273,141,71.8,3959685271,140,88.4,3959685269,56,Center,,,,9em8141j1bdvykowhmoyeob85,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
