id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,assist,qualifier/18/value,qualifier/17/value
2488811097,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-12-03T14:15:07.714Z,2022-12-03T15:02:20Z,3932601853,130,19,3932601859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3932601873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932601845,30,"1aq6osi0b0c580dlu9ugnjaei, 2asjeedy6igcuixqktdmk5k2x, 8w9kh0cuund2pw8wzs0rjrbah, 74x5iaolqfr7r3on2uuriooyy, 23s9kwgzvgh27d393ymk0006h, a2g77lv071rnz76ujh30364tl, 6ipjgy0ewyx7mnmolu0pp0mw9, ex0gkrnzj98vrwpk9tpcfw91x, 7uhajc3suc68vemamuc3dyvp, 8i4qnoil4877e0wpwx3fj5b10, 7d9la6gbbobi9yie2ejf9uj1l, 3wew9tjsjrsoyioiuzd7ve356, 4i9u8cvqi0326gzqouf7uqju1, 1vigb3e3dsxufbtvt4ed48e09, 46ums24te70jl5qclztg8xhwp, 8vwzh7t772qg1r3uxo83eiqui, a5cmnj0nhdbux68291ipqcei2, ag8f1ksvfel1a0y49d0iypuui",3932601849,59,"40, 2, 14, 34, 5, 16, 6, 28, 7, 8, 4, 1, 10, 17, 19, 21, 22, 50",3932601863,194,ex0gkrnzj98vrwpk9tpcfw91x,3932601869,197,16212,3932601847,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488814699,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-12-03T14:20:13.389Z,2022-12-03T14:59:45Z,3932621107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3932621097,59,"13, 33, 16, 18, 5, 4, 14, 8, 9, 17, 11, 2, 6, 7, 21, 23, 27, 39",3932621099,130,4,3932621103,194,bsrhtxhpnlxho2o4zvli5qmeh,3932621093,30,"3oyhjrd1ohnwf1x3d65997xzp, cz30ywnq6p6dig7x3hu6h7cnp, 987r1vdgx95x30elzrisjrzs9, 50flg4aoq4l0glnh61yzngc7p, bsrhtxhpnlxho2o4zvli5qmeh, cqfbp8me2n00cve66v797omvp, 8olbkp9lqy3em5s9h7a4aod4a, 3jzhwh7lq7xzcz7clm28h0mvp, 5lngv6xyqc7xanqv8ytifc3px, 6fphke4c1tsj6xvvp7aki65sl, 8g19rw3eni5p8jt5v1j9skwdl, 50c2v0l2cmkh82vso5tnjv3yt, 8lcnj37j5nswqsqzud3t1a6l1, dq21r0ge09ug4d2crb9j6q6dx, exrh01dw52b651aet2am7v015, 4z5onwcaou5pjcz3kxncn8wl, uluqgj69z6yunsl8m505lyi, 3cy13tw0tdconbwzlwteg6xas",3932621105,197,16222,3932621095,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3932621101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834279,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-12-03T15:01:30.129Z,2022-12-03T15:01:33Z,3932721409,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834265,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-12-03T15:01:30.129Z,2022-12-05T19:02:17Z,3932721369,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834313,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,50.3,49.4,2022-12-03T15:01:30.268Z,2022-12-06T03:51:53Z,3932721593,56,Center,3932721597,140,52.6,3935668507,178,,3932721609,213,0.7,3932721601,141,52.1,3932721613,279,S,3932721605,212,3.0,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834367,4,1,1,0,1,5qwskbjpa17fvmtuu5qijy7cz,1,53.5,49.7,2022-12-03T15:01:31.215Z,2022-12-06T03:52:00Z,3932721837,141,13.7,3932721835,140,42.0,3935668543,178,,3932721833,56,Back,3932721841,213,4.3,3932721839,212,27.3,,,,,,,7d9la6gbbobi9yie2ejf9uj1l,E. Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834385,5,1,1,0,3,5qwskbjpa17fvmtuu5qijy7cz,1,41.6,11.9,2022-12-03T15:01:33.465Z,2022-12-06T03:52:05Z,3932721937,140,43.7,3935668557,178,,3932721935,56,Back,3932721943,213,1.4,3932721941,212,13.4,3932721939,141,31.3,,,,,,,23s9kwgzvgh27d393ymk0006h,R. Astley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834401,6,1,1,0,5,5qwskbjpa17fvmtuu5qijy7cz,1,43.7,31.3,2022-12-03T15:01:35.560Z,2022-12-06T03:52:14Z,3932722031,141,11.0,3932722041,213,4.4,3932722025,56,Back,3932722037,212,14.6,3932722029,140,39.1,3935668603,178,,,,,,,,ex0gkrnzj98vrwpk9tpcfw91x,S. Conneely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834409,7,1,1,0,7,5qwskbjpa17fvmtuu5qijy7cz,0,39.1,11,2022-12-03T15:01:37.771Z,2022-12-06T03:52:22Z,3932722115,233,3,3932722069,56,Back,3932722113,236,,3932722071,140,46.9,3935668645,178,,3932722119,286,,3932722077,213,0.0,3932722067,155,,23s9kwgzvgh27d393ymk0006h,R. Astley,3932722075,212,8.2,3932722073,141,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834405,3,74,1,0,7,ahm0t06rup1bkd9z0mxl2lmph,1,56.8,93.8,2022-12-03T15:01:37.865Z,2022-12-06T03:52:32Z,3935668705,178,,3932722123,233,7,3932722063,285,,3932722061,56,Left,,,,,,,,,,,,,8g19rw3eni5p8jt5v1j9skwdl,M. Browne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834499,8,1,1,0,11,5qwskbjpa17fvmtuu5qijy7cz,0,33,23,2022-12-03T15:01:41.459Z,2022-12-06T03:52:42Z,3935668761,178,,3932722477,212,64.1,3932722481,1,,3932722475,141,24.3,3932722471,56,Center,3935362547,157,,3932722473,140,94.0,3932722479,213,0.0,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834503,4,52,1,0,15,ahm0t06rup1bkd9z0mxl2lmph,1,4.7,74.7,2022-12-03T15:01:45.301Z,2022-12-06T03:52:45Z,3935362579,376,,3935668775,178,,,,,,,,,,,,,,,,,,,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834589,5,80,1,0,21,ahm0t06rup1bkd9z0mxl2lmph,0,9.8,54.6,2022-12-03T15:01:51.686Z,2022-12-06T03:52:52Z,3935668815,178,,,,,,,,,,,,,,,,,,,,,,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834661,6,1,1,0,23,ahm0t06rup1bkd9z0mxl2lmph,0,13.2,56.4,2022-12-03T15:01:53.593Z,2022-12-06T03:52:56Z,3932723225,56,Left,3932723221,157,,3932723223,198,,3932723229,141,79.1,3932723235,1,,3935668831,178,,3932723231,212,49.9,3932723233,213,0.3,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,3932723227,140,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834745,9,1,1,0,26,5qwskbjpa17fvmtuu5qijy7cz,0,41.9,28,2022-12-03T15:01:57.012Z,2022-12-06T03:53:01Z,3932723649,3,,3935668857,388,,3932723655,141,30.1,3932723651,56,Center,3932723653,140,87.8,3932723659,213,0.0,3932723657,212,48.2,3932723661,1,,23s9kwgzvgh27d393ymk0006h,R. Astley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834763,7,11,1,0,31,ahm0t06rup1bkd9z0mxl2lmph,0,8.1,76.9,2022-12-03T15:02:01.684Z,2022-12-06T03:53:12Z,3935668905,388,,3935363091,376,,3935363067,88,,3932723763,56,Back,,,,,,,,,,,,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834789,8,12,1,0,33,ahm0t06rup1bkd9z0mxl2lmph,1,10.4,82,2022-12-03T15:02:03.454Z,2022-12-06T03:53:15Z,3932723927,167,,3932723907,212,18.8,3932723903,140,23.0,3935668925,178,,3932723909,213,0.8,3932723905,141,100.0,3932723901,56,Back,,,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488834791,9,5,1,0,34,ahm0t06rup1bkd9z0mxl2lmph,0,30.7,101.6,2022-12-03T15:02:05.017Z,2022-12-06T03:53:23Z,3932723911,56,Back,3932725097,233,10,3932723913,347,,,,,,,,,,,,,,,,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
