id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2484557909,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2022-11-12T14:15:09.582Z,2022-11-12T15:06:08Z,3910239497,59,"1, 21, 2, 6, 16, 22, 20, 15, 23, 17, 25, 3, 5, 8, 9, 11, 12, 14",3910239493,30,"af0te77bq4mgr7rkkqateiswl, b1or5u4dfuf4pvg7cgqnp3nxl, dqgptypyedqzff38kn24en3s9, a69q0jj7tjwzxpo6b4i1ed3h1, cqbxzfg7eb97z1rx01kms6ay1, 5h89f4rz70l545xkozdp99ck5, a06js9xdgcoqq2mjjp9bbozu2, 8f5io2957l6ye5u7bsan0ecfe, 3hjfotlalegyuxqoidz99f1ii, 2ykne43vtv8c00rvviyr3rre2, apgbqplqtvuc1dmdxi5gqhd04, babqz0ziyoyw9ycgxh4stfh0p, 3nxrsmys3v8ci6xeqsx8yaac5, 5zmy857tqaz6h9g3hqyank82d, 3ft5brlvxvw8otiyjppxkk6ad, 3ujxqdy1k9w7hf33scf16hm8l, 6s5n6ri7p16dbqb35b2dpl0wl, 5pf4sma6x95qcuhx6wmqqzu1h",3910239495,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3910239499,130,17,3910239505,197,4867,3910239503,194,dqgptypyedqzff38kn24en3s9,3910239507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910239501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484558079,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-11-12T14:15:18.335Z,2022-11-12T14:15:24Z,3910240479,194,f1g68yocf85lxkf17pt2j7v85,3910240495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910240471,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3910240463,130,2,3910240447,30,"8xyeap5blm4g6swv05g95aesq, dfpogkmamlohb4ta3q5ehecq1, 541yhibvfn0fv2izdfudm7651, f4l762ob8j0izfocnmofytcyd, cn988bjn09tb806b05wgp7ys5, f1g68yocf85lxkf17pt2j7v85, eswokn90i34kdbfvax0y7365l, dypefa5ubw9m9xefxdd4365lh, 33h8s55zcj0j535g2dyz9tnqi, 6d9maq3oecwobp2t2220vf4r9, 307tfvtl56s1rf61x8kjevjzd, 89wk8a6aqw64nub8dgdj7zjl5, 41cihaqh4lxje5nx17g0rbgt1, dlfoufhh8dc14s10vnbjrfvmd, 2iy84h1v8wt8l6prv701uohk9, c23tcl4dl40wu4i8vntbv0tm1, 610hp1px6mp6lbyube9b0swrt, asy3qn4557iy3r55yl4v9xj9x",3910240453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3910240487,197,16276,3910240457,59,"1, 2, 6, 8, 20, 4, 15, 7, 19, 9, 27, 3, 10, 16, 18, 21, 25, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597137,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2022-11-12T15:01:16.212Z,2022-11-14T22:09:55Z,3910441327,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597147,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-11-12T15:01:16.212Z,2022-11-12T15:01:19Z,3910441351,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597197,3,1,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,49.8,49.4,2022-11-12T15:01:16.339Z,2022-11-15T03:37:27Z,3917266907,178,,3910441579,140,34.2,3910441577,56,Back,3910441583,212,17.0,3910441581,141,42.5,3910441587,279,S,3910441585,213,3.4,,,,8f5io2957l6ye5u7bsan0ecfe,J. Weir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597259,4,1,1,0,2,8xeuwzxnm7hdlbjjuezgfkz3w,0,44.5,47.6,2022-11-12T15:01:18.288Z,2022-11-15T03:37:37Z,3917266929,178,,3910441835,56,Center,3910441837,140,75.1,3910441833,155,,3910441843,213,0.3,3910441841,212,33.3,3910441845,1,,3910441839,141,60.2,a06js9xdgcoqq2mjjp9bbozu2,L. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597373,3,1,1,0,4,80jtkz2echk6yyyb9e2595cxr,1,25.9,35.5,2022-11-12T15:01:21.176Z,2022-11-15T03:37:44Z,3910442331,212,24.1,3910442333,213,0.4,3917266943,388,,3910442329,141,49.5,3910442325,56,Back,3910442327,140,47.0,3910442323,3,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485791873,930,1,1,0,6,80jtkz2echk6yyyb9e2595cxr,0,46.4,54.2,2022-11-12T15:01:23.090Z,2022-11-15T03:37:54Z,3917266967,388,,3916736717,212,20.9,3916736711,56,Center,3916736713,140,65.1,3916736707,3,,3916736715,141,64.8,3916736709,168,,3916736719,213,0.4,33h8s55zcj0j535g2dyz9tnqi,D. Scarlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597437,5,1,1,0,10,8xeuwzxnm7hdlbjjuezgfkz3w,1,34.2,25.2,2022-11-12T15:01:26.537Z,2022-11-15T03:38:05Z,3910442671,56,Back,3910442677,212,27.4,3910442673,140,9.9,3910442675,141,40.0,3917267019,178,,3910442679,213,2.8,,,,,,,5h89f4rz70l545xkozdp99ck5,A. O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484597517,6,1,1,0,13,8xeuwzxnm7hdlbjjuezgfkz3w,1,9.4,41,2022-11-12T15:01:30.053Z,2022-11-15T03:38:11Z,3917267027,178,,3910443037,140,44.4,3910443033,157,,3910443035,56,Back,3910443045,212,43.7,3910443051,213,0.6,3910443055,1,,3910443041,141,75.7,af0te77bq4mgr7rkkqateiswl,C. Ripley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
