id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,assist,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,keyPass,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2494442615,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-01-01T14:11:34.795Z,2023-01-01T14:11:34Z,3962469573,197,4681,3962469571,194,4y3hm9ljv62c5jswanl0gk5,3962469575,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962469567,130,18,3962469569,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3962469563,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3962469561,30,"1etperk4v88ohoddjdb5dj2l1, 1yzyn48jb8yd8bc0xywrhg0r9, 5ozfcga88glwzazkg65ahwa8l, 2uyrcl2hf5xunxm8zm98kh1at, 6xjftfuwhkbs39xfc3phdbyl1, 5n4s7vdp0dx0ndkph7oyg7v1l, aclrl318d420oqe1fjgl1m3xm, 4y3hm9ljv62c5jswanl0gk5, bybpo6v76mntngcl9xwpil7u1, 4m9vn1q30f1c8ksiyxtei63ft, bojsqjfaoi810xuyz0qeqs0r9, 41lv87i23sxmdyrs4xxh96m3u, a2gluxzt6a3z5xwgu2q482rqh, 5k1y1nkncrd0x0f3842db95ud, a1muz32ocg2650ll5kjc02u39, agvyoqarq5zhflge7bm1hn36d, ef2y32lrxfsagikwuhjrovy3u, 1788amerrk9fg3f9qddyxz8x5",3962469565,59,"25, 19, 11, 5, 6, 15, 8, 23, 17, 26, 22, 1, 2, 4, 10, 14, 21, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494443207,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-01-01T14:15:01.128Z,2023-01-01T15:08:31Z,3962472899,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3962472909,194,5vi8t2fffmk5kjfukazcmyo5x,3962472895,30,"535ecbyyd28elesvxtvbxurpx, 5kg7eu8b1wktru5ohpid8e9qt, cqgg8fu39fn7k9blog2zjpk2x, 5vi8t2fffmk5kjfukazcmyo5x, 3dy32ujo7srhl6rq7vb9e97xm, bn65q0jh5fmyit8g8y4k9wsq2, cwimbfv671qph6cxdcl32elzp, 693vankfkq50hufuwcz7hu8r9, 2r64ekro7ydonu8jg7s12xyei, c3a6jpeg16b9zn02uf1yf9cyx, 43knl3z17afypz27sz4qzkxnu, 3x8j3d4oygoxsu75ipz0idt6, es83awo143gzdm1ohwqwpmjf9, ekcfj2t6pzdz36uzpw9q6c7vt, 91mshvbc4rk9cf0chhgukakiy, 8rjkn8s6e4s60167zdyukj9w5, dirgn9z2tdz1603md8x3dni6t, 67xd8llko9zszuwg63ffopje2",3962472901,59,"1, 2, 17, 6, 5, 22, 4, 8, 28, 7, 25, 3, 9, 10, 11, 14, 24, 27",3962472913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962472911,197,16115,3962472905,130,17,3962472907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450053,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-01-01T15:02:53.962Z,2023-01-01T15:02:54Z,3962509903,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450055,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-01-01T15:02:53.962Z,2023-01-03T01:22:30Z,3962509905,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450077,3,1,1,0,0,17zuelixesst1z59fwcix2dil,1,50.3,50.1,2023-01-01T15:02:54.004Z,2023-01-03T04:41:58Z,3964262729,178,,3962510001,213,3.2,3962509985,56,Back,3962510005,279,S,3962509989,140,32.6,3962509993,141,48.9,3962509997,212,18.6,,,,c3a6jpeg16b9zn02uf1yf9cyx,B. Stevenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450139,4,1,1,0,2,17zuelixesst1z59fwcix2dil,0,35.3,48.7,2023-01-01T15:02:56.567Z,2023-01-03T04:42:09Z,3962510241,141,88.3,3962510237,56,Left,3962510243,212,45.8,3962510245,213,0.6,3964262759,178,,3962510235,155,,3962510247,1,,3962510239,140,70.6,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450143,3,44,1,0,5,ejm092fnt9zoxbpuklzd52ji8,1,26.8,14.4,2023-01-01T15:02:59.093Z,2023-01-04T06:47:49Z,3962510301,233,5,3962510263,56,Back,3962510265,285,,,,,,,,,,,,,,,,,1yzyn48jb8yd8bc0xywrhg0r9,G. Massey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450147,5,44,1,0,5,17zuelixesst1z59fwcix2dil,0,73.2,85.6,2023-01-01T15:02:59.094Z,2023-01-03T04:42:28Z,3962510275,56,Left,3962510377,233,3,3962510279,286,,,,,,,,,,,,,,,,,43knl3z17afypz27sz4qzkxnu,M. Peart-Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450157,4,1,1,0,5,ejm092fnt9zoxbpuklzd52ji8,1,24.3,17.1,2023-01-01T15:02:59.147Z,2023-01-04T06:47:50Z,3962510327,141,17.0,3964262899,388,,3962510323,56,Back,3962510321,3,,3962510335,213,3.2,3962510325,140,17.2,3962510331,212,7.5,,,,1yzyn48jb8yd8bc0xywrhg0r9,G. Massey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450187,5,1,1,0,7,ejm092fnt9zoxbpuklzd52ji8,1,17.2,17,2023-01-01T15:03:01.142Z,2023-01-03T04:42:41Z,3962510487,157,,3962510497,213,0.0,3964262925,178,,3962510499,1,,3962510489,56,Right,3962510491,140,56.5,3962510493,141,19.7,3962510495,212,41.3,5n4s7vdp0dx0ndkph7oyg7v1l,W. Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450191,6,44,1,0,9,ejm092fnt9zoxbpuklzd52ji8,1,56.1,20.9,2023-01-01T15:03:03.593Z,2023-01-04T06:47:50Z,3962510519,56,Right,3962510537,233,6,3962510521,286,,,,,,,,,,,,,,,,,bojsqjfaoi810xuyz0qeqs0r9,E. Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450195,6,44,1,0,9,17zuelixesst1z59fwcix2dil,0,43.9,79.1,2023-01-01T15:03:03.594Z,2023-01-03T04:42:50Z,3962510527,285,,3962510525,56,Back,3962510545,233,6,,,,,,,,,,,,,,,,5vi8t2fffmk5kjfukazcmyo5x,B. Cargill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450203,7,1,1,0,9,ejm092fnt9zoxbpuklzd52ji8,0,57.1,22.5,2023-01-01T15:03:03.628Z,2023-01-04T06:47:51Z,3964263027,388,,3962510581,140,57.6,3962510583,141,22.7,3962510577,168,,3962510585,212,0.5,3962510579,56,Center,3962510587,213,0.3,3962510575,3,,bojsqjfaoi810xuyz0qeqs0r9,E. Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494631167,823,61,1,0,9,17zuelixesst1z59fwcix2dil,1,37.4,73.2,2023-01-01T15:03:03.700Z,2023-01-03T04:43:21Z,3963470417,56,Back,3964263103,178,,,,,,,,,,,,,,,,,,,,5vi8t2fffmk5kjfukazcmyo5x,B. Cargill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450207,8,49,1,0,11,ejm092fnt9zoxbpuklzd52ji8,1,67.1,33.9,2023-01-01T15:03:05.544Z,2023-01-03T04:45:13Z,,,,,,,,,,,,,,,,,,,,,,,,,bybpo6v76mntngcl9xwpil7u1,R. Holden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494789915,1033,43,1,0,13,17zuelixesst1z59fwcix2dil,1,0,0,2023-01-01T15:03:07.078Z,2023-01-04T04:38:48Z,3964319159,399,229753,3965088131,144,83,,,,,,,,,,,,,,,,,,,693vankfkq50hufuwcz7hu8r9,R. Hendry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494937149,1256,83,1,0,13,17zuelixesst1z59fwcix2dil,1,30.1,63.8,2023-01-01T15:03:07.128Z,2023-01-04T04:40:51Z,3965088309,399,229753,,,,,,,,,,,,,,,,,,,,,,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494450245,9,61,1,0,13,ejm092fnt9zoxbpuklzd52ji8,0,66.4,36,2023-01-01T15:03:07.168Z,2023-01-04T04:39:03Z,3964263233,178,,3962510755,56,Center,,,,,,,,,,,,,,,,,,,bybpo6v76mntngcl9xwpil7u1,R. Holden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494937127,1255,43,1,0,13,17zuelixesst1z59fwcix2dil,1,0,0,2023-01-01T15:03:07.168Z,2023-01-04T04:38:55Z,3965088175,144,83,3965088165,399,229753,,,,,,,,,,,,,,,,,,,693vankfkq50hufuwcz7hu8r9,R. Hendry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
