id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2506233161,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-02-11T14:15:23.366Z,2023-02-11T17:12:04Z,4024413141,30,"4c56c2zanbiv8q28f54i5rp3p, cyrr9517kjkt2l5tuqe966zth, 3fjobcho19bkofw9h042i2v9x, 76tis9hdvmec3jcvgnsf6cdex, 77yt60bz6k3rqv316v9qxxyad, 4mg6kr1jernr98unfp5p8shqt, 6hrtxdf59nba5ietwyfe3b2t, ekbsso6hq913ss7jerbusyled, 1szy525fae134zxfbt7vyw991, 4l7yeuoabotmlfo5n719msrmd, 2gf1wld07zyiuvq7iikfrvoid, 9r7ngbyjgfukassxtl07wnn55, 8lvhd97efhjcg03fj1num1bzd, 7f87a26gzayk0bfzbm42huuw9, 94opm6ljk3l7yqa2rzwq2gw6h, 2nm6gmvnf6bmqpgd286p3yeqc, 9fpq18yqu0uiarpmg6o3igb8, 24g3kj5853y2af5ncqhwlfbp",4024413151,194,ekbsso6hq913ss7jerbusyled,4024413147,130,12,4024413153,197,16163,4024413143,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4024413145,59,"25, 2, 18, 15, 44, 6, 14, 10, 24, 11, 4, 3, 8, 17, 19, 22, 30, 31",4024413155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024413149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506233571,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-02-11T14:15:46.056Z,2023-02-11T17:12:02Z,4024415371,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024415363,130,8,4024415367,194,dgzuswl2pnk7t03ts7nguholx,4024415357,30,"4905drgcc9husos98ppdup4gl, b7yfyzrvj7yjo48pu8faqnvft, a9352zsh3xr7rcxs0jmho7o8a, d3si5voqkdc8did5gkp67tg5w, 91f9qkusefgcrv2ri2h1nci96, 1244ja0ma2r0071i7d45t6yfp, 6v9kb953ugi8odu4tdly7v3yt, dgzuswl2pnk7t03ts7nguholx, 1uyg5c61jzqickqaegb07yk15, 28izur14k14lcgegg8qede7yt, 7fpcipp26a9fqes841ad7lh3p, 1feu2co3n49llnckcxffuo79x, ab2bx5qzhdzlduh46iacngbf9, 6b7fxcw7upr57pku6gf6dteqd, 1oeekgzkzju2jce7651vbdrrp, 3fwxh0c612fj1flqrbozvja39, coupcn8k43jf15nqge220qo5x, 6bejhzrjgg7dz6cp6s45rah91",4024415361,59,"1, 34, 3, 30, 6, 15, 7, 5, 27, 10, 33, 9, 11, 19, 21, 23, 31, 44",4024415359,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4024415365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024415369,197,4778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506279775,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-02-11T15:03:42.941Z,2023-02-13T20:01:38Z,4024641861,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506279807,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-02-11T15:03:42.941Z,2023-02-11T15:03:45Z,4024642009,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506279911,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,49.7,49.4,2023-02-11T15:03:43.018Z,2023-02-14T08:08:28Z,4024642521,213,3.3,4024642523,279,S,4024642519,212,23.2,4024642515,140,27.9,4031865987,178,,4024642517,141,44.2,4024642513,56,Back,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506280053,4,1,1,0,2,8b523ujgl21tbc01me65q0aoh,1,27.9,44.2,2023-02-11T15:03:45.752Z,2023-02-14T08:08:32Z,4024643219,213,0.7,4024643223,1,,4024643199,155,,4024643213,212,54.8,4024643207,141,98.1,4024643203,140,66.7,4031866011,178,,4024643201,56,Left,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506280089,5,1,1,0,5,8b523ujgl21tbc01me65q0aoh,0,66.7,98.1,2023-02-11T15:03:48.707Z,2023-02-14T08:08:37Z,4024643387,56,Left,4024643383,3,,4024643395,213,0.3,4031866039,388,,4024643391,141,100.0,4024643389,140,72.8,4024643393,212,6.8,,,,1uyg5c61jzqickqaegb07yk15,G. Hirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506280433,3,5,1,0,6,1musyruv2ufjrjnj6gvdbr8kt,1,28.8,-1.3,2023-02-11T15:03:49.759Z,2023-02-14T08:08:42Z,4024645093,347,,4024645167,233,6,4024645091,56,Back,,,,,,,,,,,,,,,,1szy525fae134zxfbt7vyw991,M. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506280107,6,5,1,0,6,8b523ujgl21tbc01me65q0aoh,0,71.2,101.3,2023-02-11T15:03:49.759Z,2023-02-14T08:08:43Z,4024643463,347,,4024643461,56,Left,4024645237,233,3,,,,,,,,,,,,,,,,1uyg5c61jzqickqaegb07yk15,G. Hirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506280533,4,1,1,0,18,1musyruv2ufjrjnj6gvdbr8kt,0,32.2,0,2023-02-11T15:04:01.646Z,2023-02-14T08:08:47Z,4024645659,213,0.2,4024645649,140,53.0,4024646725,1,,4024645655,212,22.4,4024645645,107,,4024645653,141,5.4,4024645647,56,Right,,,,4mg6kr1jernr98unfp5p8shqt,D. Iorfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
