id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/13/value,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,assist,qualifier/20/value
2497181725,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-01-14T14:15:11.814Z,2023-01-14T14:15:11Z,3976866781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976866757,30,"1aq6osi0b0c580dlu9ugnjaei, 8w9kh0cuund2pw8wzs0rjrbah, dzitwscdk6ogkf6bstbrik53p, ex0gkrnzj98vrwpk9tpcfw91x, 23s9kwgzvgh27d393ymk0006h, a2g77lv071rnz76ujh30364tl, a5cmnj0nhdbux68291ipqcei2, 6ipjgy0ewyx7mnmolu0pp0mw9, 7uhajc3suc68vemamuc3dyvp, f4ef7in4fxoylsy29anhgqep5, 7d9la6gbbobi9yie2ejf9uj1l, 3wew9tjsjrsoyioiuzd7ve356, 8i4qnoil4877e0wpwx3fj5b10, emr44tyxp0paz40ay1336hh0q, 74x5iaolqfr7r3on2uuriooyy, dv1g5fozbyj5r55grfp8x7uac, d8s5hdtsmitdvix6l02rjn1g4, ag8f1ksvfel1a0y49d0iypuui",3976866773,194,ex0gkrnzj98vrwpk9tpcfw91x,3976866765,130,19,3976866769,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976866763,59,"40, 14, 11, 28, 5, 16, 22, 6, 7, 20, 4, 1, 8, 27, 34, 39, 42, 50",3976866779,197,16212,3976866761,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497181941,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-01-14T14:15:22.001Z,2023-01-14T14:25:10Z,3976868015,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",3976868019,130,18,3976868021,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3976868013,30,"byo7r7emgxz5oiauh2z75vpp1, ct9ifm9mk702lkhhmlf12nlxx, 9s6ec1a12gozqwjlsyo7y8gr9, c651trgr0pihuppxxd31z6go9, 6wax1hh875vpvfi1fbetwmtey, ejmi6qqszz1509excckyj3n1m, fjnzx6b57qsj6o7hdm6r0mhh, 6q5iqhaxdzqhj3jt0eptjvbv9, 4n37rih2qtphgtjxzo2id5f55, bdquc37ytagmw19zgrehnryz9, 5pafzbbuucga9ut20l6ckj7u2, f0sa0skucdf742t06hsmi8ne2, dz04k2zt87y78ku9g14sxm21h, bgly2zwf7qro0phmd6hkry6ll, ax2mraa85fs9ihyhk7qnmm489, 44mf0jzuwreljhmqth0w60iqd, ah31ge07jvte4y161aut0uthx",3976868027,197,4819,3976868017,59,"1, 23, 7, 28, 2, 30, 15, 6, 21, 10, 40, 3, 9, 18, 22, 25, 32",3976868023,194,fjnzx6b57qsj6o7hdm6r0mhh,3976868031,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213469,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-01-14T15:01:49.163Z,2023-01-14T15:01:50Z,3977038599,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213441,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-01-14T15:01:49.163Z,2023-01-16T09:18:50Z,3977038451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213511,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,50.9,50.1,2023-01-14T15:01:49.204Z,2023-01-16T09:40:15Z,3977038773,212,2.9,3977038771,141,46.3,3977038769,140,52.2,3981120309,178,,3977038775,213,5.2,3977038767,56,Center,3977038779,279,S,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213537,4,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,0,52.2,46.1,2023-01-14T15:01:50.123Z,2023-01-16T09:40:22Z,3977038895,155,,3977038903,212,32.3,3977038901,141,17.0,3977038907,1,,3981120383,178,,3977038899,140,76.5,3977038905,213,5.6,3977038897,56,Right,7d9la6gbbobi9yie2ejf9uj1l,E. Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213601,3,1,1,0,3,5pfqedkme2kabtqhkln35pf3l,1,18.3,83.3,2023-01-14T15:01:52.173Z,2023-01-16T09:40:30Z,3977039231,213,4.0,3977039223,56,Back,3977039227,141,70.8,3977039221,3,,3977039225,140,11.2,3981120439,388,,3977039229,212,11.3,,,,c651trgr0pihuppxxd31z6go9,J. Gibbons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213617,4,52,1,0,5,5pfqedkme2kabtqhkln35pf3l,1,11.2,70.8,2023-01-14T15:01:54.773Z,2023-01-16T09:40:33Z,3980276645,377,,3981120457,178,,,,,,,,,,,,,,,,,,,,byo7r7emgxz5oiauh2z75vpp1,J. Belshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497214947,5,1,1,0,15,5pfqedkme2kabtqhkln35pf3l,0,14.5,54.3,2023-01-14T15:02:04.655Z,2023-01-16T09:40:37Z,3977045625,1,,3977045619,141,66.0,3977045615,56,Center,3977045623,213,0.2,3977045617,140,62.9,3977045621,212,51.4,3977045613,199,,,,,byo7r7emgxz5oiauh2z75vpp1,J. Belshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497214021,5,61,1,0,19,5qwskbjpa17fvmtuu5qijy7cz,1,28.5,43.4,2023-01-14T15:02:08.265Z,2023-01-16T09:40:53Z,3981120565,15,,3977041205,56,Back,3981120567,178,,,,,,,,,,,,,,,,,ex0gkrnzj98vrwpk9tpcfw91x,S. Conneely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
