id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2493905397,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2022-12-29T19:00:00.605Z,2022-12-29T20:14:35Z,3959643513,194,a1muz32ocg2650ll5kjc02u39,3959643503,30,"1etperk4v88ohoddjdb5dj2l1, 1yzyn48jb8yd8bc0xywrhg0r9, 5yfb390wjjfdjhdf0jzaf1kgl, 2uyrcl2hf5xunxm8zm98kh1at, 6xjftfuwhkbs39xfc3phdbyl1, 5n4s7vdp0dx0ndkph7oyg7v1l, 4y3hm9ljv62c5jswanl0gk5, a1muz32ocg2650ll5kjc02u39, aclrl318d420oqe1fjgl1m3xm, b0l7hknmc27qttjxv094mi5zp, bojsqjfaoi810xuyz0qeqs0r9, 41lv87i23sxmdyrs4xxh96m3u, 5ozfcga88glwzazkg65ahwa8l, agvyoqarq5zhflge7bm1hn36d, ef2y32lrxfsagikwuhjrovy3u, 4m9vn1q30f1c8ksiyxtei63ft, 8nzkkwhmox9lgbmwomq1rruju, 1788amerrk9fg3f9qddyxz8x5",3959643511,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959643515,197,17868,3959643509,130,18,3959643507,59,"25, 19, 3, 5, 6, 15, 23, 10, 8, 9, 22, 1, 11, 14, 21, 26, 27, 33",3959643505,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3959643517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493905473,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-12-29T19:00:15.415Z,2022-12-29T19:16:38Z,3959644071,194,ekbsso6hq913ss7jerbusyled,3959644069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959644067,130,12,3959644061,30,"4c56c2zanbiv8q28f54i5rp3p, mpzi06x1j85ahwkrbsa20kmi, 3fjobcho19bkofw9h042i2v9x, 3hq7q7p30s923cbbvw1070lp1, c211o2dh2p85auu0008zjxgix, cyrr9517kjkt2l5tuqe966zth, 7f87a26gzayk0bfzbm42huuw9, 6hrtxdf59nba5ietwyfe3b2t, btey8i9vnkak8ww7diqnb8lat, 1szy525fae134zxfbt7vyw991, ekbsso6hq913ss7jerbusyled, 2gf1wld07zyiuvq7iikfrvoid, 997jc41apd3dtrwgx79mu67e1, 8lvhd97efhjcg03fj1num1bzd, 4l7yeuoabotmlfo5n719msrmd, 76tis9hdvmec3jcvgnsf6cdex, 24g3kj5853y2af5ncqhwlfbp, dwbbiqw9923azm3rpg2m8aqj9",3959644065,59,"25, 45, 18, 33, 34, 2, 17, 14, 13, 24, 10, 4, 7, 8, 11, 15, 31, 32",3959644073,197,16162,3959644075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959644063,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493914101,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-12-29T19:48:12.711Z,2022-12-31T12:27:22Z,3959693281,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493914123,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2022-12-29T19:48:12.711Z,2022-12-29T19:48:15Z,3959693397,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493914177,3,1,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,49.8,49.9,2022-12-29T19:48:12.714Z,2022-12-31T12:58:57Z,3961856103,178,,3959693641,141,49.9,3959693645,212,10.4,3959693637,140,39.9,3959693635,56,Back,3959693649,279,S,3959693647,213,3.1,,,,7f87a26gzayk0bfzbm42huuw9,F. Dele-Bashiru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493914201,4,1,1,0,1,1musyruv2ufjrjnj6gvdbr8kt,1,41.1,51,2022-12-29T19:48:14.248Z,2022-12-31T12:59:01Z,3961856165,178,,3959693767,140,40.5,3959693769,141,85.1,3959693771,212,23.2,3959693765,56,Back,3959693773,213,1.6,,,,,,,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493914227,5,1,1,0,5,1musyruv2ufjrjnj6gvdbr8kt,1,51.6,94.4,2022-12-29T19:48:18.209Z,2022-12-31T12:59:07Z,3959693893,140,77.1,3961856267,178,,3959693891,56,Left,3959693895,141,93.3,3959693889,155,,3959693897,212,26.8,3959693899,213,6.3,,,,3hq7q7p30s923cbbvw1070lp1,R. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493914293,6,1,1,0,6,1musyruv2ufjrjnj6gvdbr8kt,0,77.1,93.3,2022-12-29T19:48:19.427Z,2022-12-31T12:59:10Z,3959694253,3,,3959694261,212,23.8,3959694263,213,0.0,3961856407,388,,3959694255,56,Left,3959694959,168,,3959694257,140,99.8,3959694259,141,94.1,1szy525fae134zxfbt7vyw991,M. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493914363,4,5,1,0,9,ejm092fnt9zoxbpuklzd52ji8,1,-1,28.4,2022-12-29T19:48:22.320Z,2022-12-31T12:59:13Z,3959694609,346,,3959694607,56,Back,3959697739,233,10,,,,,,,,,,,,,,,,5n4s7vdp0dx0ndkph7oyg7v1l,W. Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493914911,10,5,1,0,9,1musyruv2ufjrjnj6gvdbr8kt,0,101,71.6,2022-12-29T19:48:22.320Z,2022-12-31T12:59:12Z,3959697593,56,Center,3959697779,233,4,3959697595,346,,,,,,,,,,,,,,,,,cyrr9517kjkt2l5tuqe966zth,L. Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
