id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/16/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2480107397,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2022-10-31T19:15:13.707Z,2022-10-31T20:48:26Z,3887052725,59,"18, 2, 3, 5, 26, 12, 16, 8, 14, 9, 10, 6, 7, 15, 19, 20, 22, 39",3887052723,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3887052731,194,4qg1mpymeaajx8gu7jycw5wph,3887052727,130,18,3887052735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887052733,197,16180,3887052729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3887052721,30,"3swij7ntrn9x9voc9clilgmvp, 7qnu4sb2a2vj7nw8gkvv1pxw5, c1hj1hth3xj2f0ax3x6fdwj8q, eg2xijdgtcaa44x57pjezy3ft, 4qg1mpymeaajx8gu7jycw5wph, 56zd7s72x7izgeiybmmgc8acq, enfxh6b65c9hx1rs0scszi2y2, 3j78tgfptah530cydckvfsauh, a993483h57leyjrkw3q0th905, adfgsbp3tv9wgatujcr9mfuju, 81d38h08s97e8kl7kxew6si5l, ev42016zwnwiow3lbefukrbvt, 7djse28rpo31xno7d0exe5pzp, 2nvu4o5lbowvig5ddb4563n8q, 3lapm496pz9bbe7mgeezqncpg, a65axspsu3w38f0dob3aibk5x, rqdgj7y5b0qjaxpz1i7k3a50, 1dzmlop3jwm8aeqxkmihjl7xm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480107467,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2022-10-31T19:15:24.855Z,2022-10-31T20:48:28Z,3887053059,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3887053067,194,5udpap0himq2ggsw4f0o5hqdx,3887053065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3887053063,130,17,3887053071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3887053061,59,"1, 8, 17, 22, 6, 5, 20, 4, 16, 19, 11, 7, 9, 15, 21, 25, 44, 48",3887053069,197,16120,3887053057,30,"247o80ri7od76lxfrkmccz2ay, 5udpap0himq2ggsw4f0o5hqdx, 4lz9m2nwif7tql9hqsv2u7vft, 48pxorkarv5aq03l6179bes45, wuidadmmyp6xcztp1lxdxg4p, oe0lbxtc4qftnd886dzfm385, ab9z3kubalp5l33vbi4a8n0iy, 2q6bsyszm27v5uvs30j5ty311, 4xxoasz03erxlyonu2t8y5fqh, ady374prjuht3fs9va8n303jd, 6rzq8xkkst4hgbh2ysj52gwyx, 9llmzvk9nw1kwy73o8z9f8usp, 9w0nk2mz77jqc62v4gv1h0vkl, ck0ialh1trb7rflysbsm6g6vp, 4cyf8fcefkz6433g76okyd65m, 82h98ebusz83rox95oi9kafh1, 56y2duyhs0m5k084fnyorx2j8, f3owhetogu9m6da54ip5q1mhg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119727,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2022-10-31T20:00:13.258Z,2022-11-02T19:01:27Z,3887118397,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119723,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2022-10-31T20:00:13.258Z,2022-10-31T20:00:13Z,3887118391,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119743,3,1,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,49.9,49.9,2022-10-31T20:00:13.318Z,2022-11-02T20:05:00Z,3887118485,279,S,3887118483,213,2.9,3889801381,178,,3887118479,141,59.9,3887118475,56,Back,3887118477,140,25.3,3887118481,212,26.7,,,,3j78tgfptah530cydckvfsauh,A. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119759,4,1,1,0,2,dv9l02o316cd9hbkxaho2u12f,1,27.4,57.8,2022-10-31T20:00:16.250Z,2022-11-02T20:05:06Z,3887118543,140,71.0,3887118545,141,22.7,3887118547,212,51.6,3887118551,1,,3887118757,155,,3889801849,178,,3887118549,213,5.8,3887118541,56,Center,eg2xijdgtcaa44x57pjezy3ft,A. Hartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119763,5,1,1,0,6,dv9l02o316cd9hbkxaho2u12f,0,71,22.5,2022-10-31T20:00:19.504Z,2022-11-02T20:05:10Z,3887118557,3,,3889802189,388,,3887118561,140,75.6,3887118567,213,1.1,3887118559,56,Center,3887118563,141,36.9,3887118565,212,10.9,,,,81d38h08s97e8kl7kxew6si5l,S. Nombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119775,3,1,1,0,7,5g1fnexeromjl0lvnxp8hpnhi,0,25.5,66.6,2022-10-31T20:00:20.863Z,2022-11-02T20:05:14Z,3887118613,213,0.6,3889802595,178,,3887118615,1,,3887118609,141,86.2,3887118605,56,Back,3887118603,157,,3887118607,140,43.5,3887118611,212,23.1,wuidadmmyp6xcztp1lxdxg4p,D. Scarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119793,6,1,1,0,10,dv9l02o316cd9hbkxaho2u12f,0,63,13.4,2022-10-31T20:00:23.802Z,2022-11-02T20:05:19Z,3887118693,3,,3887118705,1,,3887118703,213,6.0,3887118695,56,Right,3887118697,140,94.2,3887118701,212,34.2,3889802815,388,,3887118699,141,0.0,56zd7s72x7izgeiybmmgc8acq,J. Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480119857,4,5,1,0,14,5g1fnexeromjl0lvnxp8hpnhi,1,14.4,101.1,2022-10-31T20:00:27.617Z,2022-11-02T20:05:23Z,3887119013,56,Back,3887119015,347,,3887119017,233,7,,,,,,,,,,,,,,,,wuidadmmyp6xcztp1lxdxg4p,D. Scarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
