id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2535564287,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-04-18T18:00:58.223Z,2023-04-18T18:02:55Z,4200539453,30,"3swij7ntrn9x9voc9clilgmvp, 56zd7s72x7izgeiybmmgc8acq, 7qnu4sb2a2vj7nw8gkvv1pxw5, eg2xijdgtcaa44x57pjezy3ft, 35f2se8cf2zmpxl45zulorpat, 4qg1mpymeaajx8gu7jycw5wph, 3j78tgfptah530cydckvfsauh, enfxh6b65c9hx1rs0scszi2y2, 34ur42uwxdk48v051z05no9gp, 3lapm496pz9bbe7mgeezqncpg, 2nvu4o5lbowvig5ddb4563n8q, c1hj1hth3xj2f0ax3x6fdwj8q, ev42016zwnwiow3lbefukrbvt, awx668jrec0gnqk5gyg7o0oyy, 5w3e46d2oh5wzrizfi9rdgwoa, f4p7kokn0a6epac4icy01l9lh, 8hiqkrsoskyhhoc0n0wp7lql1, rnifkb7ou8pu2k7ixdhzrtp0",4200539463,194,35f2se8cf2zmpxl45zulorpat,4200539457,59,"18, 12, 2, 5, 14, 26, 8, 16, 23, 19, 15, 3, 6, 11, 21, 27, 33, 41",4200539459,130,12,4200539455,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4200539461,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4200539467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4200539465,197,16180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535564297,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-04-18T18:01:02.744Z,2023-04-18T18:58:02Z,4200539549,194,6kz7c7i4wzph7qlzi9nzt266t,4200539545,130,17,4200539547,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4200539541,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4200539551,197,14317,4200539543,59,"1, 38, 15, 6, 33, 3, 8, 4, 10, 11, 17, 7, 9, 12, 18, 23, 32, 34",4200539553,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4200539539,30,"2xd9g0s3888o99iq0eb5j6ead, 1la1hsnuheliwojwmcbxroy96, h4x8lz5ou8esdao80mvls9yi, 69lg8jmug501h6biol5itk02y, 6kz7c7i4wzph7qlzi9nzt266t, ebsspe8jslej9a253w4xpf55h, bwu80wn3lca4x2txuelku0a21, 8y3obwxpwckjfl7hkrrg97sgl, f2d0i9t2qeyppfqrdv6xzc3px, e2sj7bhk2s9du1bs1vza1b4k5, 85vh43wsin67z2dj0iod12fop, ddc712ebtmrrpvj4shekecus5, a64e8yqggr7fmtdlyr9v80yxh, 8thtb5uqqv63f880cwhpc5zv9, 6kxph7ulzz58v8tm3aaomy1ka, 6ge15340tp9n57m88z6rli6i2, 535ecbyyd28elesvxtvbxurpx, akatb6qaa078a72zvl8gapoiy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576269,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-04-18T18:45:30.457Z,2023-04-18T18:45:33Z,4200603461,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576255,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-04-18T18:45:30.457Z,2023-04-20T07:52:08Z,4200603403,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576277,3,1,1,0,0,3ptd7zlc5isrongig0wij2id4,1,50,50.3,2023-04-18T18:45:30.532Z,2023-04-20T12:13:56Z,4200603491,56,Back,4200603497,212,20.3,4200603495,141,55.3,4200603499,213,3.0,4204180021,178,,4200603501,279,S,4200603493,140,30.9,,,,8y3obwxpwckjfl7hkrrg97sgl,C. Hourihane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576321,4,1,1,0,2,3ptd7zlc5isrongig0wij2id4,0,24.4,58.7,2023-04-18T18:45:33.421Z,2023-04-20T12:13:59Z,4200603733,212,60.0,4200603737,1,,4204180111,178,,4200603735,213,5.5,4200603727,56,Right,4200603731,141,0.0,4200603729,140,66.6,4200603725,155,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576365,3,5,1,0,6,dv9l02o316cd9hbkxaho2u12f,1,35.2,100.9,2023-04-18T18:45:36.558Z,2023-04-20T12:14:02Z,4200603985,56,Back,4200603999,233,5,4200603987,347,,,,,,,,,,,,,,,,,eg2xijdgtcaa44x57pjezy3ft,A. Hartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576323,5,5,1,0,6,3ptd7zlc5isrongig0wij2id4,0,64.8,-0.9,2023-04-18T18:45:36.558Z,2023-04-20T12:14:02Z,4200604017,233,3,4200603741,347,,4200603739,56,Right,,,,,,,,,,,,,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576425,4,1,1,0,10,dv9l02o316cd9hbkxaho2u12f,0,37,100,2023-04-18T18:45:40.850Z,2023-04-20T12:14:06Z,4200604253,213,5.9,4200604243,107,,4200604255,1,,4200604247,140,84.5,4200604245,56,Center,4200604249,141,73.9,4200604251,212,53.2,,,,eg2xijdgtcaa44x57pjezy3ft,A. Hartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576419,6,52,1,0,14,3ptd7zlc5isrongig0wij2id4,1,13.9,26.4,2023-04-18T18:45:45.097Z,2023-04-20T12:14:08Z,4204180403,178,,4202361127,377,,,,,,,,,,,,,,,,,,,,2xd9g0s3888o99iq0eb5j6ead,J. Wildsmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
